gene_id,gene_symbol,gene_name,notfound,gene_label
ENSG00000000003,TSPAN6,tetraspanin 6,False,TSPAN6
ENSG00000000419,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",False,DPM1
ENSG00000000457,SCYL3,SCY1 like pseudokinase 3,False,SCYL3
ENSG00000000460,FIRRM,FIGNL1 interacting regulator of recombination and mitosis,False,FIRRM
ENSG00000001036,FUCA2,alpha-L-fucosidase 2,False,FUCA2
ENSG00000001084,GCLC,glutamate-cysteine ligase catalytic subunit,False,GCLC
ENSG00000001167,NFYA,nuclear transcription factor Y subunit alpha,False,NFYA
ENSG00000001460,STPG1,sperm tail PG-rich repeat containing 1,False,STPG1
ENSG00000001461,NIPAL3,NIPA like domain containing 3,False,NIPAL3
ENSG00000001497,LAS1L,LAS1 like ribosome biogenesis factor,False,LAS1L
ENSG00000001561,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,False,ENPP4
ENSG00000001617,SEMA3F,semaphorin 3F,False,SEMA3F
ENSG00000001629,ANKIB1,ankyrin repeat and IBR domain containing 1,False,ANKIB1
ENSG00000001631,KRIT1,KRIT1 ankyrin repeat containing,False,KRIT1
ENSG00000002016,RAD52,RAD52 DNA repair protein,False,RAD52
ENSG00000002330,BAD,BCL2 associated agonist of cell death,False,BAD
ENSG00000002549,LAP3,leucine aminopeptidase 3,False,LAP3
ENSG00000002745,WNT16,Wnt family member 16,False,WNT16
ENSG00000002746,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",False,HECW1
ENSG00000002834,LASP1,LIM and SH3 protein 1,False,LASP1
ENSG00000002919,SNX11,sorting nexin 11,False,SNX11
ENSG00000003056,M6PR,"mannose-6-phosphate receptor, cation dependent",False,M6PR
ENSG00000003096,KLHL13,kelch like family member 13,False,KLHL13
ENSG00000003249,DBNDD1,dysbindin domain containing 1,False,DBNDD1
ENSG00000003393,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,False,ALS2
ENSG00000003400,CASP10,caspase 10,False,CASP10
ENSG00000003402,CFLAR,CASP8 and FADD like apoptosis regulator,False,CFLAR
ENSG00000003436,TFPI,tissue factor pathway inhibitor,False,TFPI
ENSG00000003509,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7,False,NDUFAF7
ENSG00000003756,RBM5,RNA binding motif protein 5,False,RBM5
ENSG00000003987,MTMR7,myotubularin related protein 7,False,MTMR7
ENSG00000004059,ARF5,ARF GTPase 5,False,ARF5
ENSG00000004142,POLDIP2,DNA polymerase delta interacting protein 2,False,POLDIP2
ENSG00000004399,PLXND1,plexin D1,False,PLXND1
ENSG00000004455,AK2,adenylate kinase 2,False,AK2
ENSG00000004478,FKBP4,FKBP prolyl isomerase 4,False,FKBP4
ENSG00000004487,KDM1A,lysine demethylase 1A,False,KDM1A
ENSG00000004534,RBM6,RNA binding motif protein 6,False,RBM6
ENSG00000004660,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,False,CAMKK1
ENSG00000004700,RECQL,RecQ like helicase,False,RECQL
ENSG00000004766,VPS50,VPS50 subunit of EARP/GARPII complex,False,VPS50
ENSG00000004776,HSPB6,heat shock protein family B (small) member 6,False,HSPB6
ENSG00000004777,ARHGAP33,Rho GTPase activating protein 33,False,ARHGAP33
ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,False,NDUFAB1
ENSG00000004864,SLC25A13,solute carrier family 25 member 13,False,SLC25A13
ENSG00000004866,ST7,suppression of tumorigenicity 7,False,ST7
ENSG00000004897,CDC27,cell division cycle 27,False,CDC27
ENSG00000004961,HCCS,holocytochrome c synthase,False,HCCS
ENSG00000004975,DVL2,dishevelled segment polarity protein 2,False,DVL2
ENSG00000005007,UPF1,UPF1 RNA helicase and ATPase,False,UPF1
ENSG00000005020,SKAP2,src kinase associated phosphoprotein 2,False,SKAP2
ENSG00000005022,SLC25A5,solute carrier family 25 member 5,False,SLC25A5
ENSG00000005059,MCUB,mitochondrial calcium uniporter dominant negative subunit beta,False,MCUB
ENSG00000005073,HOXA11,homeobox A11,False,HOXA11
