gene_id,gene_symbol,gene_label,gene_name,dynamic_module,module,module_label
ENSG00000000003,TSPAN6,TSPAN6,tetraspanin 6,dimgrey,dimgrey,4
ENSG00000000419,DPM1,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",dimgrey,dimgrey,4
ENSG00000000457,SCYL3,SCYL3,SCY1 like pseudokinase 3,dimgrey,dimgrey,4
ENSG00000000460,FIRRM,FIRRM,FIGNL1 interacting regulator of recombination and mitosis,dimgrey,dimgrey,4
ENSG00000001036,FUCA2,FUCA2,alpha-L-fucosidase 2,dimgrey,dimgrey,4
ENSG00000001084,GCLC,GCLC,glutamate-cysteine ligase catalytic subunit,dimgrey,dimgrey,4
ENSG00000001167,NFYA,NFYA,nuclear transcription factor Y subunit alpha,darkgrey,darkgrey,1
ENSG00000001460,STPG1,STPG1,sperm tail PG-rich repeat containing 1,dimgrey,dimgrey,4
ENSG00000001461,NIPAL3,NIPAL3,NIPA like domain containing 3,dimgrey,dimgrey,4
ENSG00000001497,LAS1L,LAS1L,LAS1 like ribosome biogenesis factor,brown,brown,0
ENSG00000001561,ENPP4,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,dimgrey,dimgrey,4
ENSG00000001617,SEMA3F,SEMA3F,semaphorin 3F,darkgrey,darkgrey,1
ENSG00000001629,ANKIB1,ANKIB1,ankyrin repeat and IBR domain containing 1,darkgrey,darkgrey,1
ENSG00000001631,KRIT1,KRIT1,KRIT1 ankyrin repeat containing,dimgrey,dimgrey,4
ENSG00000002016,RAD52,RAD52,RAD52 DNA repair protein,firebrick,firebrick,5
ENSG00000002330,BAD,BAD,BCL2 associated agonist of cell death,dimgrey,dimgrey,4
ENSG00000002549,LAP3,LAP3,leucine aminopeptidase 3,dimgrey,dimgrey,4
ENSG00000002745,WNT16,WNT16,Wnt family member 16,dimgrey,dimgrey,4
ENSG00000002746,HECW1,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",maroon,maroon,9
ENSG00000002834,LASP1,LASP1,LIM and SH3 protein 1,dimgrey,dimgrey,4
ENSG00000002919,SNX11,SNX11,sorting nexin 11,lightgrey,lightgrey,8
ENSG00000003056,M6PR,M6PR,"mannose-6-phosphate receptor, cation dependent",dimgrey,dimgrey,4
ENSG00000003096,KLHL13,KLHL13,kelch like family member 13,brown,brown,0
ENSG00000003249,DBNDD1,DBNDD1,dysbindin domain containing 1,dimgrey,dimgrey,4
