gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000138778,2525.936852726996,-0.7982019288402997,0.09965659974715495,-8.009524014119167,1.1515325262995266e-15,8.040000098623294e-12,MB1_vs_CTR,True,up_in_CTR
ENSG00000117984,3034.2008674790836,0.8385685360875954,0.13063689183808366,6.419079054077229,1.371012034789602e-10,3.381756517982208e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000197746,8147.881175352323,0.697311529356255,0.10878115005144387,6.410223913118112,1.4530606636990295e-10,3.381756517982208e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000135046,4815.356288677479,-0.864959034286534,0.13671113910964053,-6.326909715768283,2.501195967826467e-10,4.3658375618410984e-07,MB1_vs_CTR,True,up_in_CTR
ENSG00000165283,2685.720596747721,0.7807329579722032,0.12559030348990693,6.216506659170124,5.083448191372422e-10,6.77616883025761e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000119681,5298.756043026825,0.575393780018346,0.09287816936203949,6.19514557587218,5.823118444793134e-10,6.77616883025761e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000185112,1161.6775496484256,1.1624776064158044,0.18888395239012717,6.154454053432685,7.533656045025871e-10,7.514283786624375e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000130309,2464.326696142199,0.7325482534139968,0.12510881147952213,5.855289045998975,4.761811017957217e-09,4.155870565922161e-06,MB1_vs_CTR,True,up_in_MB1
ENSG00000162909,3785.8113509676964,-0.8103528345010552,0.1401115050382356,-5.783628077365343,7.310647943327021e-09,5.6714382155899185e-06,MB1_vs_CTR,True,up_in_CTR
ENSG00000136295,2235.948871934839,0.8570355913468799,0.15048935792725124,5.694991347901049,1.2337817761275574e-08,8.614264360922605e-06,MB1_vs_CTR,True,up_in_MB1
ENSG00000113739,10063.527674951089,0.7143394874629552,0.1267077688429267,5.637692889600843,1.7234351136425595e-08,1.0342745961452321e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000087460,5336.872231517368,-0.9830634963612181,0.17453850546844346,-5.632358852407819,1.777613170114979e-08,1.0342745961452321e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000164134,1104.7728514404432,-0.793397646572278,0.14147143947652635,-5.6081824678395416,2.0446240357187822e-08,1.0981203859529645e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000147133,1810.4761484837784,1.077884667977419,0.19313728728786794,5.580924756237513,2.392431332832668e-08,1.1931396832741206e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000137193,321.1353262732337,1.5516081520936174,0.2797334945680116,5.546737098786626,2.910498620377084e-08,1.3547400911648532e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000034152,7660.3722083708635,0.8139861161834868,0.1471511509032364,5.53163268643918,3.17263733427608e-08,1.3844596167447245e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000162604,1167.8365327586332,0.6481562316690321,0.11752019489248794,5.515275330014478,3.482343495202042e-08,1.4302189578529796e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000117298,4422.693376465871,0.6032059268043397,0.11125288427675303,5.421935177013504,5.8957263538114503e-08,2.286886744572864e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000164885,249.43465083219053,1.0844490753260578,0.20070845785589847,5.4031060121275685,6.54967232650568e-08,2.290652277120837e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000119326,1715.175616327873,-0.6479743121289235,0.11993350046086196,-5.402779954216193,6.561593460672692e-08,2.290652277120837e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000049245,1298.757702555745,-0.7193653964893844,0.13484897883153854,-5.334600252242613,9.575527245795896e-08,3.1836348204831876e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000102531,497.0932715529328,-0.8543576844405091,0.16064742744914715,-5.318215784756065,1.0478974846885772e-07,3.291957217102132e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000112312,669.7349280296938,-0.8558106344826664,0.16110967157476602,-5.311975538883221,1.0844316240811948e-07,3.291957217102132e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000107959,878.528738768603,-0.6896395166208967,0.13169605175630436,-5.236599787342397,1.6356182792916547e-07,4.7582861775059726e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000138182,2488.2053138741917,-0.5571680348089354,0.10656989065625923,-5.228193736315999,1.7117409273712112e-07,4.780550061962318e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000168010,225.36487115861618,1.366331111776363,0.261840271398038,5.218185516235304,1.8068444309586883e-07,4.852072237289832e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000116133,3872.875271636294,0.6696596609863789,0.12926312395816106,5.180593199984315,2.2118138165036622e-07,5.549648931431487e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000114315,507.36616844999145,-1.2483874007774383,0.24102769139450606,-5.179435580844193,2.2255824989985911e-07,5.549648931431487e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000149577,580.8663970198791,0.9764713030210135,0.19093805193274727,5.114073874415294,3.152839593035881e-07,7.423989593797717e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000136193,1367.7713186571991,-0.6725449848039815,0.1315725574054261,-5.111590122335386,3.1945835873051166e-07,7.423989593797717e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000159228,1646.3513737488458,-0.7526324194588917,0.14741109427946883,-5.105670120269348,3.2962428732129653e-07,7.423989593797717e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000137216,536.7499796491043,1.2239818269904432,0.2406933647929696,5.0852329396086215,3.671751474178205e-07,8.01130274772257e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000185896,9880.606499531195,0.632871474259024,0.1261036468536002,5.018661157307806,5.203283315231256e-07,0.00011008886093013524,MB1_vs_CTR,True,up_in_MB1
