gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000185112,1161.674475741636,1.5571193127206464,0.1882779299123403,8.270323098653256,1.335964657986139e-16,1.1533382892394338e-12,MC1_vs_CTR,True,up_in_MC1
ENSG00000124145,4596.392006262066,0.8622103459614927,0.11815664308682051,7.297180449921447,2.938605704070881e-13,1.2684491521621958e-09,MC1_vs_CTR,True,up_in_MC1
ENSG00000135046,4815.3019007067705,-0.9356401835008417,0.13660539121813162,-6.849218578839326,7.425446814342224e-12,2.135498508092367e-08,MC1_vs_CTR,True,up_in_CTR
ENSG00000119681,5298.729572415569,0.6313446282500725,0.09273532052448887,6.80802767143455,9.89458361215043e-12,2.135498508092367e-08,MC1_vs_CTR,True,up_in_MC1
ENSG00000040275,2053.578939417958,1.1497128465862132,0.1721571268576971,6.678276221097435,2.4176903740413147e-11,4.174384199819734e-08,MC1_vs_CTR,True,up_in_MC1
ENSG00000196396,3192.6985875973755,1.0123022542916325,0.157520060356881,6.426497374354338,1.3057767627903196e-10,1.8787951321948047e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000177469,37009.97493551837,0.8959070433309455,0.1407607302262014,6.364751318718152,1.9560639493814912e-10,2.2604229754760378e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000147133,1810.4705208275275,1.2255995197721494,0.19287920009119996,6.354233733822224,2.0946813163220552e-10,2.2604229754760378e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000169925,1391.8194310460167,1.0112315290430447,0.15999084221220464,6.320558821121728,2.606191021862233e-10,2.4999163435262953e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000159202,2393.486788117661,1.4050203227152378,0.22394492048396814,6.273954862110038,3.519905908499732e-10,3.0387347708078184e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000110395,1043.9138942890374,0.9764653749395305,0.15699882282745842,6.2195713149560685,4.985150046721262e-10,3.7234898214166656e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000138778,2525.910186264195,-0.7004083362164298,0.11272032981782616,-6.21368245948535,5.175706921927487e-10,3.7234898214166656e-07,MC1_vs_CTR,True,up_in_CTR
ENSG00000178741,2251.5274783195578,-0.8550362143183954,0.13789220351073309,-6.200758219458304,5.619178276265879e-10,3.7315666199233335e-07,MC1_vs_CTR,True,up_in_CTR
ENSG00000131747,19915.706763433758,0.9650136672298982,0.15720176447091247,6.138694883469057,8.320219747170053e-10,4.944752547816284e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000072110,21271.865544137705,0.6296874137610712,0.10266207516872726,6.133593274109906,8.591600627504258e-10,4.944752547816284e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000197958,5865.780702794145,-1.061731391695922,0.17392029086366814,-6.104701104301782,1.0299323718260361e-09,5.557128853733857e-07,MC1_vs_CTR,True,up_in_CTR
ENSG00000089597,4782.574473895875,1.109534178487796,0.1837288067012357,6.0389777651581165,1.5509361233962974e-09,7.876018560753079e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000122565,10607.198469735378,0.9646372319399563,0.1605882492588289,6.006897991553526,1.8910640984906265e-09,9.069753534594209e-07,MC1_vs_CTR,True,up_in_MC1
ENSG00000077549,15211.76610164168,0.8289803979813125,0.14025853714903608,5.9103739054433,3.4133205300842587e-09,1.5509050598009161e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000165283,2685.708051321322,0.7386376098659388,0.12544343743655623,5.888212448255887,3.903950738541429e-09,1.6851403362914077e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000070614,4072.772933481308,0.9654468276520107,0.16420334630613218,5.8795807111755325,4.11307008874433e-09,1.6908635274347525e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000159228,1646.3340112622125,-0.8518427716944322,0.14717004370691839,-5.788153283359986,7.116445757513918e-09,2.7925580102098936e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000011405,1098.6592081051938,0.9745983689715315,0.16904186596190815,5.765425999208665,8.14518359974493e-09,3.0572769572433904e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000134419,4715.422853912086,-0.9583567027125599,0.16695703853974211,-5.740139565810726,9.459855644369351e-09,3.4027889074100253e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000197746,8147.822267001393,0.6214352420714525,0.10871482185703117,5.716196112510678,1.0893501144472483e-08,3.761743815209238e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000172663,402.3684615533951,0.9065592209010856,0.1589779128256067,5.702422461009095,1.1811664588683176e-08,3.921926938234687e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000241685,1501.9469303641542,-1.067947896000696,0.18784043805999354,-5.685399305018703,1.3050736352195212e-08,4.17285210846301e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000128050,1924.216860274296,-0.6946737790676396,0.12241769613517474,-5.674618956237949,1.3899770086394462e-08,4.1951128524574184e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000129084,1772.3419221562774,-0.7356951714922544,0.12970043994395447,-5.672264271502544,1.4092235922769042e-08,4.1951128524574184e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000100234,5268.9435397174,0.5439598300749007,0.096224311690687,5.653039450398556,1.576351076522883e-08,4.3979997996756476e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000114315,507.3593680627537,-1.3586858315645747,0.24035956716062384,-5.652722076407355,1.5792655367768455e-08,4.3979997996756476e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000126950,1030.5714966558205,0.8934463967651818,0.15881748618960123,5.625617293164795,1.8484575314838897e-08,4.986791834156381e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000088247,15337.78647521551,0.9220245267310618,0.1644683397364966,5.6060912891094175,2.0694683976683227e-08,5.413854750627464e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000125844,6798.512225881638,0.9501171012786586,0.1701343494509018,5.584510737220928,2.3435903922749174e-08,5.9506517225027535e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000034152,7660.339276905135,0.8195232096567912,0.14710199317836595,5.571122402557066,2.5310342194205904e-08,6.115002050050603e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000179820,4780.245508519672,0.5859881917892071,0.10521762293243336,5.569297000422693,2.5576918600224386e-08,6.115002050050603e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000172428,1967.893350927944,-0.7359883819096167,0.13225195954789756,-5.565047084561832,2.620816354128024e-08,6.115002050050603e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000170004,2244.969804804848,0.8033815558855633,0.14467545674605456,5.55299132247234,2.8082202100902794e-08,6.379832914134048e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000142156,18781.064770022665,0.6160293651398964,0.11149434616187448,5.525207208673222,3.2909697419519584e-08,7.254198092160321e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000114902,1293.3748101234044,-0.9602255322669359,0.1739065942322231,-5.521501565286913,3.361148195139729e-08,7.254198092160321e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000143742,780.4367655046071,-1.1371661237266752,0.20674073190325998,-5.500445477085708,3.788328876178816e-08,7.892808391129873e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000168028,5151.798091432949,-0.9009607302370042,0.16386880182514563,-5.498061377164179,3.839892881124229e-08,7.892808391129873e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000084623,2680.168435017289,-0.7047101922822205,0.12852312134938643,-5.4831394140085195,4.1784346913929905e-08,8.388936439719926e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000173821,1382.6797092151182,0.6167554780513661,0.11263403911148574,5.47574678948429,4.3567030320188716e-08,8.548049380777028e-06,MC1_vs_CTR,True,up_in_MC1
ENSG00000115541,2356.157326363768,-0.9490487811600558,0.17387607466267851,-5.458190743040529,4.810107691243495e-08,9.227924377445575e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000111875,194.092920218486,-1.3706747673284043,0.2521087943150665,-5.4368383738944015,5.423429228621291e-08,9.827574528258507e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000108298,12971.561490794344,-0.816452106829401,0.15020447025069278,-5.435604582651462,5.461094216596256e-08,9.827574528258507e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000165637,1863.8844218828751,-0.7201694802193702,0.132493609377267,-5.4355035205413875,5.4641906331102556e-08,9.827574528258507e-06,MC1_vs_CTR,True,up_in_CTR
ENSG00000214357,1332.7426354216502,1.062174424925368,0.1967692996415537,5.398069855715734,6.736164134907104e-08,1.1655588253744026e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000101856,972.5152190586019,-0.7999636206526752,0.14826000993674054,-5.395680338845269,6.826438801524993e-08,1.1655588253744026e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000117298,4422.670131734055,0.5990475312937172,0.11112668367720659,5.390672262242529,7.019459102097662e-08,1.1655588253744026e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000136295,2235.9397091307615,0.8104320097230716,0.15034052496234465,5.390642409463836,7.020625381613453e-08,1.1655588253744026e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000087460,5336.808546615216,-0.9391877504551601,0.17442293814666182,-5.38454265496579,7.262907958277809e-08,1.183031781204006e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000137575,4024.1628467435803,0.6705062307912065,0.12494688135207918,5.366330263993011,8.035474776815434e-08,1.2846343286712528e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000152492,2333.0373297241626,-0.5651269547825596,0.10614662720408975,-5.3240217769329705,1.0149774759614038e-07,1.5931455545408725e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000164111,9280.046051605115,-0.6668593760502776,0.12542786636260891,-5.316676392488438,1.0567977247169739e-07,1.6291669209788635e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000107949,1416.0331215547903,1.158803938961618,0.21866638556671408,5.299415069940288,1.1617425994957023e-07,1.75953050200814e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000123933,1295.2902253153068,1.0099280397819124,0.19079882010153643,5.293156630866291,1.2022286444125434e-07,1.7894551529678426e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000197632,1916.6067811380838,-1.0407742768057957,0.19829186410052366,-5.248698838587635,1.5317724935728376e-07,2.2413206672905603e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000030582,3583.308605118453,1.1847870840459473,0.2263389593022676,5.234569813779635,1.6536955882103776e-07,2.379392335503365e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000144848,598.0599349765681,-1.0580779825286555,0.20297526500967025,-5.212841980909576,1.859693025567059e-07,2.6000606849975837e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000173852,450.6152822127294,-1.0129627025698313,0.19434883680657164,-5.212085234026877,1.8672971443281615e-07,2.6000606849975837e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000170860,1654.5153594496412,-0.690763056633898,0.13301218144377633,-5.1932315456827585,2.0667487739725355e-07,2.8321019310642697e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000154027,1461.8634954000293,-0.937171900883966,0.18133755522098008,-5.168107068289949,2.3647683371760725e-07,3.1898507898189115e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000238227,1599.630804811418,0.8979738167430782,0.17460861498872934,5.142780708735595,2.707015332836486e-07,3.595332825904212e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000185896,9880.552768821673,0.6474438889578061,0.12604969493231347,5.13641773830133,2.8002483948728553e-07,3.662809756505661e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000153140,3844.029671896229,1.208897686697615,0.23556140697455533,5.131985337599027,2.867018382867584e-07,3.684901276314216e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000071243,589.3032758727222,0.9920011095133803,0.19338497561581305,5.129670008512619,2.902505349118113e-07,3.684901276314216e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000145425,2692.310114271898,-0.920214520113605,0.17969515201398484,-5.1209757736924875,3.039586988422743e-07,3.803007894355585e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000147669,729.976972005693,-0.9891758786342111,0.19504972295657258,-5.071403658719623,3.94892163081604e-07,4.8701486341192674e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000051128,1973.4069403132332,0.940983682860925,0.18592572334491816,5.061073131420707,4.169032543833409e-07,5.0691912606920866e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000133895,749.3069031515224,0.8902035981739564,0.17635872935579588,5.047686618211057,4.471918797572088e-07,5.361954858255533e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000008441,5189.545368568412,0.8804261395499271,0.17455670845764715,5.04378289055299,4.5641715509768493e-07,5.397601780764814e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000180398,3283.659086312491,-0.768014344432481,0.15266196271361374,-5.030816653872306,4.883950297623378e-07,5.697722016132787e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000023572,634.2438976962774,-0.9659202084383512,0.1921229621774297,-5.027614593753261,4.966187202941998e-07,5.716412549733103e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000164932,1682.6485430766672,0.7056084458061384,0.14048808282151765,5.022550181018379,5.098986892634355e-07,5.79204655843584e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000099904,743.5916604655819,0.847969208101361,0.16903068671894422,5.016658362817409,5.257794017576985e-07,5.894874773213262e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000162909,3785.7686594865722,-0.6996675493831814,0.13987673992324684,-5.002029284976923,5.67299700981895e-07,6.278843998175257e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000148450,1663.053094115851,0.7987036642242388,0.15988391994149634,4.995522154551222,5.867678693811206e-07,6.412110147300272e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000183258,984.5409021983045,0.8742131133452671,0.17526220726766034,4.9880298038821875,6.099816019259872e-07,6.582463961783809e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000075415,5988.061109618738,-0.6079461888607383,0.12246107964466332,-4.964403307767438,6.891260797160524e-07,7.344722773072445e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000062485,1223.4821678320482,-0.8605948058480839,0.17386624429524836,-4.949752088661199,7.430807321589887e-07,7.823190196010426e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000113739,10063.459910510803,0.6264952410959902,0.12666622311233533,4.946032381026914,7.574136527567378e-07,7.87801453523966e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000162878,815.7972396948658,0.8932546899859602,0.18074686291380823,4.942020434467633,7.731710972088044e-07,7.946173907385247e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000163584,5300.395798560418,-0.6829257184514473,0.13830109513608074,-4.937963201083012,7.894273396691175e-07,8.01316729254376e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000135111,2674.876853694192,0.6738803579560124,0.1365292737143601,4.9357939116110146,7.98253662873582e-07,8.01316729254376e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000108654,4121.671741279676,-0.5823205038107239,0.11815029892648997,-4.9286418155660225,8.280321987750578e-07,8.216553990833418e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000173726,1809.610230476603,-0.5608202621151988,0.1139516428611114,-4.921563639049485,8.585547451711759e-07,8.228665636847608e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000159674,16014.541907015564,0.7220947631391825,0.14673331309258375,4.921137183643943,8.604279054048587e-07,8.228665636847608e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000153989,315.92169086894773,-1.0330105721287806,0.2100215858618653,-4.918592381300314,8.716877600123212e-07,8.228665636847608e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000106355,1130.0783396334666,-0.700316760596626,0.1424230828669014,-4.917157714182418,8.780980630773261e-07,8.228665636847608e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000163754,808.1515240351713,-0.9395276882429184,0.191127633090964,-4.915708278539534,8.846204395464281e-07,8.228665636847608e-05,MC1_vs_CTR,True,up_in_CTR
ENSG00000107679,222.99699680498156,1.036845017935558,0.21094214474160997,4.915305185721061,8.864426088576712e-07,8.228665636847608e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000129245,1798.5498826879568,0.823020645592667,0.16764863331730498,4.909199850349829,9.144874800114563e-07,8.398691930786066e-05,MC1_vs_CTR,True,up_in_MC1
ENSG00000136193,1367.7563571143764,-0.6426729037565376,0.1310405380908398,-4.904382362281086,9.372176856445635e-07,8.516842400178439e-05,MC1_vs_CTR,True,up_in_CTR
