gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000119681,5298.729572415569,0.7360534337654393,0.09274468038515249,7.936341261932627,2.0823257354907583e-15,1.6993860327340077e-11,MD1_vs_CTR,True,up_in_MD1
ENSG00000117984,3034.186636857207,0.9740798887447132,0.13049916814178578,7.464261286986804,8.376822923881599e-14,3.4181625940898866e-10,MD1_vs_CTR,True,up_in_MD1
ENSG00000147133,1810.4705208275275,1.3745349611718702,0.1928704981994153,7.126724792045139,1.0278531344921874e-12,2.6005992385904282e-09,MD1_vs_CTR,True,up_in_MD1
ENSG00000034152,7660.339276905135,1.0438827363599328,0.14708722817563447,7.097031804239655,1.274647341546589e-12,2.6005992385904282e-09,MD1_vs_CTR,True,up_in_MD1
ENSG00000169607,1754.8449891233176,-1.0888754335946795,0.16241304686955,-6.704359376185235,2.022918546925653e-11,3.301807652292051e-08,MD1_vs_CTR,True,up_in_CTR
ENSG00000162604,1167.828941956662,0.770306540482731,0.11704888203670905,6.581067047194404,4.670838809327819e-11,6.353119253820722e-08,MD1_vs_CTR,True,up_in_MD1
ENSG00000172809,12095.65953714129,-0.7204044352518032,0.11229750729922156,-6.415141819063307,1.4069182733189628e-10,1.6402657183651507e-07,MD1_vs_CTR,True,up_in_CTR
ENSG00000135046,4815.3019007067705,-0.8729641962896578,0.1366338943967688,-6.389074981312268,1.6689221549197283e-10,1.7025092132874877e-07,MD1_vs_CTR,True,up_in_CTR
ENSG00000127184,3716.5012097188105,-0.9299126319757717,0.1460103754735539,-6.36881200366615,1.9049793001652753e-10,1.7273928965165348e-07,MD1_vs_CTR,True,up_in_CTR
ENSG00000116133,3872.8495041878655,0.8077732455376118,0.12913600302596415,6.25521331471906,3.96972935917267e-10,3.239696130020816e-07,MD1_vs_CTR,True,up_in_MD1
ENSG00000185896,9880.552768821673,0.7848853822359438,0.12604863958450674,6.226845325924628,4.759205475854647e-10,3.5308978080408884e-07,MD1_vs_CTR,True,up_in_MD1
ENSG00000185112,1161.674475741636,1.1628711167010461,0.18869467239068394,6.162713032477002,7.150903042746271e-10,4.622508491870499e-07,MD1_vs_CTR,True,up_in_MD1
ENSG00000196396,3192.6985875973755,0.9703785188976479,0.1575781903124882,6.1580762983336825,7.363388113505269e-10,4.622508491870499e-07,MD1_vs_CTR,True,up_in_MD1
ENSG00000126950,1030.5714966558205,0.9642992294037583,0.1588772828019505,6.069459474617348,1.2834147152359035e-09,7.48139106502872e-07,MD1_vs_CTR,True,up_in_MD1
ENSG00000138182,2488.179047939599,-0.6414510748611673,0.10644003225272418,-6.026408121881701,1.6764354057003235e-09,9.120926230613562e-07,MD1_vs_CTR,True,up_in_CTR
ENSG00000137575,4024.1628467435803,0.7514354703563844,0.12496497643885901,6.013168583471349,1.8193166193908116e-09,9.279651831780259e-07,MD1_vs_CTR,True,up_in_MD1
ENSG00000117395,2501.0565575482237,-0.9689600504280754,0.16253662334769048,-5.961487512603993,2.4995202193924543e-09,1.1999167359095188e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000166908,444.1661886986606,1.413303402432377,0.23950901316649392,5.900835980021861,3.6166431583004847e-09,1.629695000936032e-06,MD1_vs_CTR,True,up_in_MD1
ENSG00000117298,4422.670131734055,0.6550250150594988,0.11115446501854301,5.8929258032974765,3.794167996297587e-09,1.629695000936032e-06,MD1_vs_CTR,True,up_in_MD1
ENSG00000113739,10063.459910510803,0.7429584199555208,0.12666828633567356,5.865386210299441,4.4808847654929525e-09,1.7143385991277508e-06,MD1_vs_CTR,True,up_in_MD1
ENSG00000080986,810.8228179771313,-1.0630255203216858,0.181272589416725,-5.864237520643076,4.512012184633852e-09,1.7143385991277508e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000173692,5164.035425993888,-0.5238729279664921,0.08943414142615365,-5.857639147786278,4.694934030158481e-09,1.7143385991277508e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000221823,3062.3240925092723,1.0362514110551215,0.1770499994714605,5.852874409198513,4.831489741445689e-09,1.7143385991277508e-06,MD1_vs_CTR,True,up_in_MD1
ENSG00000087460,5336.808546615216,-1.017723337819134,0.17448774506862397,-5.832635050781792,5.455881338846532e-09,1.7693639386142522e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000008952,4767.215232702821,-0.9623347944860954,0.1650939960357404,-5.829011457677504,5.5756675680096e-09,1.7693639386142522e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000084623,2680.168435017289,-0.7494343793516134,0.12865553186470918,-5.825123634323778,5.7070334730845894e-09,1.7693639386142522e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000159228,1646.3340112622125,-0.8575229356069718,0.14731838995398264,-5.820881804877405,5.853795655260975e-09,1.7693639386142522e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000197728,3114.8667932941553,-1.4521888448235012,0.2521215950174857,-5.759874891806811,8.4176303542481e-09,2.4534386186078124e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000198467,12337.238711130107,-0.6550722489029009,0.11385058922744097,-5.753788832785517,8.72651512348407e-09,2.455761721474258e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000164294,1782.673306024757,-0.7281547070949509,0.12671256078057969,-5.746507706965621,9.11054803054622e-09,2.459812878211337e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000006016,779.3938437406214,0.9460590735264809,0.1648883898029114,5.737572394619724,9.604323042181193e-09,2.459812878211337e-06,MD1_vs_CTR,True,up_in_MD1
ENSG00000125351,723.7513377104477,-1.1192112407285701,0.1950914690022034,-5.736853827862302,9.645143009773652e-09,2.459812878211337e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000214357,1332.7426354216502,1.1279399049887944,0.19681198985675474,5.731052797188528,9.980919083778926e-09,2.468311534627873e-06,MD1_vs_CTR,True,up_in_MD1
ENSG00000164134,1104.7601886684758,-0.8057995997329537,0.14111036983852507,-5.710420861734283,1.1269713290699721e-08,2.6952688523086753e-06,MD1_vs_CTR,True,up_in_CTR
ENSG00000070614,4072.772933481308,0.9371897776082744,0.16424338922616402,5.706103496913102,1.1559172874746187e-08,2.6952688523086753e-06,MD1_vs_CTR,True,up_in_MD1
ENSG00000124795,6743.681979645757,-0.6674145541070436,0.11762634081102952,-5.674022922971535,1.3948245517087673e-08,3.161989768470903e-06,MD1_vs_CTR,True,up_in_CTR
