Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,'De Novo' Post-Translational Protein Folding (GO:0051084),6/25,0.7021444099074504,0.9843842258195671,0.9037727203299221,0.3195886605602995,SDF2;GAK;DNAJB1;HSPA5;SDF2L1;DNAJB5,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,2-Oxoglutarate Metabolic Process (GO:0006103),4/11,0.34117539716566414,0.9843842258195671,1.6279957258433826,1.7506791601817462,GOT2;IDH2;GPT2;L2HGDH,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427),2/6,0.5114032610339023,0.9843842258195671,1.5069921179760997,1.01058415141475,ENPP1;TPST1,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,3'-UTR-mediated mRNA Destabilization (GO:0061158),6/12,0.07518876773982759,0.8771085494570902,2.715289445547579,7.026499560801675,ZFP36L1;MOV10;RC3H1;UPF1;DHX36;ZC3H12A,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,3'-UTR-mediated mRNA Stabilization (GO:0070935),2/11,0.8399997187274499,0.9843842258195671,0.7134369103536874,0.12439038072742852,MAPKAPK2;HNRNPC,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,5S Class rRNA Transcription By RNA Polymerase III (GO:0042791),2/5,0.40799259067797955,0.9843842258195671,1.9377792306854091,1.7372312201976665,GTF3C4;GTF3C3,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,7-Methylguanosine Cap Hypermethylation (GO:0036261),2/7,0.6020735192205533,0.9843842258195671,1.2328548644338118,0.6255206197867158,SNRPD1;SNRPD3,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,7-Methylguanosine RNA Capping (GO:0009452),1/4,0.7150825325671478,0.9843842258195671,1.1623129044205756,0.3897901322427833,RNMT,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,7-Methylguanosine mRNA Capping (GO:0006370),1/5,0.7918550180394399,0.9843842258195671,0.9039194753698337,0.21095398101457175,RNMT,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,ADP Transport (GO:0015866),2/6,0.5114032610339023,0.9843842258195671,1.5069921179760997,1.01058415141475,SLC25A42;SLC25A24,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,AMP Metabolic Process (GO:0046033),2/9,0.743898137547109,0.9843842258195671,0.9038901601830663,0.2674169573030797,AMPD2;AK4,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,ATF6-mediated Unfolded Protein Response (GO:0036500),1/5,0.7918550180394399,0.9843842258195671,0.9039194753698337,0.21095398101457175,CREBZF,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,ATP Biosynthetic Process (GO:0006754),3/23,0.9679629026189063,0.9948310399229362,0.4624320270365835,0.015057487930840715,ATP5PO;TGFB1;ATP5MC1,ME_darkgrey,GO_Biological_Process_2023
gs_ind_0,ATP Metabolic Process (GO:0046034),8/25,0.35367813307052137,0.9843842258195671,1.318027990655226,1.3699161272169775,NMNAT1;AK4;CLPX;TGFB1;FIGNL1;CTNS;ATP5PO;ENPP1,ME_darkgrey,GO_Biological_Process_2023
