Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,ABC transporters,7/23,0.42908394527755517,0.9910875898721354,1.233210639627752,1.0434228550131082,ABCC2;ABCA7;ABCA2;ABCC5;ABCB9;ABCB7;ABCC3,ME_darkgrey,KEGG_2021_Human
gs_ind_0,AGE-RAGE signaling pathway in diabetic complications,32/87,0.02784641875321017,0.5127017099855755,1.5939288017809958,5.7079401883665035,CDC42;MAPK13;PIK3R3;PIK3CA;STAT3;BAX;STAT5A;PIM1;COL4A5;VEGFA;RELA;PIK3CD;PRKCD;MAPK11;SMAD2;TGFB3;MAPK3;NOX1;SERPINE1;PLCE1;MAPK12;CDKN1B;SMAD3;NOS3;COL4A2;JAK2;PLCG1;NFATC1;TGFB1;PIK3R2;F3;AKT2,ME_darkgrey,KEGG_2021_Human
gs_ind_0,AMPK signaling pathway,40/97,0.001536321761797527,0.12012732091001066,1.921492178744707,12.448126114185328,AKT1S1;PIK3R3;CREB3L1;TSC1;PIK3CA;PFKFB3;MAP3K7;PPP2R1B;CRTC2;PRKAA2;PIK3CD;LEPR;ACACB;CPT1A;GYS1;IGF1R;CAMKK2;FASN;PPP2R2B;PFKP;PPP2CB;LIPE;RAB14;STRADA;PFKFB2;CREB5;IRS2;RAB8A;CD36;TBC1D1;PRKAG1;PRKAB2;ULK1;CREB3;PIK3R2;RAB11B;SCD;PFKFB4;FOXO3;AKT2,ME_darkgrey,KEGG_2021_Human
gs_ind_0,Acute myeloid leukemia,16/55,0.40879346133217337,0.9690054584080178,1.1334864137865497,1.0139548703955188,KIT;TCF7L2;PIK3R3;RUNX1T1;MAPK3;PIK3CA;PML;RELA;STAT3;PIK3CD;STAT5A;PIK3R2;ARAF;PIM1;MAP2K2;AKT2,ME_darkgrey,KEGG_2021_Human
gs_ind_0,Adherens junction,16/63,0.655387544283339,0.9999999935361611,0.9417319152024385,0.3979086184093153,CDC42;TCF7L2;ERBB2;WASF2;ACTN1;NECTIN3;CSNK2A2;PTPN1;MAPK3;AFDN;MAP3K7;CSNK2A1;SMAD3;FGFR1;CDH1;IGF1R,ME_darkgrey,KEGG_2021_Human
gs_ind_0,Adipocytokine signaling pathway,17/47,0.10507247509427714,0.6715187240860817,1.5589849883801268,3.5125567598988705,TNFRSF1B;JAK2;NFKBIA;SOCS3;PRKAA2;RELA;STAT3;CD36;IRS2;PRKAG1;LEPR;AKT2;ACACB;ACSL3;CPT1A;PRKAB2;CAMKK2,ME_darkgrey,KEGG_2021_Human
gs_ind_0,Adrenergic signaling in cardiomyocytes,23/97,0.796269142544207,0.9999999935361611,0.8543851893528379,0.19464435199213606,CACNB1;CACNG8;CREB3L1;MAPK13;ATP2A3;PPP2R1B;TPM4;ATP1B2;SCN1B;MAPK11;SLC9A1;CACNG7;PPP2R2B;PPP2CB;ADCY6;MAPK3;CREB5;MAPK12;SLC8A1;CAMK2B;ATP1A1;CREB3;AKT2,ME_darkgrey,KEGG_2021_Human
gs_ind_0,African trypanosomiasis,2/17,0.9650731566635797,0.9999999935361611,0.4369725154400728,0.015534971795825006,THOP1;F2RL1,ME_darkgrey,KEGG_2021_Human
gs_ind_0,"Alanine, aspartate and glutamate metabolism",4/27,0.957296394552833,0.9999999935361611,0.5186377262526104,0.022634503462829015,GOT2;ASL;GPT2;ALDH4A1,ME_darkgrey,KEGG_2021_Human
gs_ind_0,Alcoholism,24/104,0.8419542771007008,0.9999999935361611,0.824043591781133,0.14175986388601114,CREB3L1;H2BC6;SHC2;H2AC21;GNB4;H2AC14;HDAC1;MAOA;ARAF;HDAC8;CAMKK2;H3C10;H2BC11;MAPK3;HDAC11;CREB5;SHC1;GNB3;H2BC7;HDAC10;GNB5;CREB3;HDAC9;HDAC3,ME_darkgrey,KEGG_2021_Human
