Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,ATP Metabolic Process (GO:0046034),1/25,0.19155636967403009,0.3907343455685123,7.195520159283226,11.891123451962718,ATP1B1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Actin Filament Depolymerization (GO:0030042),1/9,0.07364837565515618,0.36015876044602535,20.76757532281205,54.17124812503386,WDR1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Actin Filament Organization (GO:0007015),1/98,0.5665982586575737,0.6224486584395346,1.7971482176360225,1.02096846568716,FAT1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Actin Nucleation (GO:0045010),1/16,0.12719383729520825,0.3683227424141804,11.382061369000787,23.47030086144596,ARPC5,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Actin Polymerization Or Depolymerization (GO:0008154),1/43,0.3065114349568113,0.45591352704407717,4.141807747489239,4.897688556545834,WDR1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Activation Of GTPase Activity (GO:0090630),1/70,0.44927182527330617,0.5356434630002673,2.5270749254255134,2.021981315842471,TBC1D15,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Actomyosin Structure Organization (GO:0031032),1/57,0.38459287169568046,0.4962280508959367,3.111892941938269,2.9736314773226957,WDR1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Aerobic Electron Transport Chain (GO:0019646),1/63,0.4153294949635193,0.5151425510112038,2.8117463414634147,2.47063401986625,NDUFA7,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Aerobic Respiration (GO:0009060),1/58,0.38982454338727346,0.4971131121325176,3.0575185577942734,2.8803614375121493,NDUFA7,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Anterograde Axonal Transport (GO:0008089),1/38,0.27631069259995383,0.4381091187821949,4.696,6.040133020846086,RAB21,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Apical Junction Assembly (GO:0043297),1/28,0.2119479745127297,0.4014482571435693,6.408957871396896,9.942949772092838,WDR1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Apoptotic Mitochondrial Changes (GO:0008637),1/29,0.21863133051315672,0.4051264895532952,6.183568677792041,9.401302355279574,BNIP3,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Apoptotic Process (GO:0006915),4/166,0.05223488732795205,0.36015876044602535,3.3143100115964437,9.7838586244941,BNIP3;FAS;BCLAF1;CASP3,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314),1/14,0.11221593087616208,0.3683227424141804,13.070460704607045,28.58941485902285,ARPC5,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Astral Microtubule Organization (GO:0030953),1/7,0.05776085950197078,0.36015876044602535,27.162101313320825,77.45120820790622,RAB11A,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Autophagosome Assembly (GO:0000045),1/51,0.3522568987915926,0.4768076387456954,3.4833615068823955,3.634520389197562,RB1CC1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Autophagosome Organization (GO:1905037),1/47,0.329770553389495,0.46660577749178317,3.78426435877262,4.198104542629144,RB1CC1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Autophagy Of Mitochondrion (GO:0000422),2/42,0.049037237623641816,0.36015876044602535,7.316487259015995,22.060491797740745,BNIP3;RB1CC1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Autophagy Of Nucleus (GO:0044804),1/16,0.12719383729520825,0.3683227424141804,11.382061369000787,23.47030086144596,RB1CC1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Autophagy Of Peroxisome (GO:0030242),1/8,0.06573806083941089,0.36015876044602535,23.538536585365854,64.07371396291906,RB1CC1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Axonal Transport (GO:0098930),1/36,0.2638689243614971,0.4299050907499815,4.961387839230505,6.610070898992993,RAB21,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Basement Membrane Organization (GO:0071711),1/8,0.06573806083941089,0.36015876044602535,23.538536585365854,64.07371396291906,NID1,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Blood Vessel Morphogenesis (GO:0048514),1/32,0.2383464528457674,0.4146796883221609,5.593263646922184,8.02090775330277,HAS2,ME_darkred,GO_Biological_Process_2023
gs_ind_0,Brain Development (GO:0007420),1/113,0.6188888399291166,0.6637733862001264,1.5555772357723576,0.7464120067083083,CENPF,ME_darkred,GO_Biological_Process_2023
