Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,1-Phosphatidylinositol-3-Kinase Regulator Activity (GO:0046935),1/10,0.08149235932068713,0.28201382288991333,18.57997432605905,46.58456656545481,SOCS2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,3-hydroxyacyl-CoA Dehydrogenase Activity (GO:0003857),1/5,0.04160355272059104,0.27537589657915024,39.240650406504066,124.76838356758627,HADHA,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,ATP Binding (GO:0005524),2/225,0.5708002959183904,0.6398487188117441,1.3056391267453522,0.7320925853247637,TRPV1;TOP1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,ATPase Binding (GO:0051117),2/57,0.08385579409665787,0.28201382288991333,5.332401366884126,13.217192334403238,SLC2A13;ATP1B1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Acetylglucosaminyltransferase Activity (GO:0008375),1/26,0.19841097075433756,0.4055753666890135,6.912769010043042,11.180814833374484,PIGP,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Adenyl Ribonucleotide Binding (GO:0032559),2/243,0.6129383182509852,0.6708537498967476,1.2064885924384747,0.5905652724491229,TRPV1;TOP1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Amyloid-Beta Binding (GO:0001540),1/45,0.31823921340669353,0.4656342175108463,3.9550013702384215,4.528286474067939,FZD6,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Cadherin Binding (GO:0045296),3/276,0.41467299908723615,0.5056100602905774,1.5022237987393927,1.322355067284812,YWHAE;ARHGAP18;KTN1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Calcium Channel Activity (GO:0005262),1/48,0.3354635793668068,0.4662943753198615,3.7042875481386393,4.045978013223034,TRPV1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Calcium Channel Regulator Activity (GO:0005246),1/24,0.1846437269774026,0.38306683656505913,7.502335236118318,12.673898308408722,YWHAE,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Calcium Ion Transmembrane Transporter Activity (GO:0015085),1/40,0.28854418285881805,0.44564046019306347,4.457486878666255,5.540241902148877,TRPV1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Calcium-Release Channel Activity (GO:0015278),1/15,0.11973643084488943,0.3263404683811692,12.168040370058874,25.826207698315063,TRPV1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Chromatin DNA Binding (GO:0031490),1/65,0.42523328131568905,0.5110004619147647,2.7241066364152013,2.329430884642541,FOXC2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),4/732,0.8742252167844109,0.8923981899119788,0.7041556443852758,0.09465066628570096,TOP1;TIPARP;SARS1;FOXC2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Cysteine-Type Endopeptidase Activity (GO:0004197),1/69,0.44454513566436915,0.5236591004859942,2.564180167349119,2.0787903148566973,CASP3,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0097153),1/8,0.06573806083941089,0.28201382288991333,23.538536585365854,64.07371396291906,CASP3,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Cysteine-Type Endopeptidase Activity Involved In Execution Phase Of Apoptosis (GO:0097200),1/4,0.03342231336456758,0.27537589657915024,50.45644599303136,171.47782296476882,CASP3,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Cysteine-Type Peptidase Activity (GO:0008234),1/110,0.6089565271615693,0.6708537498967476,1.5985967256932843,0.7929174006256201,CASP3,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Cytokine Receptor Binding (GO:0005126),2/47,0.059928508226366854,0.28201382288991333,6.50977101716018,18.322420752705696,SH2B3;SOCS2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,DNA Binding (GO:0003677),10/629,0.03995324257805623,0.27537589657915024,2.0758633191335085,6.6843742234639905,NR6A1;BCLAF1;SPATA24;ARID4A;FOXC2;HLX;TOP1;CHD1;ZNF638;ZNF292,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,"DNA Binding, Bending (GO:0008301)",1/13,0.10463180886241442,0.30944300918884265,14.117268292682926,31.86701804673994,TOP1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)",2/230,0.5828255107873965,0.648101967995585,1.2765303812613855,0.6891571798481276,TFDP2;FOXC2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,DNA-binding Transcription Factor Binding (GO:0140297),1/223,0.852285901293455,0.8775388168873353,0.7792929569745136,0.12455692098400405,CENPF,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",1/176,0.7783009807346744,0.8195745175918162,0.9919116114238066,0.2486146753133072,ZNF587B,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Death Receptor Activity (GO:0005035),1/7,0.05776085950197078,0.28201382288991333,27.162101313320825,77.45120820790622,FAS,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Dipeptidase Activity (GO:0016805),1/4,0.03342231336456758,0.27537589657915024,50.45644599303136,171.47782296476882,CNDP2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Double-Stranded DNA Binding (GO:0003690),4/376,0.39411835336825934,0.4946548770293269,1.4203433273751307,1.3224873897571845,TOP1;ZNF638;FOXC2;NR6A1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Double-Stranded RNA Binding (GO:0003725),1/56,0.3793167826149959,0.4904441207862347,3.1682267633487147,3.071227017895669,ZFR,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Endopeptidase Activity (GO:0004175),1/170,0.7665329804097321,0.8133441547858988,1.0275415497517808,0.2732002342065087,CASP3,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Endopeptidase Inhibitor Activity (GO:0004866),1/50,0.34670635474629596,0.47537581487409103,3.554028085735403,3.7647005541055107,TFPI2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Estrogen Response Element Binding (GO:0034056),1/7,0.05776085950197078,0.28201382288991333,27.162101313320825,77.45120820790622,NR6A1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005231),1/10,0.08149235932068713,0.28201382288991333,18.57997432605905,46.58456656545481,TRPV1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Exopeptidase Activity (GO:0008238),1/34,0.2512153675128905,0.41081101275637383,5.258463778667638,7.264276758663228,CNDP2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005230),1/3,0.02517191958620929,0.27537589657915024,70.64487804878048,260.1162924291926,TRPV1,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,Fibroblast Growth Factor Receptor Binding (GO:0005104),1/10,0.08149235932068713,0.28201382288991333,18.57997432605905,46.58456656545481,FRS2,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,GDP Binding (GO:0019003),1/57,0.38459287169568046,0.4904441207862347,3.111892941938269,2.9736314773226957,RAB21,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,GTP Binding (GO:0005525),3/151,0.13602906331018305,0.35487807503293783,2.796036651758045,5.577776371990855,RAB11A;RHOT1;RAB21,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,GTPase Activator Activity (GO:0005096),3/162,0.15780679366705785,0.37178210711391596,2.600804753661161,4.802083813818158,TBC1D15;ARHGAP18;ARHGAP5,ME_darkred,GO_Molecular_Function_2023
gs_ind_0,GTPase Activity (GO:0003924),3/201,0.24194306239544494,0.40997975525593505,2.0829730440994023,2.955848855252308,RAB11A;RHOT1;RAB21,ME_darkred,GO_Molecular_Function_2023
