Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,AGE-RAGE signaling pathway in diabetic complications,1/87,0.5237938650466599,0.6806748976103477,2.027548287043564,1.3111284130378102,CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Adrenergic signaling in cardiomyocytes,1/97,0.5628698380981262,0.6806748976103477,1.8159231644129912,1.0436235198019472,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,African trypanosomiasis,1/17,0.13458867440622196,0.634558366183696,10.691352549889135,21.441849746656544,FAS,ME_darkred,KEGG_2021_Human
gs_ind_0,Alcoholism,1/104,0.5883165375868861,0.6813513325705155,1.6921173559561682,0.897651584397021,GNG12,ME_darkred,KEGG_2021_Human
gs_ind_0,Aldosterone synthesis and secretion,1/58,0.38982454338727346,0.6482475552956908,3.0575185577942734,2.8803614375121493,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Aldosterone-regulated sodium reabsorption,1/22,0.17064236625207466,0.634558366183696,8.201588201928532,14.501928006883682,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Allograft rejection,1/10,0.08149235932068713,0.6328925630372727,18.57997432605905,46.58456656545481,FAS,ME_darkred,KEGG_2021_Human
gs_ind_0,Alzheimer disease,5/281,0.08987751321247721,0.6328925630372727,2.3818305321228923,5.73856216456005,RB1CC1;FAS;FZD6;CASP3;NDUFA7,ME_darkred,KEGG_2021_Human
gs_ind_0,Aminoacyl-tRNA biosynthesis,2/42,0.049037237623641816,0.6328925630372727,7.316487259015995,22.060491797740745,SARS1;DARS1,ME_darkred,KEGG_2021_Human
gs_ind_0,Amoebiasis,1/67,0.4349709079321529,0.6583389122816763,2.6417384925728955,2.1991842326659623,CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Amyotrophic lateral sclerosis,4/288,0.22704343515919975,0.634558366183696,1.873665338997271,2.777922342043949,NUP205;CASP3;RB1CC1;NDUFA7,ME_darkred,KEGG_2021_Human
gs_ind_0,Apelin signaling pathway,1/99,0.5702951844843454,0.6806748976103477,1.7787544880524948,0.9989506277527095,GNG12,ME_darkred,KEGG_2021_Human
gs_ind_0,Apoptosis,3/115,0.07375117823222488,0.6328925630372727,3.701912658927584,9.651102152427985,FAS;CASP3;TNFSF10,ME_darkred,KEGG_2021_Human
gs_ind_0,Arginine and proline metabolism,1/33,0.2448080552967094,0.634558366183696,5.420712945590995,7.628465376735735,CNDP2,ME_darkred,KEGG_2021_Human
gs_ind_0,Autoimmune thyroid disease,1/11,0.08927056264141141,0.6328925630372727,16.809059233449478,40.61209051515593,FAS,ME_darkred,KEGG_2021_Human
gs_ind_0,Autophagy,2/124,0.2824853633551458,0.6365206377729156,2.402432894340002,3.0369839892603863,BNIP3;RB1CC1,ME_darkred,KEGG_2021_Human
gs_ind_0,Bacterial invasion of epithelial cells,1/67,0.4349709079321529,0.6583389122816763,2.6417384925728955,2.1991842326659623,ARPC5,ME_darkred,KEGG_2021_Human
gs_ind_0,Basal cell carcinoma,1/47,0.329770553389495,0.6365206377729156,3.78426435877262,4.198104542629144,FZD6,ME_darkred,KEGG_2021_Human
gs_ind_0,Basal transcription factors,1/37,0.2701160612808976,0.634558366183696,4.82505846976278,6.315536187772826,TAF2,ME_darkred,KEGG_2021_Human
gs_ind_0,Bile secretion,1/32,0.2383464528457674,0.634558366183696,5.593263646922184,8.02090775330277,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Breast cancer,1/109,0.6055891266346616,0.6813513325705155,1.6134652129931437,0.8092391758815961,FZD6,ME_darkred,KEGG_2021_Human
gs_ind_0,Butanoate metabolism,1/17,0.13458867440622196,0.634558366183696,10.691352549889135,21.441849746656544,HADHA,ME_darkred,KEGG_2021_Human
gs_ind_0,Carbohydrate digestion and absorption,1/21,0.1635526628512917,0.634558366183696,8.602379535990481,15.575642530625862,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Cardiac muscle contraction,1/46,0.32402923327964134,0.6365206377729156,3.867756633610292,4.358658266102263,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Cell adhesion molecules,1/70,0.44927182527330617,0.6583389122816763,2.5270749254255134,2.021981315842471,MPZL1,ME_darkred,KEGG_2021_Human
gs_ind_0,Cell cycle,2/114,0.2510818090779545,0.634558366183696,2.6181718664477285,3.6182518886425092,YWHAE;TFDP2,ME_darkred,KEGG_2021_Human
gs_ind_0,Chagas disease,1/75,0.47231435709942,0.6657383319115634,2.3564904239646425,1.7676282202499216,FAS,ME_darkred,KEGG_2021_Human
gs_ind_0,Chemokine signaling pathway,1/111,0.6122954542694498,0.6813513325705155,1.5839973512857302,0.7770146064673458,GNG12,ME_darkred,KEGG_2021_Human
gs_ind_0,Cholinergic synapse,1/70,0.44927182527330617,0.6583389122816763,2.5270749254255134,2.021981315842471,GNG12,ME_darkred,KEGG_2021_Human
gs_ind_0,Circadian entrainment,1/56,0.3793167826149959,0.6452745267473494,3.1682267633487147,3.071227017895669,GNG12,ME_darkred,KEGG_2021_Human
gs_ind_0,Colorectal cancer,1/83,0.5072121169815507,0.6702445831541919,2.1265631929046562,1.4435663566329553,CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Coronavirus disease,1/160,0.7455298933573936,0.7527982058117372,1.09288171878584,0.32093569710190606,ISG15,ME_darkred,KEGG_2021_Human
gs_ind_0,Cushing syndrome,2/108,0.23228538614220945,0.634558366183696,2.767062142972779,4.039325635117578,ASH2L;FZD6,ME_darkred,KEGG_2021_Human
gs_ind_0,Cytokine-cytokine receptor interaction,2/107,0.22916091099483393,0.634558366183696,2.7935236850092218,4.115784636738046,FAS;TNFSF10,ME_darkred,KEGG_2021_Human
gs_ind_0,Diabetic cardiomyopathy,1/161,0.7477117314481443,0.7527982058117372,1.0859813084112149,0.31573577415217985,NDUFA7,ME_darkred,KEGG_2021_Human
gs_ind_0,Dopaminergic synapse,1/90,0.5358664446968944,0.6806748976103477,1.9590952445837309,1.2222213757795957,GNG12,ME_darkred,KEGG_2021_Human
gs_ind_0,Drug metabolism,1/54,0.36862985566046447,0.6452745267473494,3.2872122179165717,3.280513666951838,TK2,ME_darkred,KEGG_2021_Human
gs_ind_0,ECM-receptor interaction,1/56,0.3793167826149959,0.6452745267473494,3.1682267633487147,3.071227017895669,HMMR,ME_darkred,KEGG_2021_Human
gs_ind_0,Endocrine and other factor-regulated calcium reabsorption,2/34,0.03336675216273197,0.6328925630372727,9.12353164077302,31.02178957782082,RAB11A;ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Endocytosis,4/212,0.10517962807809064,0.6328925630372727,2.5731173854885943,5.794880731593195,EEA1;ARPC5;SPART;RAB11A,ME_darkred,KEGG_2021_Human
gs_ind_0,Epithelial cell signaling in Helicobacter pylori infection,1/52,0.3577607380445595,0.6452745267473494,3.4154392611887285,3.510698749929027,CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Epstein-Barr virus infection,3/145,0.12462977135518072,0.634558366183696,2.915230863227721,6.070699388494214,FAS;CASP3;ISG15,ME_darkred,KEGG_2021_Human
gs_ind_0,Fatty acid degradation,1/33,0.2448080552967094,0.634558366183696,5.420712945590995,7.628465376735735,HADHA,ME_darkred,KEGG_2021_Human
gs_ind_0,Fatty acid elongation,1/21,0.1635526628512917,0.634558366183696,8.602379535990481,15.575642530625862,HADHA,ME_darkred,KEGG_2021_Human
gs_ind_0,Fc gamma R-mediated phagocytosis,1/73,0.4632142114888869,0.6655893524306337,2.4219007569386037,1.863811683740837,ARPC5,ME_darkred,KEGG_2021_Human
gs_ind_0,Fluid shear stress and atherosclerosis,1/109,0.6055891266346616,0.6813513325705155,1.6134652129931437,0.8092391758815961,DUSP1,ME_darkred,KEGG_2021_Human
gs_ind_0,Focal adhesion,1/157,0.7388716388842069,0.7527982058117372,1.1141120548585677,0.33716492193815273,ARHGAP5,ME_darkred,KEGG_2021_Human
gs_ind_0,FoxO signaling pathway,2/110,0.23854246920158323,0.634558366183696,2.71560236998025,3.892022814924948,BNIP3;TNFSF10,ME_darkred,KEGG_2021_Human
gs_ind_0,GABAergic synapse,1/45,0.31823921340669353,0.6365206377729156,3.9550013702384215,4.528286474067939,GNG12,ME_darkred,KEGG_2021_Human
gs_ind_0,Gastric acid secretion,1/42,0.3005728481427568,0.6365206377729156,4.241962973846606,5.099115779052813,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Gastric cancer,1/108,0.6021930122761397,0.6813513325705155,1.6286103233125355,0.8259941322343669,FZD6,ME_darkred,KEGG_2021_Human
gs_ind_0,Glutamatergic synapse,1/63,0.4153294949635193,0.6583389122816763,2.8117463414634147,2.47063401986625,GNG12,ME_darkred,KEGG_2021_Human
