Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,Actin Filament Network Formation (GO:0051639),1/5,0.007372786793266852,0.07085517160579513,231.45714285714286,1136.4452014930791,SPIRE1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Actin Filament Organization (GO:0007015),1/98,0.13549607521148127,0.1617741019191625,10.60087912087912,21.189170803588404,SPIRE1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Actin Filament Polymerization (GO:0030041),1/25,0.036353700777307076,0.07957421170143883,42.44256559766764,140.67415501452507,SPIRE1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Actin Polymerization Or Depolymerization (GO:0008154),1/43,0.06175156111412789,0.10137547949569328,24.430588235294117,68.03029605314073,SPIRE1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Acute Inflammatory Response (GO:0002526),1/12,0.017608480464230178,0.07085517160579513,90.51801242236024,365.6361646050913,PLSCR1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Acute-Phase Response (GO:0006953),1/8,0.011771784872991011,0.07085517160579513,138.84,616.7341835751257,PLSCR1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Adherens Junction Maintenance (GO:0034334),1/5,0.007372786793266852,0.07085517160579513,231.45714285714286,1136.4452014930791,PLEKHA7,ME_linen,GO_Biological_Process_2023
gs_ind_0,Apoptotic Process (GO:0006915),1/166,0.219112526638195,0.24807567671105987,6.210012947777298,9.427854492867956,PLSCR1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cell Junction Maintenance (GO:0034331),1/12,0.017608480464230178,0.07085517160579513,90.51801242236024,365.6361646050913,KIRREL1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cell Morphogenesis Involved In Differentiation (GO:0000904),1/16,0.023412607698532113,0.0768713952768471,67.13640552995392,252.0623328664241,ARL13B,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311),1/15,0.021964619802203742,0.07591280879007259,71.77241379310345,274.0502088976361,GALNT11,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),1/13,0.019062558858411887,0.07085517160579513,83.26971428571429,329.75049479816926,PLEKHA7,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cell-Cell Junction Maintenance (GO:0045217),1/9,0.013234021442846022,0.07085517160579513,122.49579831932773,529.789964811597,KIRREL1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cell-Cell Junction Organization (GO:0045216),1/41,0.05896111745992662,0.10013224258280641,25.641269841269843,72.5872830555537,KIRREL1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cellular Component Assembly (GO:0022607),2/181,0.028775983877543366,0.0787577331677721,10.10931037393433,35.86999794229625,PPID;YAP1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cellular Modified Amino Acid Biosynthetic Process (GO:0042398),1/6,0.008841170244756103,0.07085517160579513,189.35844155844157,895.3503418935954,PLSCR1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Gamma Radiation (GO:0071480),1/15,0.021964619802203742,0.07591280879007259,71.77241379310345,274.0502088976361,YAP1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Interleukin-6 (GO:0071354),1/18,0.026302511682119847,0.0787577331677721,59.453877551020405,216.29860750736069,YAP1,ME_linen,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Ionizing Radiation (GO:0071479),1/48,0.06869352012931804,0.10655609027933584,21.849924812030075,58.51629249845805,YAP1,ME_linen,GO_Biological_Process_2023
