Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,Anterograde Trans-Synaptic Signaling (GO:0098916),1/78,0.05623043176972056,0.07441019542459262,27.52371916508539,79.22144320288899,PMP22,ME_tan,GO_Biological_Process_2023
gs_ind_0,Aorta Development (GO:0035904),1/11,0.008106072779802881,0.03885806104793106,204.27731092436974,983.6242129663196,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Aorta Morphogenesis (GO:0035909),1/13,0.009573612503265912,0.03885806104793106,171.56470588235294,797.560510776696,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Apoptotic Process (GO:0006915),1/166,0.11628091849040645,0.1279090103394471,12.794917362715479,27.531416149921526,PMP22,ME_tan,GO_Biological_Process_2023
gs_ind_0,Artery Morphogenesis (GO:0048844),1/21,0.01542449022566451,0.04369562471295471,104.54375896700144,436.135523848233,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Axon Guidance (GO:0007411),1/102,0.0729571830984406,0.08794838510496948,20.973920602723847,54.907260600143886,PLXNA3,ME_tan,GO_Biological_Process_2023
gs_ind_0,Axonogenesis (GO:0007409),1/131,0.09281673721955906,0.10747201151738417,16.273833671399593,38.6849905288179,PLXNA3,ME_tan,GO_Biological_Process_2023
gs_ind_0,Bleb Assembly (GO:0032060),1/6,0.004428763639807776,0.03885806104793106,390.14438502673795,2114.44009468188,PMP22,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cardiac Muscle Cell Development (GO:0055013),1/15,0.01103922188861678,0.03885806104793106,147.8762677484787,666.3749320803257,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cardiac Myofibril Assembly (GO:0055003),1/10,0.007371578346284553,0.03885806104793106,225.79876160990713,1108.6997915306843,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cell Chemotaxis (GO:0060326),1/28,0.020518784155064,0.04721338269380216,77.88770053475936,302.7038896753127,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cell Migration Involved In Heart Development (GO:0060973),1/6,0.004428763639807776,0.03885806104793106,390.14438502673795,2114.44009468188,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cellular Component Assembly (GO:0022607),1/181,0.12617073402650225,0.13623343060530305,11.716962685351149,24.255510092029745,PDE4DIP,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Cytokine Stimulus (GO:0071345),1/185,0.12879134646494814,0.13821510352335897,11.459110473457676,23.486153408474326,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Interleukin-12 (GO:0071349),1/8,0.005901138944483795,0.03885806104793106,286.05882352941177,1468.2283511348342,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Type I Interferon (GO:0071357),1/22,0.016153685385964796,0.04369562471295471,99.67305061559507,411.21184111938106,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Type II Interferon (GO:0071346),1/32,0.023419277687712934,0.04721338269380216,67.97478991596638,255.1906682915838,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Type III Interferon (GO:0071358),1/5,0.003691849327179952,0.03885806104793106,476.88235294117646,2671.3174330690954,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cellular Response To Virus (GO:0098586),1/33,0.024143207059330648,0.04721338269380216,65.87782805429865,245.31270844210303,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Chemical Synaptic Transmission (GO:0007268),1/107,0.0764085673119054,0.09086424220875236,19.980944490472247,51.38420472988872,PMP22,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cristae Formation (GO:0042407),1/12,0.008840084072763066,0.03885806104793106,186.49872122762147,881.8515367137886,DNAJC11,ME_tan,GO_Biological_Process_2023
gs_ind_0,Cytokine-Mediated Signaling Pathway (GO:0019221),1/127,0.09010016968526818,0.105017416321902,16.794001395024413,40.420360640185805,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,DNA Repair (GO:0006281),1/272,0.18408835748445454,0.1917133190370651,7.730581735456614,13.082768310279507,EME2,ME_tan,GO_Biological_Process_2023
gs_ind_0,DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005),1/39,0.028476774779617558,0.05039379537167862,55.583651642475175,197.80367593221436,EME2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Double-Strand Break Repair (GO:0006302),1/155,0.10896528158882217,0.12215216280020828,13.718446601941748,30.410036782322535,EME2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),1/73,0.052712116466747456,0.07081933204692789,29.434077079107507,86.62183788959155,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Fatty Acid Metabolic Process (GO:0006631),1/71,0.05130152914283358,0.07053960257139616,30.274092615769714,89.91510616708099,ACSF2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Forebrain Neuron Development (GO:0021884),1/2,0.0014781964006203804,0.03885806104793106,1431.0,9325.730525687955,PLXNA3,ME_tan,GO_Biological_Process_2023
gs_ind_0,Glycerophospholipid Metabolic Process (GO:0006650),1/39,0.028476774779617558,0.05039379537167862,55.583651642475175,197.80367593221436,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Inner Mitochondrial Membrane Organization (GO:0007007),1/34,0.0248666593769967,0.047571000547298035,63.90605794556629,236.0835073226723,DNAJC11,ME_tan,GO_Biological_Process_2023
gs_ind_0,Inositol Lipid-Mediated Signaling (GO:0048017),1/26,0.01906566790255664,0.045966541792465315,84.01038062283737,332.66985435902967,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Interferon-Mediated Signaling Pathway (GO:0140888),1/26,0.01906566790255664,0.045966541792465315,84.01038062283737,332.66985435902967,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Interleukin-12-Mediated Signaling Pathway (GO:0035722),1/6,0.004428763639807776,0.03885806104793106,390.14438502673795,2114.44009468188,TYK2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Lipid Transport (GO:0006869),1/67,0.048474751987638585,0.06771076468114595,32.105705440070764,97.17473015759407,PITPNA,ME_tan,GO_Biological_Process_2023
gs_ind_0,Mitochondrial Membrane Organization (GO:0007006),1/31,0.02269487098691258,0.04721338269380216,70.2092574734812,265.7853114499655,DNAJC11,ME_tan,GO_Biological_Process_2023
gs_ind_0,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),1/51,0.037092625563308314,0.05726580788721284,42.33372160745486,139.46154971505464,EME2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573),1/12,0.008840084072763066,0.03885806104793106,186.49872122762147,881.8515367137886,EME2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Monocarboxylic Acid Metabolic Process (GO:0032787),1/62,0.04493075353413773,0.06426181048735449,34.73027259684361,107.75528238223568,ACSF2,ME_tan,GO_Biological_Process_2023
gs_ind_0,Motor Neuron Axon Guidance (GO:0008045),1/6,0.004428763639807776,0.03885806104793106,390.14438502673795,2114.44009468188,PLXNA3,ME_tan,GO_Biological_Process_2023
gs_ind_0,Myelin Assembly (GO:0032288),1/7,0.005165193419313138,0.03885806104793106,330.09502262443436,1738.2185719270344,PMP22,ME_tan,GO_Biological_Process_2023
gs_ind_0,Myelination (GO:0042552),1/30,0.021969986681562522,0.04721338269380216,72.59521435692922,277.17419075406906,PMP22,ME_tan,GO_Biological_Process_2023
gs_ind_0,Myofibril Assembly (GO:0030239),1/32,0.023419277687712934,0.04721338269380216,67.97478991596638,255.1906682915838,PDGFRB,ME_tan,GO_Biological_Process_2023
gs_ind_0,Negative Regulation Of Cell Adhesion (GO:0007162),1/52,0.0378075378195309,0.0578619709238038,41.50828098229583,135.94986375602375,PLXNA3,ME_tan,GO_Biological_Process_2023
