Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,Axon guidance,1/145,0.10226804116027761,0.1280239107687315,14.680032566659882,33.4727945479542,PLXNA3,ME_tan,KEGG_2021_Human
gs_ind_0,Calcium signaling pathway,1/135,0.09552609303088017,0.1280239107687315,15.784605291930898,37.06787007244479,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Central carbon metabolism in cancer,1/57,0.04137502679383955,0.1280239107687315,37.81936491410723,120.45761951103255,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Choline metabolism in cancer,1/80,0.057634502346251504,0.1280239107687315,26.826859045504996,76.55403417586663,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Coronavirus disease,1/160,0.1122972175988963,0.1280239107687315,13.282869260556888,29.044404199837576,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Epstein-Barr virus infection,1/145,0.10226804116027761,0.1280239107687315,14.680032566659882,33.4727945479542,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Fanconi anemia pathway,1/48,0.034945054965328314,0.1280239107687315,45.01857585139319,150.9913269141543,EME2,ME_tan,KEGG_2021_Human
gs_ind_0,Focal adhesion,1/157,0.11029938762028926,0.1280239107687315,13.54087577523022,29.851631185761562,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Gap junction,1/60,0.04350987213159431,0.1280239107687315,35.90360850222442,112.54946223205054,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Glioma,1/62,0.04493075353413773,0.1280239107687315,34.73027259684361,107.75528238223568,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Hepatitis B,1/130,0.09213827209033984,0.1280239107687315,16.40086304792187,39.10728182038326,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Hepatitis C,1/111,0.07916144599631098,0.1280239107687315,19.25126430662763,48.8263250322273,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Herpes simplex virus 1 infection,1/400,0.2597779129219249,0.2597779129219249,5.1971582124714715,7.005396083563388,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Human papillomavirus infection,2/248,0.01354114552552414,0.1280239107687315,16.116970926301555,69.33557013866076,PDGFRB;TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Influenza A,1/109,0.07778591971492184,0.1280239107687315,19.609379235565193,50.07833159964656,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,JAK-STAT signaling pathway,2/93,0.002007467001368526,0.0682538780465299,43.98360655737705,273.17697046760117,PDGFRB;TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Kaposi sarcoma-associated herpesvirus infection,1/141,0.09957664141524185,0.1280239107687315,15.102993510571489,34.84000326718799,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,MAPK signaling pathway,1/218,0.15014625132780945,0.16467653371437166,9.693711967545639,18.3806878510139,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Measles,1/95,0.06810598541963336,0.1280239107687315,22.5406162464986,60.5596522769853,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Melanoma,1/56,0.040662471065490084,0.1280239107687315,38.50397456279809,123.30704173970202,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,MicroRNAs in cancer,1/138,0.09755338727812461,0.1280239107687315,15.436363636363636,35.92590563942508,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,NOD-like receptor signaling pathway,1/122,0.08669429319880466,0.1280239107687315,17.492374727668846,42.775279754656665,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Necroptosis,1/104,0.07433911008921613,0.1280239107687315,20.565217391304348,53.45142844379887,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Osteoclast differentiation,1/87,0.06253413894108575,0.1280239107687315,24.641618497109828,68.3076173973218,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,PI3K-Akt signaling pathway,1/240,0.16412309931789718,0.17438079302526574,8.78705636743215,15.879428101601286,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Pathways in cancer,1/399,0.25921165718170364,0.2597779129219249,5.210642851870987,7.034942801843872,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Phospholipase D signaling pathway,1/105,0.07502938666633077,0.1280239107687315,20.366732338868562,52.74729946955119,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Prostate cancer,1/80,0.057634502346251504,0.1280239107687315,26.826859045504996,76.55403417586663,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Rap1 signaling pathway,1/157,0.11029938762028926,0.1280239107687315,13.54087577523022,29.851631185761562,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Ras signaling pathway,1/157,0.11029938762028926,0.1280239107687315,13.54087577523022,29.851631185761562,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Regulation of actin cytoskeleton,1/161,0.11296227420770427,0.1280239107687315,13.199010445299615,28.783100194779742,PDGFRB,ME_tan,KEGG_2021_Human
gs_ind_0,Th1 and Th2 cell differentiation,1/57,0.04137502679383955,0.1280239107687315,37.81936491410723,120.45761951103255,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Th17 cell differentiation,1/68,0.04918214726536131,0.1280239107687315,31.627450980392158,95.26898530261559,TYK2,ME_tan,KEGG_2021_Human
gs_ind_0,Toxoplasmosis,1/79,0.05693269932772572,0.1280239107687315,27.17085050580742,77.86854437575073,TYK2,ME_tan,KEGG_2021_Human
