particle_type,particle_size_um,particle_size_nm,concentration_gL,is_control,treatment_status,sample_id,group,replicate
control,,,0.0,True,control,CTR_1,CTR,1
control,,,0.0,True,control,CTR_2,CTR,2
control,,,0.0,True,control,CTR_3,CTR,3
polystyrene,1.0,1000.0,0.1,False,treated,MA1_1,MA1,1
polystyrene,1.0,1000.0,0.1,False,treated,MA1_2,MA1,2
polystyrene,1.0,1000.0,0.1,False,treated,MA1_3,MA1,3
polystyrene,0.1,100.0,0.1,False,treated,MA100_1,MA100,1
polystyrene,0.1,100.0,0.1,False,treated,MA100_2,MA100,2
polystyrene,0.1,100.0,0.1,False,treated,MA100_3,MA100,3
polystyrene,1.0,1000.0,0.01,False,treated,MB1_1,MB1,1
polystyrene,1.0,1000.0,0.01,False,treated,MB1_2,MB1,2
polystyrene,1.0,1000.0,0.01,False,treated,MB1_3,MB1,3
polystyrene,0.1,100.0,0.01,False,treated,MB100_1,MB100,1
polystyrene,0.1,100.0,0.01,False,treated,MB100_2,MB100,2
polystyrene,0.1,100.0,0.01,False,treated,MB100_3,MB100,3
polystyrene,1.0,1000.0,0.001,False,treated,MC1_1,MC1,1
polystyrene,1.0,1000.0,0.001,False,treated,MC1_2,MC1,2
polystyrene,1.0,1000.0,0.001,False,treated,MC1_3,MC1,3
polystyrene,0.1,100.0,0.001,False,treated,MC100_1,MC100,1
polystyrene,0.1,100.0,0.001,False,treated,MC100_2,MC100,2
polystyrene,0.1,100.0,0.001,False,treated,MC100_3,MC100,3
polystyrene,1.0,1000.0,0.05,False,treated,MD1_1,MD1,1
polystyrene,1.0,1000.0,0.05,False,treated,MD1_2,MD1,2
polystyrene,1.0,1000.0,0.05,False,treated,MD1_3,MD1,3
