sample_id,library_size,detected_genes_gt0,p1,p50,p75,p83,p90,p95,p99,particle_type,particle_size_um,particle_size_nm,concentration_gL,is_control,treatment_status,group,replicate
CTR_1,12294780,12930,0.0,40.0,393.0,676.0,1196.6000000000022,2221.2999999999993,9003.560000000056,control,,,0.0,True,control,CTR,1
CTR_2,11753669,12496,0.0,38.0,373.0,646.0,1149.0,2138.4999999999964,8808.72000000003,control,,,0.0,True,control,CTR,2
CTR_3,11119923,12617,0.0,34.0,364.0,617.0,1115.6000000000022,2021.0,8076.720000000001,control,,,0.0,True,control,CTR,3
MA1_1,10497166,12760,0.0,33.0,339.0,574.0,1032.0,1916.8999999999978,7648.48000000004,polystyrene,1.0,1000.0,0.1,False,treated,MA1,1
MA1_2,11003511,12484,0.0,36.0,356.0,603.0,1097.2000000000044,2022.9999999999927,8021.1600000000035,polystyrene,1.0,1000.0,0.1,False,treated,MA1,2
MA1_3,13627165,13760,0.0,51.0,477.0,807.0,1422.2000000000044,2604.5999999999985,9615.360000000015,polystyrene,1.0,1000.0,0.1,False,treated,MA1,3
MB1_1,8690949,12451,0.0,29.0,287.0,486.0,883.6000000000022,1644.0,6603.62000000001,polystyrene,1.0,1000.0,0.01,False,treated,MB1,1
MB1_2,12384390,12558,0.0,40.0,384.0,658.619999999999,1195.6000000000022,2226.0,8883.300000000003,polystyrene,1.0,1000.0,0.01,False,treated,MB1,2
MB1_3,14659621,12031,0.0,49.0,482.0,822.0,1477.6000000000022,2712.6999999999935,10829.120000000054,polystyrene,1.0,1000.0,0.01,False,treated,MB1,3
MC1_1,13127157,12429,0.0,43.0,435.0,747.619999999999,1335.0,2485.7999999999956,9691.900000000009,polystyrene,1.0,1000.0,0.001,False,treated,MC1,1
MC1_2,14326591,12241,0.0,46.0,477.0,831.619999999999,1471.6000000000022,2722.2999999999993,10931.480000000069,polystyrene,1.0,1000.0,0.001,False,treated,MC1,2
MC1_3,14306875,12132,0.0,45.0,476.0,824.0,1486.6000000000022,2717.5999999999985,10430.680000000022,polystyrene,1.0,1000.0,0.001,False,treated,MC1,3
MD1_1,11864876,12680,0.0,42.0,410.0,707.0,1254.0,2288.5999999999985,8814.260000000024,polystyrene,1.0,1000.0,0.05,False,treated,MD1,1
MD1_2,12458266,12590,0.0,43.0,421.0,714.619999999999,1283.0,2390.2999999999993,9051.920000000013,polystyrene,1.0,1000.0,0.05,False,treated,MD1,2
MD1_3,13038705,12695,0.0,46.0,441.5,748.0,1344.6000000000022,2454.0,9510.300000000003,polystyrene,1.0,1000.0,0.05,False,treated,MD1,3
MA100_1,12451358,12167,0.0,43.0,421.0,734.0,1317.6000000000022,2412.0,9214.720000000001,polystyrene,0.1,100.0,0.1,False,treated,MA100,1
MA100_2,10569761,12347,0.0,34.0,348.0,601.0,1083.0,2001.2999999999993,7817.980000000025,polystyrene,0.1,100.0,0.1,False,treated,MA100,2
MA100_3,13910517,12339,0.0,48.0,481.0,802.619999999999,1466.6000000000022,2681.399999999994,10167.86000000003,polystyrene,0.1,100.0,0.1,False,treated,MA100,3
MB100_1,12859444,12609,0.0,45.0,432.0,742.0,1330.0,2456.899999999998,9284.580000000002,polystyrene,0.1,100.0,0.01,False,treated,MB100,1
MB100_2,11322851,12629,0.0,37.0,364.0,623.0,1122.6000000000022,2064.2999999999993,8158.62000000001,polystyrene,0.1,100.0,0.01,False,treated,MB100,2
MB100_3,10472697,12690,0.0,36.0,341.0,573.0,1035.6000000000022,1876.0,7580.660000000018,polystyrene,0.1,100.0,0.01,False,treated,MB100,3
MC100_1,12294253,13058,0.0,44.0,411.0,689.0,1223.6000000000022,2247.2999999999993,8823.76000000001,polystyrene,0.1,100.0,0.001,False,treated,MC100,1
MC100_2,13608360,12892,0.0,47.0,450.0,751.0,1344.2000000000044,2461.6999999999935,9915.940000000046,polystyrene,0.1,100.0,0.001,False,treated,MC100,2
MC100_3,13957620,13134,0.0,45.0,455.0,763.0,1373.6000000000022,2542.2999999999993,10205.180000000008,polystyrene,0.1,100.0,0.001,False,treated,MC100,3
