gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,is_priority_contrast,is_deg_priority,regulation,string_gene_label
ENSG00000185112,FAM43A,family with sequence similarity 43 member A,MA100_vs_CTR,1161.6775496484256,1.4769340700865805,0.1884630786867414,7.836728978313586,4.624346782871742e-15,4.102258031085522e-11,True,up_in_MA100,darkgrey,darkgrey,7,1.4769340700865805,True,True,up_in_tested,FAM43A
ENSG00000040275,SPDL1,spindle apparatus coiled-coil protein 1,MA100_vs_CTR,2053.584630920412,1.2147089801740043,0.1722024194157142,7.053960009943721,1.73896374743155e-12,5.142115801155093e-09,True,up_in_MA100,dimgrey,dimgrey,10,1.2147089801740043,True,True,up_in_tested,SPDL1
ENSG00000214357,NEURL1B,neuralized E3 ubiquitin protein ligase 1B,MA100_vs_CTR,1332.745787913101,1.3135363499883117,0.1967186039377292,6.677235013339706,2.4349232325993215e-11,5.4000509990971473e-08,True,up_in_MA100,dimgrey,dimgrey,10,1.3135363499883117,True,True,up_in_tested,NEURL1B
ENSG00000147133,TAF1,TATA-box binding protein associated factor 1,MA100_vs_CTR,1810.4761484837784,1.281241944512294,0.1929406812529897,6.64060029326988,3.124081728444344e-11,5.542745802605956e-08,True,up_in_MA100,darkgrey,darkgrey,7,1.281241944512294,True,True,up_in_tested,TAF1
ENSG00000131747,TOP2A,DNA topoisomerase II alpha,MA100_vs_CTR,19915.80713610476,1.0382226645885888,0.1572111005969126,6.604003538214384,4.0019996729562126e-11,5.9169565164657603e-08,True,up_in_MA100,dimgrey,dimgrey,10,1.0382226645885888,True,True,up_in_tested,TOP2A
ENSG00000159202,UBE2Z,ubiquitin conjugating enzyme E2 Z,MA100_vs_CTR,2393.4921894892345,1.2680027019714106,0.1943474198010154,6.524412329577969,6.82686670114433e-11,8.651590643693049e-08,True,up_in_MA100,dimgrey,dimgrey,10,1.2680027019714106,True,True,up_in_tested,UBE2Z
ENSG00000180035,ZNF48,zinc finger protein 48,MA100_vs_CTR,124.08641272993388,-1.7591975955062162,0.2772590883112821,-6.344959172379388,2.2248444129541046e-10,1.9736594787315866e-07,True,up_in_CTR,dimgrey,dimgrey,10,1.7591975955062162,True,True,down_in_tested,ZNF48
ENSG00000089597,GANAB,glucosidase II alpha subunit,MA100_vs_CTR,4782.589328160444,1.1330502177304471,0.183756722465853,6.166034104907365,7.00239879152095e-10,4.778329206121721e-07,True,up_in_MA100,darkgrey,darkgrey,7,1.1330502177304471,True,True,up_in_tested,GANAB
ENSG00000197958,RPL12,ribosomal protein L12,MA100_vs_CTR,5865.852436328154,-1.0370119893873282,0.1739670850096764,-5.96096663532442,2.5075016681872983e-09,1.4829364865659682e-06,True,up_in_CTR,dimgrey,dimgrey,10,1.0370119893873282,True,True,down_in_tested,RPL12
ENSG00000107949,BCCIP,BRCA2 and CDKN1A interacting protein,MA100_vs_CTR,1416.0376483098114,1.2678844549506236,0.2186958565629408,5.797478173006563,6.7319539287740985e-09,3.143113858008159e-06,True,up_in_MA100,gainsboro,gainsboro,12,1.2678844549506236,True,True,up_in_tested,BCCIP
ENSG00000136104,RNASEH2B,ribonuclease H2 subunit B,MA100_vs_CTR,280.2221014742261,-1.3178441775686631,0.231786065986563,-5.685605698338488,1.3034983308764167e-08,5.015458981282299e-06,True,up_in_CTR,dimgrey,dimgrey,10,1.3178441775686631,True,True,down_in_tested,RNASEH2B
ENSG00000205730,ITPRIPL2,ITPRIP like 2,MA100_vs_CTR,886.8197443853627,1.1974669401311686,0.2130929352442376,5.619458659005684,1.9155670674524672e-08,6.068926948346727e-06,True,up_in_MA100,gainsboro,gainsboro,12,1.1974669401311686,True,True,up_in_tested,ITPRIPL2
ENSG00000148296,SURF6,surfeit 6,MA100_vs_CTR,125.32604362624112,2.348818060851607,0.4202637121242278,5.588914753023712,2.284930808671769e-08,6.9895245530094e-06,True,up_in_MA100,dimgrey,dimgrey,10,2.348818060851607,True,True,up_in_tested,SURF6
ENSG00000167863,ATP5PD,ATP synthase peripheral stalk subunit d,MA100_vs_CTR,2715.4211783640603,-1.0759135706692051,0.192951485865291,-5.576083365433908,2.459940747454158e-08,7.0393981840857545e-06,True,up_in_CTR,dimgrey,dimgrey,10,1.0759135706692051,True,True,down_in_tested,ATP5PD
ENSG00000182742,HOXB4,homeobox B4,MA100_vs_CTR,470.7170575356244,1.3460880569453657,0.2473364698597688,5.442335526615022,5.2586506600039133e-08,1.2607970271593162e-05,True,up_in_MA100,dimgrey,dimgrey,10,1.3460880569453657,True,True,up_in_tested,HOXB4
ENSG00000102699,PARP4,poly(ADP-ribose) polymerase family member 4,MA100_vs_CTR,284.0890568299524,-1.203630607304981,0.2286233867112342,-5.264687154797696,1.404282798918997e-07,2.708128849828352e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.203630607304981,True,True,down_in_tested,PARP4
ENSG00000153140,CETN3,centrin 3,MA100_vs_CTR,3844.045427066833,1.2190383700122356,0.235600023690438,5.174186109649832,2.2890657434394095e-07,4.009317995162229e-05,True,up_in_MA100,dimgrey,dimgrey,10,1.2190383700122356,True,True,up_in_tested,CETN3
ENSG00000143742,SRP9,signal recognition particle 9,MA100_vs_CTR,780.4455517808592,-1.070603609680347,0.2069642378754146,-5.172891803292187,2.3049849820006054e-07,4.009317995162229e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.070603609680347,True,True,down_in_tested,SRP9
ENSG00000196700,ZNF512B,zinc finger protein 512B,MA100_vs_CTR,211.4289050453906,1.6794054110703265,0.3284476055693868,5.113160767785047,3.1681244332960816e-07,4.865467953316234e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.6794054110703265,True,True,up_in_tested,ZNF512B
ENSG00000137193,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",MA100_vs_CTR,321.1353262732337,1.4287224181781517,0.2797004850432721,5.108044120685437,3.2551065365445746e-07,4.865467953316234e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.4287224181781517,True,True,up_in_tested,PIM1
ENSG00000176261,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand,MA100_vs_CTR,579.1207263435269,-1.0281021852785048,0.2040400542403196,-5.0387272690468885,4.686377130240191e-07,6.495758050368865e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.0281021852785048,True,True,down_in_tested,ZBTB8OS
ENSG00000150779,TIMM8B,translocase of inner mitochondrial membrane 8 homolog B,MA100_vs_CTR,573.3588111418472,-1.370739444524488,0.2723861764300891,-5.032338507370264,4.845327250711504e-07,6.512560309251782e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.370739444524488,True,True,down_in_tested,TIMM8B
ENSG00000143398,PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,MA100_vs_CTR,866.6648518673825,1.026054702553984,0.2044923418488656,5.0175703074118605,5.232905390191268e-07,6.826632899468638e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.026054702553984,True,True,up_in_tested,PIP5K1A
ENSG00000188010,MORN2,MORN repeat containing 2,MA100_vs_CTR,275.59787704007414,-1.1869393151106833,0.2389925023240493,-4.966429086973261,6.819697398158028e-07,8.066338082541315e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.1869393151106833,True,True,down_in_tested,MORN2
ENSG00000179218,CALR,calreticulin,MA100_vs_CTR,1752.475953544391,1.2448686469254175,0.2518246865618792,4.943394009226829,7.67740981941589e-07,8.844974351693294e-05,True,up_in_MA100,gainsboro,gainsboro,12,1.2448686469254175,True,True,up_in_tested,CALR
ENSG00000111875,ASF1A,anti-silencing function 1A histone chaperone,MA100_vs_CTR,194.0957574042168,-1.2471141529245906,0.2525232788576075,-4.938610644398497,7.868113127721959e-07,8.948465584105319e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.2471141529245906,True,True,down_in_tested,ASF1A
ENSG00000147684,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,MA100_vs_CTR,299.42705462999464,-1.2558023601367667,0.2593183996530393,-4.8427044198059015,1.2808375316726945e-06,0.0001291171561757,True,up_in_CTR,dimgrey,dimgrey,10,1.2558023601367667,True,True,down_in_tested,NDUFB9
ENSG00000197728,RPS26,ribosomal protein S26,MA100_vs_CTR,3114.912091489919,-1.2120463097034768,0.2520461693846889,-4.808826544209741,1.518188678581712e-06,0.0001496427974188,True,up_in_CTR,dimgrey,dimgrey,10,1.2120463097034768,True,True,down_in_tested,RPS26
ENSG00000071082,RPL31,ribosomal protein L31,MA100_vs_CTR,14905.507900754295,-1.0136327432918228,0.2110923364882923,-4.801845297439499,1.5721013171199851e-06,0.0001515881606975,True,up_in_CTR,dimgrey,dimgrey,10,1.0136327432918228,True,True,down_in_tested,RPL31
ENSG00000157193,LRP8,LDL receptor related protein 8,MA100_vs_CTR,314.2485993822479,1.1959821545189542,0.2528501913057293,4.730002964770764,2.2451655828948297e-06,0.0001949121787836,True,up_in_MA100,dimgrey,dimgrey,10,1.1959821545189542,True,True,up_in_tested,LRP8
ENSG00000168916,ZNF608,zinc finger protein 608,MA100_vs_CTR,255.87996825046503,1.1862861749655098,0.2516354287707378,4.714305059349658,2.4253707313466825e-06,0.0002038160306394,True,up_in_MA100,darkgrey,darkgrey,7,1.1862861749655098,True,True,up_in_tested,ZNF608
ENSG00000030582,GRN,granulin precursor,MA100_vs_CTR,3583.315617995248,1.0371320370141142,0.2263976084775969,4.581020285453868,4.627129538084448e-06,0.0003086260611454,True,up_in_MA100,darkgrey,darkgrey,7,1.0371320370141142,True,True,up_in_tested,GRN
ENSG00000125746,EML2,EMAP like 2,MA100_vs_CTR,1368.2437222800636,1.4348834785541311,0.315036016949872,4.554664867993324,5.246916001090563e-06,0.000337285448157,True,up_in_MA100,dimgrey,dimgrey,10,1.4348834785541311,True,True,up_in_tested,EML2
