node_name,gene_id,gene_symbol,string_gene_label,gene_name,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR
FAM43A,ENSG00000185112,FAM43A,FAM43A,family with sequence similarity 43 member A,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,1.1533156577197264e-12,1.5571193124016265,1.326395713603031,MC1_vs_CTR,1.5571193124016265,1.1533156577197264e-12,up_in_tested,3,1,1.4769678682235774,,-1.1086245575121394,1.5571193124016265,1.1628711162747811,4.102331853975585e-11,,4.802974173370208e-07,1.1533156577197264e-12,4.622404143668457e-07,up_in_tested,,up_in_reference,up_in_tested,up_in_tested
KHSRP,ENSG00000088247,KHSRP,KHSRP,KH-type splicing regulatory protein,dimgrey,MC100_vs_MC1,1,1,2.8771591928993223e-11,1.2855794801222462,1.2855794801222462,MC100_vs_MC1,-1.2855794801222462,2.8771591928993223e-11,up_in_reference,0,1,,,-1.2855794801222462,,,,,2.8771591928993223e-11,,,,,up_in_reference,,
SPDL1,ENSG00000040275,SPDL1,SPDL1,spindle apparatus coiled-coil protein 1,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,3.272148988941277e-11,1.333602778835911,1.2326865925086634,MC100_vs_MC1,-1.333602778835911,3.272148988941277e-11,up_in_reference,2,1,1.2147441518977444,,-1.333602778835911,1.1497128467923348,,5.13822343124994e-09,,3.272148988941277e-11,3.47859443524129e-08,,up_in_tested,,up_in_reference,up_in_tested,
TOP2A,ENSG00000131747,TOP2A,TOP2A,DNA topoisomerase II alpha,dimgrey,MA100_vs_CTR;MC100_vs_MC1,2,2,8.611818738771146e-11,1.186218101626831,1.1122387202746753,MC100_vs_MC1,-1.186218101626831,8.611818738771146e-11,up_in_reference,1,1,1.0382593389225196,,-1.186218101626831,,,5.8998658482104937e-08,,8.611818738771146e-11,,,up_in_tested,,up_in_reference,,
CAVIN1,ENSG00000177469,CAVIN1,CAVIN1,caveolae associated protein 1,darkgrey,MC100_vs_MC1,1,1,8.611818738771146e-11,1.0604997508036502,1.0604997508036502,MC100_vs_MC1,-1.0604997508036502,8.611818738771146e-11,up_in_reference,0,1,,,-1.0604997508036502,,,,,8.611818738771146e-11,,,,,up_in_reference,,
TAF1,ENSG00000147133,TAF1,TAF1,TATA-box binding protein associated factor 1,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,1.3351927691685587e-10,1.4349447949389715,1.3290900815721174,MC100_vs_MC1,-1.4349447949389715,1.3351927691685587e-10,up_in_reference,3,1,1.2812810504123666,,-1.4349447949389715,1.2255995198205925,1.3745349611165392,5.53440505273537e-08,,1.3351927691685587e-10,2.0092371831488605e-07,2.600529275056601e-09,up_in_tested,,up_in_reference,up_in_tested,up_in_tested
GANAB,ENSG00000089597,GANAB,GANAB,glucosidase II alpha subunit,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,1.3351927691685587e-10,1.3668749323556586,1.2031647368629312,MC100_vs_MC1,-1.3668749323556586,1.3351927691685587e-10,up_in_reference,2,1,1.1330850997799435,,-1.3668749323556586,1.1095341784531916,,4.772615727825347e-07,,1.3351927691685587e-10,7.875890883978299e-07,,up_in_tested,,up_in_reference,up_in_tested,
PTPN1,ENSG00000196396,PTPN1,PTPN1,protein tyrosine phosphatase non-receptor type 1,darkgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,1.5438662792883074e-10,1.165921982217528,1.0891121183167582,MC100_vs_MC1,-1.165921982217528,1.5438662792883074e-10,up_in_reference,1,1,,,-1.165921982217528,1.0123022544159888,,,,1.5438662792883074e-10,1.6103562729662904e-07,,,,up_in_reference,up_in_tested,
NFIX,ENSG00000008441,NFIX,NFIX,nuclear factor I X,darkgrey,MC100_vs_MC1,1,1,8.778166114196526e-10,1.247166641673517,1.247166641673517,MC100_vs_MC1,-1.247166641673517,8.778166114196526e-10,up_in_reference,0,1,,,-1.247166641673517,,,,,8.778166114196526e-10,,,,,up_in_reference,,
UBE2Z,ENSG00000159202,UBE2Z,UBE2Z,ubiquitin conjugating enzyme E2 Z,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,1.36070752197694e-09,1.4049885487557334,1.315906221963074,MC1_vs_CTR,1.4049885487557334,1.36070752197694e-09,up_in_tested,2,1,1.268035182445258,,-1.2746949346882304,1.4049885487557334,,8.650306921368218e-08,,1.6862211804362237e-08,1.36070752197694e-09,,up_in_tested,,up_in_reference,up_in_tested,
