gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,neg_log10_padj,is_deg,is_priority_contrast,has_wgcna_module,regulation,selected_priority_deg,string_gene_label
ENSG00000185112,FAM43A,family with sequence similarity 43 member A,MA100_vs_CTR,1161.674475741636,1.4769678683034448,0.1884681618863242,7.836696944040276,4.6255261773096056e-15,4.1023791666558896e-11,True,up_in_MA100,darkgrey,darkgrey,7,1.4769678683034448,10.386964201993923,True,True,True,up_in_tested,True,FAM43A
ENSG00000040275,SPDL1,spindle apparatus coiled-coil protein 1,MA100_vs_CTR,2053.578939417958,1.214744151772393,0.1722056418578913,7.054032252757618,1.7380606486647517e-12,5.138286631002561e-09,True,up_in_MA100,dimgrey,dimgrey,11,1.214744151772393,8.289181672979234,True,True,True,up_in_tested,True,SPDL1
ENSG00000214357,NEURL1B,neuralized E3 ubiquitin protein ligase 1B,MA100_vs_CTR,1332.7426354216502,1.31357599276026,0.1967259309179418,6.677187835030137,2.4357069141219067e-11,5.4005711553367985e-08,True,up_in_MA100,dimgrey,dimgrey,11,1.31357599276026,7.267560307492964,True,True,True,up_in_tested,True,NEURL1B
ENSG00000147133,TAF1,TATA-box binding protein associated factor 1,MA100_vs_CTR,1810.4705208275277,1.2812810503132728,0.1929411289515432,6.640787567046237,3.120114557992149e-11,5.5344592029664754e-08,True,up_in_MA100,darkgrey,darkgrey,7,1.2812810503132728,7.2569248095895915,True,True,True,up_in_tested,True,TAF1
ENSG00000131747,TOP2A,DNA topoisomerase II alpha,MA100_vs_CTR,19915.70676343376,1.0382593389350574,0.1572073016261255,6.604396412860469,3.9914018181780236e-11,5.8999571209034825e-08,True,up_in_MA100,dimgrey,dimgrey,11,1.0382593389350574,7.229151144666784,True,True,True,up_in_tested,True,TOP2A
ENSG00000159202,UBE2Z,ubiquitin conjugating enzyme E2 Z,MA100_vs_CTR,2393.486788117661,1.2680351823737763,0.1943526913496009,6.524402484825071,6.827315079435219e-11,8.650208205644423e-08,True,up_in_MA100,dimgrey,dimgrey,11,1.2680351823737763,7.062973439185561,True,True,True,up_in_tested,True,UBE2Z
ENSG00000180035,ZNF48,zinc finger protein 48,MA100_vs_CTR,124.08528048926318,-1.7591554730889485,0.2772582578494253,-6.344826252368355,2.2267661319347975e-10,1.974918882412972e-07,True,up_in_CTR,dimgrey,dimgrey,11,1.7591554730889485,6.704450737831909,True,True,True,up_in_reference,True,ZNF48
ENSG00000089597,GANAB,glucosidase II alpha subunit,MA100_vs_CTR,4782.574473895875,1.1330850998281758,0.1837578533025388,6.166185985872753,6.99567975425981e-10,4.772667980040789e-07,True,up_in_MA100,darkgrey,darkgrey,7,1.1330850998281758,6.3212387771258225,True,True,True,up_in_tested,True,GANAB
ENSG00000197958,RPL12,ribosomal protein L12,MA100_vs_CTR,5865.780702794145,-1.0369745764517062,0.1739711767083821,-5.960611384435979,2.512959441261053e-09,1.4858291523029522e-06,True,up_in_CTR,dimgrey,dimgrey,11,1.0369745764517062,5.828031124948082,True,True,True,up_in_reference,True,RPL12
ENSG00000107949,BCCIP,BRCA2 and CDKN1A interacting protein,MA100_vs_CTR,1416.0331215547903,1.267917122176433,0.2186985300679587,5.797556672111323,6.728804559187267e-09,3.1409351387069405e-06,True,up_in_MA100,gainsboro,gainsboro,13,1.267917122176433,5.502941031825791,True,True,True,up_in_tested,True,BCCIP
