gene_id,dynamic_module,module,module_label
ENSG00000000003,dimgrey,dimgrey,4
ENSG00000000419,dimgrey,dimgrey,4
ENSG00000000457,dimgrey,dimgrey,4
ENSG00000000460,dimgrey,dimgrey,4
ENSG00000001036,dimgrey,dimgrey,4
ENSG00000001084,dimgrey,dimgrey,4
ENSG00000001167,darkgrey,darkgrey,1
ENSG00000001460,dimgrey,dimgrey,4
ENSG00000001461,dimgrey,dimgrey,4
ENSG00000001497,brown,brown,0
ENSG00000001561,dimgrey,dimgrey,4
ENSG00000001617,darkgrey,darkgrey,1
ENSG00000001629,darkgrey,darkgrey,1
ENSG00000001631,dimgrey,dimgrey,4
ENSG00000002016,firebrick,firebrick,5
ENSG00000002330,dimgrey,dimgrey,4
ENSG00000002549,dimgrey,dimgrey,4
ENSG00000002745,dimgrey,dimgrey,4
ENSG00000002746,maroon,maroon,9
ENSG00000002834,dimgrey,dimgrey,4
ENSG00000002919,lightgrey,lightgrey,8
ENSG00000003056,dimgrey,dimgrey,4
ENSG00000003096,brown,brown,0
ENSG00000003249,dimgrey,dimgrey,4
ENSG00000003393,darkgrey,darkgrey,1
ENSG00000003400,brown,brown,0
ENSG00000003402,darkgrey,darkgrey,1
ENSG00000003436,darkgrey,darkgrey,1
ENSG00000003509,lightgrey,lightgrey,8
ENSG00000003756,darkgrey,darkgrey,1
ENSG00000003987,indianred,indianred,6
ENSG00000004059,dimgrey,dimgrey,4
ENSG00000004142,dimgrey,dimgrey,4
ENSG00000004399,darkgrey,darkgrey,1
ENSG00000004455,dimgrey,dimgrey,4
ENSG00000004478,dimgrey,dimgrey,4
ENSG00000004487,lightcoral,lightcoral,7
ENSG00000004534,darkgrey,darkgrey,1
ENSG00000004660,darkgrey,darkgrey,1
ENSG00000004700,darkgrey,darkgrey,1
ENSG00000004766,dimgrey,dimgrey,4
ENSG00000004776,dimgrey,dimgrey,4
ENSG00000004777,darkgrey,darkgrey,1
ENSG00000004779,dimgrey,dimgrey,4
ENSG00000004864,dimgrey,dimgrey,4
ENSG00000004866,dimgrey,dimgrey,4
ENSG00000004897,darkgrey,darkgrey,1
ENSG00000004961,darkgrey,darkgrey,1
ENSG00000004975,darkgrey,darkgrey,1
ENSG00000005007,darkgrey,darkgrey,1
ENSG00000005020,lightcoral,lightcoral,7
ENSG00000005022,dimgrey,dimgrey,4
ENSG00000005059,dimgrey,dimgrey,4
ENSG00000005073,dimgrey,dimgrey,4
ENSG00000005075,darkgrey,darkgrey,1
ENSG00000005100,dimgrey,dimgrey,4
ENSG00000005156,darkgrey,darkgrey,1
ENSG00000005175,darkgrey,darkgrey,1
ENSG00000005189,brown,brown,0
ENSG00000005194,indianred,indianred,6
ENSG00000005206,darkgrey,darkgrey,1
ENSG00000005238,darkgrey,darkgrey,1
ENSG00000005243,dimgrey,dimgrey,4
ENSG00000005249,darkgrey,darkgrey,1
ENSG00000005302,dimgrey,dimgrey,4
ENSG00000005339,dimgrey,dimgrey,4
ENSG00000005436,darkgrey,darkgrey,1
ENSG00000005448,darkgrey,darkgrey,1
ENSG00000005469,dimgrey,dimgrey,4
ENSG00000005483,mistyrose,mistyrose,10
ENSG00000005486,firebrick,firebrick,5
ENSG00000005700,maroon,maroon,9
ENSG00000005801,darkgrey,darkgrey,1
ENSG00000005810,darkgrey,darkgrey,1
ENSG00000005812,dimgrey,dimgrey,4
ENSG00000005882,darkgrey,darkgrey,1
ENSG00000005884,darkgrey,darkgrey,1
ENSG00000005889,lightgrey,lightgrey,8
ENSG00000005893,darkgrey,darkgrey,1
ENSG00000006007,brown,brown,0
ENSG00000006015,darkgrey,darkgrey,1
ENSG00000006016,darkgrey,darkgrey,1
ENSG00000006025,dimgrey,dimgrey,4
ENSG00000006042,darkgrey,darkgrey,1
ENSG00000006118,lightgrey,lightgrey,8
ENSG00000006125,darkgrey,darkgrey,1
ENSG00000006194,darkgrey,darkgrey,1
ENSG00000006282,dimgrey,dimgrey,4
ENSG00000006327,darkgrey,darkgrey,1
ENSG00000006451,lightgrey,lightgrey,8
ENSG00000006453,dimgrey,dimgrey,4
ENSG00000006459,maroon,maroon,9
ENSG00000006468,dimgrey,dimgrey,4
ENSG00000006530,dimgrey,dimgrey,4
ENSG00000006534,darkgrey,darkgrey,1
ENSG00000006576,dimgrey,dimgrey,4
ENSG00000006606,dimgrey,dimgrey,4
ENSG00000006607,dimgrey,dimgrey,4
ENSG00000006625,lightgrey,lightgrey,8
ENSG00000006634,darkgrey,darkgrey,1
ENSG00000006638,darkgrey,darkgrey,1
ENSG00000006652,darkgrey,darkgrey,1
ENSG00000006695,whitesmoke,whitesmoke,13
ENSG00000006704,dimgrey,dimgrey,4
ENSG00000006712,darkgrey,darkgrey,1
ENSG00000006715,darkgrey,darkgrey,1
ENSG00000006740,dimgrey,dimgrey,4
ENSG00000006744,dimgrey,dimgrey,4
ENSG00000006756,darkgrey,darkgrey,1
ENSG00000006757,dimgrey,dimgrey,4
ENSG00000006831,brown,brown,0
ENSG00000006837,dimgrey,dimgrey,4
ENSG00000007047,darkgrey,darkgrey,1
ENSG00000007080,dimgrey,dimgrey,4
ENSG00000007168,dimgrey,dimgrey,4
ENSG00000007202,darkgrey,darkgrey,1
ENSG00000007237,dimgrey,dimgrey,4
ENSG00000007255,darkgrey,darkgrey,1
ENSG00000007341,darkgrey,darkgrey,1
ENSG00000007376,darkgrey,darkgrey,1
ENSG00000007384,darkgrey,darkgrey,1
ENSG00000007392,darkgrey,darkgrey,1
ENSG00000007402,darkgrey,darkgrey,1
ENSG00000007520,dimgrey,dimgrey,4
ENSG00000007541,darkgrey,darkgrey,1
ENSG00000007545,darkgrey,darkgrey,1
ENSG00000007866,dimgrey,dimgrey,4
ENSG00000007923,darkgrey,darkgrey,1
ENSG00000007933,indianred,indianred,6
ENSG00000007944,dimgrey,dimgrey,4
ENSG00000007952,darkgrey,darkgrey,1
ENSG00000008018,lightgrey,lightgrey,8
ENSG00000008056,dimgrey,dimgrey,4
ENSG00000008083,darkgrey,darkgrey,1
ENSG00000008086,darkgrey,darkgrey,1
ENSG00000008118,snow,snow,12
ENSG00000008130,maroon,maroon,9
ENSG00000008256,darkgrey,darkgrey,1
ENSG00000008277,dimgrey,dimgrey,4
ENSG00000008282,dimgrey,dimgrey,4
ENSG00000008283,darkgrey,darkgrey,1
ENSG00000008294,darkgrey,darkgrey,1
ENSG00000008300,darkgrey,darkgrey,1
ENSG00000008311,darkgrey,darkgrey,1
ENSG00000008324,darkgrey,darkgrey,1
ENSG00000008382,darkgrey,darkgrey,1
ENSG00000008394,dimgrey,dimgrey,4
ENSG00000008405,dimgrey,dimgrey,4
ENSG00000008441,darkgrey,darkgrey,1
ENSG00000008513,darkgrey,darkgrey,1
ENSG00000008517,lightgrey,lightgrey,8
ENSG00000008710,brown,brown,0
ENSG00000008838,darkgrey,darkgrey,1
ENSG00000008853,lightgrey,lightgrey,8
ENSG00000008869,dimgrey,dimgrey,4
ENSG00000008952,brown,brown,0
ENSG00000008988,dimgrey,dimgrey,4
ENSG00000009307,darkgrey,darkgrey,1
ENSG00000009335,dimgrey,dimgrey,4
ENSG00000009413,darkgrey,darkgrey,1
ENSG00000009724,indianred,indianred,6
ENSG00000009780,brown,brown,0
ENSG00000009830,darkgrey,darkgrey,1
ENSG00000009844,lightgrey,lightgrey,8
ENSG00000009954,darkred,darkred,2
ENSG00000010017,indianred,indianred,6
ENSG00000010072,snow,snow,12
ENSG00000010165,dimgrey,dimgrey,4
ENSG00000010219,darkgrey,darkgrey,1
ENSG00000010244,dimgrey,dimgrey,4
ENSG00000010256,dimgrey,dimgrey,4
ENSG00000010270,dimgrey,dimgrey,4
ENSG00000010278,whitesmoke,whitesmoke,13
ENSG00000010292,dimgrey,dimgrey,4
ENSG00000010295,mistyrose,mistyrose,10
ENSG00000010318,darkgrey,darkgrey,1
ENSG00000010322,darkgrey,darkgrey,1
ENSG00000010404,whitesmoke,whitesmoke,13
ENSG00000010438,firebrick,firebrick,5
ENSG00000010539,whitesmoke,whitesmoke,13
ENSG00000010610,brown,brown,0
ENSG00000010626,darkgrey,darkgrey,1
ENSG00000010704,dimgrey,dimgrey,4
ENSG00000010803,darkgrey,darkgrey,1
ENSG00000010810,dimgrey,dimgrey,4
ENSG00000010818,whitesmoke,whitesmoke,13
ENSG00000010932,dimgrey,dimgrey,4
ENSG00000011007,darkgrey,darkgrey,1
ENSG00000011009,dimgrey,dimgrey,4
ENSG00000011021,darkgrey,darkgrey,1
ENSG00000011028,darkgrey,darkgrey,1
ENSG00000011105,darkgrey,darkgrey,1
ENSG00000011114,darkgrey,darkgrey,1
ENSG00000011132,darkgrey,darkgrey,1
ENSG00000011143,darkgrey,darkgrey,1
ENSG00000011198,whitesmoke,whitesmoke,13
ENSG00000011201,dimgrey,dimgrey,4
ENSG00000011243,darkgrey,darkgrey,1
ENSG00000011258,dimgrey,dimgrey,4
ENSG00000011260,dimgrey,dimgrey,4
ENSG00000011275,darkgrey,darkgrey,1
ENSG00000011295,darkgrey,darkgrey,1
ENSG00000011304,darkgrey,darkgrey,1
ENSG00000011332,darkgrey,darkgrey,1
ENSG00000011347,dimgrey,dimgrey,4
ENSG00000011376,snow,snow,12
ENSG00000011405,darkgrey,darkgrey,1
ENSG00000011422,darkgrey,darkgrey,1
ENSG00000011426,indianred,indianred,6
ENSG00000011451,darkgrey,darkgrey,1
ENSG00000011454,dimgrey,dimgrey,4
ENSG00000011465,darkgrey,darkgrey,1
ENSG00000011478,darkgrey,darkgrey,1
ENSG00000011485,darkgrey,darkgrey,1
ENSG00000011523,dimgrey,dimgrey,4
ENSG00000011566,darkgrey,darkgrey,1
ENSG00000012048,firebrick,firebrick,5
ENSG00000012061,dimgrey,dimgrey,4
ENSG00000012124,dimgrey,dimgrey,4
ENSG00000012171,darkgrey,darkgrey,1
ENSG00000012174,dimgrey,dimgrey,4
ENSG00000012211,brown,brown,0
ENSG00000012232,darkgrey,darkgrey,1
ENSG00000012660,brown,brown,0
ENSG00000012822,maroon,maroon,9
ENSG00000012963,brown,brown,0
ENSG00000012983,dimgrey,dimgrey,4
ENSG00000013016,brown,brown,0
ENSG00000013275,dimgrey,dimgrey,4
ENSG00000013288,dimgrey,dimgrey,4
ENSG00000013293,firebrick,firebrick,5
ENSG00000013297,dimgrey,dimgrey,4
ENSG00000013306,lightgrey,lightgrey,8
ENSG00000013364,dimgrey,dimgrey,4
ENSG00000013374,whitesmoke,whitesmoke,13
ENSG00000013375,dimgrey,dimgrey,4
ENSG00000013392,dimgrey,dimgrey,4
ENSG00000013441,darkgrey,darkgrey,1
ENSG00000013503,brown,brown,0
ENSG00000013523,brown,brown,0
ENSG00000013561,darkgrey,darkgrey,1
ENSG00000013573,maroon,maroon,9
ENSG00000013583,darkgrey,darkgrey,1
ENSG00000013588,darkgrey,darkgrey,1
ENSG00000013619,darkgrey,darkgrey,1
ENSG00000013810,darkgrey,darkgrey,1
ENSG00000014123,snow,snow,12
ENSG00000014138,dimgrey,dimgrey,4
ENSG00000014164,darkgrey,darkgrey,1
ENSG00000014216,darkgrey,darkgrey,1
ENSG00000014257,brown,brown,0
ENSG00000014641,dimgrey,dimgrey,4
ENSG00000014824,whitesmoke,whitesmoke,13
ENSG00000014914,dimgrey,dimgrey,4
ENSG00000014919,dimgrey,dimgrey,4
ENSG00000015133,dimgrey,dimgrey,4
ENSG00000015153,darkgrey,darkgrey,1
ENSG00000015171,whitesmoke,whitesmoke,13
ENSG00000015285,darkgrey,darkgrey,1
ENSG00000015475,dimgrey,dimgrey,4
ENSG00000015479,indianred,indianred,6
ENSG00000015532,darkgrey,darkgrey,1
ENSG00000015676,darkgrey,darkgrey,1
ENSG00000016864,whitesmoke,whitesmoke,13
ENSG00000017260,dimgrey,dimgrey,4
ENSG00000017483,darkgrey,darkgrey,1
ENSG00000017797,brown,brown,0
ENSG00000018189,dimgrey,dimgrey,4
ENSG00000018408,darkgrey,darkgrey,1
ENSG00000018510,lightgrey,lightgrey,8
ENSG00000018610,dimgrey,dimgrey,4
ENSG00000018699,dimgrey,dimgrey,4
ENSG00000018869,dimgrey,dimgrey,4
ENSG00000019102,dimgrey,dimgrey,4
ENSG00000019144,dimgrey,dimgrey,4
ENSG00000019485,indianred,indianred,6
ENSG00000019549,lightcoral,lightcoral,7
ENSG00000019582,dimgrey,dimgrey,4
ENSG00000019991,darkgrey,darkgrey,1
ENSG00000019995,dimgrey,dimgrey,4
ENSG00000020129,lightgrey,lightgrey,8
ENSG00000020181,darkgrey,darkgrey,1
ENSG00000020256,snow,snow,12
ENSG00000020426,indianred,indianred,6
ENSG00000020577,dimgrey,dimgrey,4
ENSG00000020633,darkgrey,darkgrey,1
ENSG00000020922,whitesmoke,whitesmoke,13
ENSG00000021355,dimgrey,dimgrey,4
ENSG00000021574,darkgrey,darkgrey,1
ENSG00000021645,dimgrey,dimgrey,4
ENSG00000021762,darkgrey,darkgrey,1
ENSG00000021776,darkgrey,darkgrey,1
ENSG00000021826,dimgrey,dimgrey,4
ENSG00000022267,dimgrey,dimgrey,4
ENSG00000022277,darkgrey,darkgrey,1
ENSG00000022567,dimgrey,dimgrey,4
ENSG00000022840,mistyrose,mistyrose,10
ENSG00000022976,whitesmoke,whitesmoke,13
ENSG00000023041,dimgrey,dimgrey,4
ENSG00000023171,dimgrey,dimgrey,4
ENSG00000023191,dimgrey,dimgrey,4
ENSG00000023228,brown,brown,0
ENSG00000023287,lightcoral,lightcoral,7
ENSG00000023318,darkgrey,darkgrey,1
ENSG00000023330,dimgrey,dimgrey,4
ENSG00000023445,dimgrey,dimgrey,4
ENSG00000023516,indianred,indianred,6
ENSG00000023572,dimgrey,dimgrey,4
ENSG00000023608,darkgrey,darkgrey,1
ENSG00000023697,whitesmoke,whitesmoke,13
ENSG00000023734,dimgrey,dimgrey,4
ENSG00000023839,lightgrey,lightgrey,8
ENSG00000023892,dimgrey,dimgrey,4
ENSG00000023902,darkgrey,darkgrey,1
ENSG00000023909,brown,brown,0
ENSG00000024048,darkgrey,darkgrey,1
ENSG00000024422,darkgrey,darkgrey,1
ENSG00000024526,dimgrey,dimgrey,4
ENSG00000024862,darkgrey,darkgrey,1
ENSG00000025156,darkgrey,darkgrey,1
ENSG00000025293,brown,brown,0
ENSG00000025423,snow,snow,12
ENSG00000025434,dimgrey,dimgrey,4
ENSG00000025708,dimgrey,dimgrey,4
ENSG00000025770,darkgrey,darkgrey,1
ENSG00000025772,darkgrey,darkgrey,1
ENSG00000025796,dimgrey,dimgrey,4
ENSG00000025800,whitesmoke,whitesmoke,13
ENSG00000026025,dimgrey,dimgrey,4
ENSG00000026103,dimgrey,dimgrey,4
ENSG00000026297,darkgrey,darkgrey,1
ENSG00000026508,dimgrey,dimgrey,4
ENSG00000026559,dimgrey,dimgrey,4
ENSG00000026652,darkgrey,darkgrey,1
ENSG00000026950,firebrick,firebrick,5
