gene_id,dynamic_module,module,module_label
ENSG00000000003,dimgrey,dimgrey,11
ENSG00000000419,silver,silver,29
ENSG00000000457,dimgrey,dimgrey,11
ENSG00000000460,dimgrey,dimgrey,11
ENSG00000001036,lightcoral,lightcoral,14
ENSG00000001084,silver,silver,29
ENSG00000001167,dimgrey,dimgrey,11
ENSG00000001460,dimgrey,dimgrey,11
ENSG00000001461,dimgrey,dimgrey,11
ENSG00000001497,maroon,maroon,16
ENSG00000001561,silver,silver,29
ENSG00000001617,darkgrey,darkgrey,7
ENSG00000001629,gainsboro,gainsboro,13
ENSG00000001631,dimgrey,dimgrey,11
ENSG00000002016,coral,coral,6
ENSG00000002330,dimgrey,dimgrey,11
ENSG00000002549,dimgrey,dimgrey,11
ENSG00000002745,silver,silver,29
ENSG00000002746,dimgrey,dimgrey,11
ENSG00000002834,silver,silver,29
ENSG00000002919,brown,brown,3
ENSG00000003056,dimgrey,dimgrey,11
ENSG00000003096,maroon,maroon,16
ENSG00000003249,dimgrey,dimgrey,11
ENSG00000003393,darkgrey,darkgrey,7
ENSG00000003400,maroon,maroon,16
ENSG00000003402,darkgrey,darkgrey,7
ENSG00000003436,gainsboro,gainsboro,13
ENSG00000003509,darkgrey,darkgrey,7
ENSG00000003756,white,white,31
ENSG00000003987,silver,silver,29
ENSG00000004059,dimgrey,dimgrey,11
ENSG00000004142,silver,silver,29
ENSG00000004399,darkgrey,darkgrey,7
ENSG00000004455,dimgrey,dimgrey,11
ENSG00000004478,dimgrey,dimgrey,11
ENSG00000004487,silver,silver,29
ENSG00000004534,darkgrey,darkgrey,7
ENSG00000004660,silver,silver,29
ENSG00000004700,gainsboro,gainsboro,13
ENSG00000004766,dimgrey,dimgrey,11
ENSG00000004776,dimgrey,dimgrey,11
ENSG00000004777,darkgrey,darkgrey,7
ENSG00000004779,dimgrey,dimgrey,11
ENSG00000004864,dimgrey,dimgrey,11
ENSG00000004866,dimgrey,dimgrey,11
ENSG00000004897,darkgrey,darkgrey,7
ENSG00000004961,darkgrey,darkgrey,7
ENSG00000004975,darkgrey,darkgrey,7
ENSG00000005007,darkgrey,darkgrey,7
ENSG00000005020,silver,silver,29
ENSG00000005022,dimgrey,dimgrey,11
ENSG00000005059,dimgrey,dimgrey,11
ENSG00000005073,darkgrey,darkgrey,7
ENSG00000005075,darkgrey,darkgrey,7
ENSG00000005100,navajowhite,navajowhite,18
ENSG00000005156,darkgrey,darkgrey,7
ENSG00000005175,gainsboro,gainsboro,13
ENSG00000005189,silver,silver,29
ENSG00000005194,white,white,31
ENSG00000005206,darkgrey,darkgrey,7
ENSG00000005238,darkgrey,darkgrey,7
ENSG00000005243,dimgrey,dimgrey,11
ENSG00000005249,darkgrey,darkgrey,7
ENSG00000005302,dimgrey,dimgrey,11
ENSG00000005339,dimgrey,dimgrey,11
ENSG00000005436,darkgrey,darkgrey,7
ENSG00000005448,darkgrey,darkgrey,7
ENSG00000005469,silver,silver,29
ENSG00000005483,darksalmon,darksalmon,10
ENSG00000005486,silver,silver,29
ENSG00000005700,silver,silver,29
ENSG00000005801,darkgrey,darkgrey,7
ENSG00000005810,gainsboro,gainsboro,13
ENSG00000005812,silver,silver,29
ENSG00000005882,darkgrey,darkgrey,7
ENSG00000005884,darkgrey,darkgrey,7
ENSG00000005889,red,red,24
ENSG00000005893,darkgrey,darkgrey,7
ENSG00000006007,gainsboro,gainsboro,13
ENSG00000006015,white,white,31
ENSG00000006016,darkgrey,darkgrey,7
ENSG00000006025,dimgrey,dimgrey,11
ENSG00000006042,darkgrey,darkgrey,7
ENSG00000006118,dimgrey,dimgrey,11
ENSG00000006125,darkgrey,darkgrey,7
ENSG00000006194,darkgrey,darkgrey,7
ENSG00000006282,dimgrey,dimgrey,11
ENSG00000006327,darkgrey,darkgrey,7
ENSG00000006451,gainsboro,gainsboro,13
ENSG00000006453,dimgrey,dimgrey,11
ENSG00000006459,firebrick,firebrick,12
ENSG00000006468,silver,silver,29
ENSG00000006530,dimgrey,dimgrey,11
ENSG00000006534,darkgrey,darkgrey,7
ENSG00000006576,dimgrey,dimgrey,11
ENSG00000006606,dimgrey,dimgrey,11
ENSG00000006607,dimgrey,dimgrey,11
ENSG00000006625,silver,silver,29
ENSG00000006634,silver,silver,29
ENSG00000006638,darkgrey,darkgrey,7
ENSG00000006652,darkgrey,darkgrey,7
ENSG00000006695,silver,silver,29
ENSG00000006704,dimgrey,dimgrey,11
ENSG00000006712,darkgrey,darkgrey,7
ENSG00000006715,white,white,31
ENSG00000006740,dimgrey,dimgrey,11
ENSG00000006744,dimgrey,dimgrey,11
ENSG00000006756,darkgrey,darkgrey,7
ENSG00000006757,dimgrey,dimgrey,11
ENSG00000006831,silver,silver,29
ENSG00000006837,silver,silver,29
ENSG00000007047,darkgrey,darkgrey,7
ENSG00000007080,orangered,orangered,20
ENSG00000007168,dimgrey,dimgrey,11
ENSG00000007202,darkgrey,darkgrey,7
ENSG00000007237,silver,silver,29
ENSG00000007255,darkgrey,darkgrey,7
ENSG00000007341,gainsboro,gainsboro,13
