,particle_size_um,concentration_gL,is_100nm,group_MA1,group_MA100,group_MB1,group_MB100,group_MC1,group_MC100,group_MD1
ME_antiquewhite,0.0067914064350416675,0.3629765735725227,0.0067914064350416675,0.30528549539991484,0.01777276602868169,0.32563991693826466,0.4295178665943791,0.17922096903869844,0.6205605524251211,0.8526957072643292
ME_bisque,0.058865853919418155,0.7668939323017899,0.058865853919418155,0.8736138385479003,0.5052187450983481,0.06344238639034804,0.3622899743546325,0.6315985997928678,0.31846986096212365,0.8903569212988562
ME_blanchedalmond,0.571937401584174,0.9076370955520312,0.571937401584174,0.42404854124209673,0.49760437460837276,0.42209432474563185,0.19146640567960532,0.02933838255135072,0.8466275092505432,0.7346786857116622
ME_brown,0.5338743024784759,0.2739450906597494,0.5338743024784759,0.5884853940674829,0.690063894406455,0.8641814475045511,0.7745072546604315,0.016508281657960876,0.848364116483246,0.521745884107319
ME_burlywood,0.22053963120574743,0.4194335658720604,0.22053963120574743,0.3707943129413752,0.7555857035404968,0.19874361229630327,0.41136458748177984,0.3592314333488193,0.5649326833837568,0.23596210690313635
ME_chocolate,0.7467016496823886,0.07171192000619617,0.7467016496823886,0.36235926663376106,0.14526104496502412,0.6567192811477807,0.35525725978309586,0.8086679099799435,0.33198995566828704,0.8076365345024269
ME_coral,0.6633603152749082,0.6142455930827259,0.6633603152749082,0.7238531482243272,0.5125596042461493,0.5907892205414916,0.7667978165397019,0.5133384174107019,0.795341008478097,0.3892294192734584
ME_darkgrey,0.002594925146939894,0.34642308453332965,0.002594925146939894,0.8056535246858261,0.5079869179225603,0.20927370568443704,0.1632183758124489,0.1651378826010625,0.0002530969968436962,0.13520561669518055
ME_darkorange,0.0040824995661567,0.15612220985743805,0.0040824995661567,0.8763107671367649,0.0026195806236084603,0.009529528193768256,0.25689474319669003,0.6965995293531114,0.8866862351616471,0.11950648468213683
ME_darksalmon,0.044204316717334304,0.07010201652741999,0.044204316717334304,0.9096293336515263,0.0014644403698499723,0.6400079626602506,0.9576772828584663,0.4435215655869659,0.8824290155375367,0.1007050337363512
ME_dimgrey,0.41769323927213586,0.2578060662601495,0.41769323927213586,0.3050240262381568,0.022183698804996654,0.533439372768412,0.242895361801315,0.03266773631712491,0.022954789789563782,0.445938641586922
ME_firebrick,0.13950628612072016,0.21293545843810455,0.13950628612072044,0.6446388172509188,0.01472357159059447,0.9772351521161786,0.8795428174647122,0.3887475108947351,0.7055355019648869,0.48890264782110754
ME_gainsboro,0.22508553599640765,0.053400602374416205,0.22508553599640765,0.9294768151574719,0.01532792488142157,0.0021553526107587506,0.650261210878142,0.5385060811673855,0.9128452203636049,0.7389881463503778
ME_indianred,0.4298044988398759,0.517498724889699,0.4298044988398759,0.8760879405140175,0.7380378116196371,0.6634011928696458,0.7465268285972523,0.022405199091276813,0.6514719816851158,0.66355175370825
ME_lightsalmon,0.3214767025369403,0.2736015913877295,0.3214767025369403,0.7765412978650198,0.4559274447218665,0.04856147798907677,0.6451923768668536,0.5453784565384275,0.8535647965681794,0.41527793082645864
ME_linen,0.9488644975212236,0.9398660646360703,0.9488644975212228,0.8232179313188651,0.6485601128764962,0.7297493326084286,0.7497580275279856,0.5931943824986882,0.9638904620410031,0.22439277839303567
ME_maroon,0.481561521185815,0.5815960989058058,0.481561521185815,0.6728770489496319,0.8648094363478375,0.006284208084445051,0.7379066018424402,0.5900977377912155,0.6270330215611378,0.5936960126000739
ME_mistyrose,0.1426416782130668,0.8835130315642923,0.1426416782130668,0.3864353362471089,0.39711942735529465,0.013768321318883317,0.4885891737115079,0.21803223775815658,0.020052634109372566,0.5404651534166203
ME_navajowhite,0.7833572240502589,0.7680069121650699,0.7833572240502589,0.9552002648143485,0.9389764320789701,0.7624009984747129,0.8944082834555652,0.5004064698995431,0.6557559378570694,0.596758505811713
ME_orangered,0.027469413057900138,0.6474066719312149,0.027469413057900138,0.08197089719051745,0.05907617928599387,0.020137438717729775,0.7217765151706395,0.789239419253078,0.43885621993155993,0.22985708555545467
ME_peachpuff,0.9110648485646634,0.415053479790123,0.9110648485646634,0.4519235464210917,0.5121736499978194,0.1419889783432913,0.7105563811168879,0.19692376797287148,0.38261435215216333,0.02478457527084549
ME_peru,0.8689698524286342,0.46242972116634296,0.8689698524286342,0.785726850042401,0.5001925405152756,0.22778176202484743,0.8700789632916442,0.5725660313313673,0.7843794329916657,0.9076163025564387
ME_red,0.18210039110768772,0.26825594355154064,0.18210039110768772,0.49384501625873345,0.030664295796315313,0.5225500729837264,0.7890111363656124,0.3738071535537479,0.6471628448198493,0.0016655906617668577
ME_saddlebrown,0.3927340197515262,0.31533418448309225,0.3927340197515262,0.5153593372756775,0.772285224918045,0.345506877113008,0.7935498988687095,0.10888331043385657,0.5156963512592894,0.5215646120625671
ME_sandybrown,0.5627943763594143,0.9582423822650649,0.5627943763594143,0.08611289386835778,0.061371859089272535,0.6796243801446181,0.3040840384273954,0.2490969085023324,0.9661348870252953,0.9083005409971441
ME_seashell,0.6531498166275864,0.8898082557822404,0.6531498166275864,0.4650431784065147,0.17753045690382002,0.6671499948728247,0.9351120775628755,0.18896139297785078,0.5461251827387724,0.4418177305800614
ME_sienna,0.7905806862299575,0.5372030187497541,0.7905806862299575,0.3333781170438124,0.9805459939314761,0.4672819593993027,0.7658626133730551,0.7665680165104145,0.9186294683845221,0.7546243512033349
ME_tan,0.31118461836982797,0.2213395486877817,0.31118461836982797,0.9436727679115509,0.26332940599809557,0.6951952020241982,0.6600827273628714,0.06065422021179763,0.448933738948177,0.4824270940496239
ME_white,0.38801513043167607,0.571276937627172,0.38801513043167607,0.7599330815225172,0.3943235416530128,0.8136752140688535,0.9863818815536026,0.16142535290322782,0.7274185191567527,0.005666091559244146
