gene_id,WGCNA_Module
ENSG00000198899,black
ENSG00000210082,black
ENSG00000228253,firebrick
ENSG00000125148,firebrick
ENSG00000198886,black
ENSG00000198712,black
ENSG00000198727,black
ENSG00000198888,black
ENSG00000198938,firebrick
ENSG00000177469,darkgrey
ENSG00000213741,darkgrey
ENSG00000135404,darkgrey
ENSG00000108821,darkgrey
ENSG00000106211,black
ENSG00000026025,firebrick
ENSG00000198763,black
ENSG00000196924,darkgrey
ENSG00000198840,black
ENSG00000149273,darkgrey
ENSG00000100097,firebrick
ENSG00000211459,darkgrey
ENSG00000131747,firebrick
ENSG00000080824,black
ENSG00000197756,salmon
ENSG00000198786,darkgrey
ENSG00000072110,darkgrey
ENSG00000137309,darkgrey
ENSG00000166441,black
ENSG00000091986,darkgrey
ENSG00000197956,darkgrey
ENSG00000105438,darkgrey
ENSG00000158710,black
ENSG00000165119,darkgrey
ENSG00000182718,black
ENSG00000142156,darkgrey
ENSG00000143947,black
ENSG00000088247,black
ENSG00000063177,darkgrey
ENSG00000136830,darkgrey
ENSG00000075624,firebrick
ENSG00000106153,darkgrey
ENSG00000087086,firebrick
ENSG00000077549,darkgrey
ENSG00000167460,darkgrey
ENSG00000109475,black
ENSG00000164587,darkgrey
ENSG00000102265,firebrick
ENSG00000159674,darkgrey
ENSG00000115310,firebrick
ENSG00000145592,black
ENSG00000293293,darkgrey
ENSG00000138326,darkgrey
ENSG00000112306,black
ENSG00000162576,darkgrey
ENSG00000070756,darkgrey
ENSG00000133112,firebrick
ENSG00000137154,salmon
ENSG00000245532,firebrick
ENSG00000071082,black
ENSG00000149806,darkgrey
ENSG00000172757,darkgrey
ENSG00000142541,black
ENSG00000167658,firebrick
ENSG00000044574,darkgrey
ENSG00000174444,black
ENSG00000198034,firebrick
ENSG00000184840,darkgrey
ENSG00000229119,darkgrey
ENSG00000104904,darkgrey
ENSG00000136026,darkgrey
ENSG00000156508,firebrick
ENSG00000069275,darkgrey
ENSG00000034510,black
ENSG00000249992,darkgrey
ENSG00000197061,darkgrey
ENSG00000105401,darkgrey
ENSG00000147649,darkgrey
ENSG00000125534,darkgrey
ENSG00000160789,darkgrey
ENSG00000205542,firebrick
ENSG00000233762,darkgrey
ENSG00000164692,firebrick
ENSG00000142676,black
ENSG00000105221,darkgrey
ENSG00000122565,darkgrey
ENSG00000185896,darkgrey
ENSG00000122786,firebrick
ENSG00000105372,salmon
ENSG00000068697,darkgrey
ENSG00000117362,darkgrey
ENSG00000105193,darkgrey
ENSG00000122406,black
ENSG00000163359,darkgrey
ENSG00000157227,black
ENSG00000142173,black
ENSG00000096384,firebrick
ENSG00000115461,firebrick
ENSG00000074800,darkgrey
ENSG00000065978,darkgrey
ENSG00000171863,black
ENSG00000142871,darkgrey
ENSG00000169715,darkgrey
ENSG00000119335,darkgrey
ENSG00000067225,darkgrey
ENSG00000108298,black
ENSG00000125691,black
ENSG00000212907,darkgrey
ENSG00000138758,firebrick
ENSG00000131469,firebrick
ENSG00000213442,darkgrey
ENSG00000110092,darkgrey
ENSG00000110321,darkgrey
ENSG00000164032,darkgrey
ENSG00000167526,black
ENSG00000105974,darkgrey
ENSG00000237973,black
ENSG00000231500,black
ENSG00000177954,black
ENSG00000092841,firebrick
ENSG00000088832,darkgrey
ENSG00000100345,darkgrey
ENSG00000227615,darkgrey
ENSG00000185088,darkgrey
ENSG00000128595,darkgrey
ENSG00000166598,darkgrey
ENSG00000099817,black
ENSG00000008988,black
ENSG00000163191,darkgrey
ENSG00000244398,black
ENSG00000101335,darkgrey
ENSG00000009307,darkgrey
ENSG00000113739,darkgrey
ENSG00000108518,firebrick
ENSG00000137818,salmon
ENSG00000034152,darkgrey
ENSG00000167552,black
ENSG00000130255,black
ENSG00000167283,darkgrey
ENSG00000184900,darkgrey
ENSG00000090621,black
ENSG00000198467,firebrick
ENSG00000228929,darkgrey
ENSG00000125844,black
ENSG00000109971,black
ENSG00000188846,black
ENSG00000210196,darkgrey
ENSG00000197043,darkgrey
ENSG00000141753,firebrick
ENSG00000108344,black
ENSG00000140264,darkgrey
ENSG00000134294,darkgrey
ENSG00000113140,firebrick
ENSG00000198804,firebrick
ENSG00000147065,darkgrey
ENSG00000106366,firebrick
ENSG00000100316,black
ENSG00000111142,darkgrey
ENSG00000089597,darkgrey
ENSG00000163466,darkgrey
ENSG00000162734,firebrick
ENSG00000067560,darkgrey
ENSG00000113719,darkgrey
ENSG00000210049,black
ENSG00000187514,darkgrey
ENSG00000130508,firebrick
ENSG00000176014,black
ENSG00000230629,firebrick
ENSG00000197081,firebrick
ENSG00000142937,salmon
ENSG00000204628,firebrick
ENSG00000198242,darkgrey
ENSG00000244245,black
ENSG00000008441,darkgrey
ENSG00000115414,firebrick
ENSG00000198695,darkgrey
ENSG00000140988,black
ENSG00000136238,darkgrey
ENSG00000148303,black
ENSG00000236824,darkgrey
ENSG00000137831,firebrick
