gene_id,WGCNA_Module
ENSG00000198899,dimgrey
ENSG00000210082,gainsboro
ENSG00000198840,dimgrey
ENSG00000198886,gainsboro
ENSG00000198727,gainsboro
ENSG00000198888,gainsboro
ENSG00000125148,dimgrey
ENSG00000198763,gainsboro
ENSG00000198712,dimgrey
ENSG00000026025,firebrick
ENSG00000080824,firebrick
ENSG00000198938,gainsboro
ENSG00000177469,dimgrey
ENSG00000108821,darkgrey
ENSG00000131747,dimgrey
ENSG00000211459,dimgrey
ENSG00000213741,dimgrey
ENSG00000149273,dimgrey
ENSG00000196924,dimgrey
ENSG00000197756,lightgrey
ENSG00000228253,dimgrey
ENSG00000138326,firebrick
ENSG00000106211,dimgrey
ENSG00000145592,gainsboro
ENSG00000075624,gainsboro
ENSG00000143947,gainsboro
ENSG00000071082,gainsboro
ENSG00000112306,gainsboro
ENSG00000182718,gainsboro
ENSG00000069275,dimgrey
ENSG00000105372,dimgrey
ENSG00000072110,dimgrey
ENSG00000109475,dimgrey
ENSG00000142156,dimgrey
ENSG00000077549,dimgrey
ENSG00000167658,lightgrey
ENSG00000167460,dimgrey
ENSG00000065978,dimgrey
ENSG00000100097,dimgrey
ENSG00000198786,dimgrey
ENSG00000122565,dimgrey
ENSG00000135404,darkgrey
ENSG00000197061,dimgrey
ENSG00000108298,dimgrey
ENSG00000166441,dimgrey
ENSG00000063177,dimgrey
ENSG00000174444,gainsboro
ENSG00000091986,dimgrey
ENSG00000227615,lightgrey
ENSG00000160789,dimgrey
ENSG00000088247,dimgrey
ENSG00000136026,dimgrey
ENSG00000156508,gainsboro
ENSG00000105438,dimgrey
ENSG00000159674,dimgrey
ENSG00000133112,dimgrey
ENSG00000149806,dimgrey
ENSG00000165119,dimgrey
ENSG00000212907,dimgrey
ENSG00000119335,dimgrey
ENSG00000158710,dimgrey
ENSG00000142541,dimgrey
ENSG00000142676,gainsboro
ENSG00000164692,darkgrey
ENSG00000164587,dimgrey
ENSG00000167526,gainsboro
ENSG00000113140,darkgrey
ENSG00000115461,darkgrey
ENSG00000137309,dimgrey
ENSG00000044574,dimgrey
ENSG00000162576,dimgrey
ENSG00000008988,gainsboro
ENSG00000177954,darkgrey
ENSG00000167552,dimgrey
ENSG00000034510,darkgrey
ENSG00000106153,dimgrey
ENSG00000130255,lightgrey
ENSG00000171863,gainsboro
ENSG00000142937,dimgrey
ENSG00000163359,dimgrey
ENSG00000166598,dimgrey
ENSG00000136810,gainsboro
ENSG00000124942,gainsboro
ENSG00000245532,lightgrey
ENSG00000136830,dimgrey
ENSG00000231500,gainsboro
ENSG00000090621,dimgrey
ENSG00000128595,dimgrey
ENSG00000198242,dimgrey
ENSG00000096384,dimgrey
ENSG00000293293,dimgrey
ENSG00000229117,dimgrey
ENSG00000109971,firebrick
ENSG00000187514,dimgrey
ENSG00000122786,lightgrey
ENSG00000185088,dimgrey
ENSG00000148303,gainsboro
ENSG00000089597,dimgrey
ENSG00000009307,dimgrey
ENSG00000172757,dimgrey
ENSG00000070756,dimgrey
ENSG00000136942,dimgrey
ENSG00000147649,dimgrey
ENSG00000164032,firebrick
ENSG00000157227,dimgrey
ENSG00000110092,dimgrey
ENSG00000122026,gainsboro
ENSG00000111142,dimgrey
ENSG00000163682,gainsboro
ENSG00000184840,dimgrey
ENSG00000034152,dimgrey
ENSG00000196531,dimgrey
ENSG00000100316,gainsboro
ENSG00000210049,dimgrey
ENSG00000198034,lightgrey
ENSG00000101335,dimgrey
ENSG00000105974,darkgrey
ENSG00000114391,gainsboro
ENSG00000189343,lightgrey
ENSG00000164111,gainsboro
ENSG00000197958,gainsboro
ENSG00000142871,dimgrey
ENSG00000230629,firebrick
ENSG00000125844,dimgrey
ENSG00000122406,gainsboro
ENSG00000185896,darkgrey
ENSG00000142173,dimgrey
ENSG00000198467,gainsboro
ENSG00000144713,gainsboro
ENSG00000125691,gainsboro
ENSG00000132341,firebrick
ENSG00000008441,dimgrey
ENSG00000197956,darkgrey
ENSG00000167601,dimgrey
ENSG00000165502,gainsboro
ENSG00000104904,dimgrey
ENSG00000087086,maroon
ENSG00000172809,gainsboro
ENSG00000125534,darkgrey
ENSG00000087460,lightgrey
ENSG00000188846,dimgrey
ENSG00000105401,dimgrey
ENSG00000048828,dimgrey
ENSG00000135046,gainsboro
ENSG00000117362,dimgrey
ENSG00000251562,dimgrey
ENSG00000137818,lightcoral
ENSG00000138758,dimgrey
ENSG00000153140,dimgrey
ENSG00000156467,lightgrey
ENSG00000102265,lightcoral
ENSG00000229119,darkgrey
ENSG00000030582,dimgrey
ENSG00000106366,darkgrey
ENSG00000115414,darkgrey
ENSG00000134419,gainsboro
ENSG00000249992,darkgrey
ENSG00000100764,dimgrey
ENSG00000171858,firebrick
ENSG00000083312,dimgrey
ENSG00000149257,dimgrey
ENSG00000070614,dimgrey
ENSG00000221983,gainsboro
ENSG00000185650,dimgrey
ENSG00000169715,darkgrey
ENSG00000168028,gainsboro
ENSG00000197043,dimgrey
ENSG00000137154,firebrick
ENSG00000196262,gainsboro
ENSG00000100345,dimgrey
ENSG00000205542,darkgrey
ENSG00000229659,lightgrey
ENSG00000105221,dimgrey
ENSG00000103187,dimgrey
ENSG00000169567,dimgrey
ENSG00000198804,darkred
ENSG00000138674,dimgrey
ENSG00000143933,firebrick
ENSG00000141905,lightcoral
ENSG00000067225,dimgrey
ENSG00000110321,darkgrey
ENSG00000125868,dimgrey
ENSG00000088832,dimgrey
ENSG00000142864,dimgrey
ENSG00000131469,firebrick
ENSG00000182899,gainsboro
ENSG00000210196,dimgrey
ENSG00000134363,lightcoral
ENSG00000167110,dimgrey
ENSG00000136149,dimgrey
ENSG00000140545,dimgrey
ENSG00000124145,dimgrey
ENSG00000134871,dimgrey
ENSG00000100234,dimgrey
ENSG00000113739,darkgrey
ENSG00000162734,dimgrey
