gene_id,WGCNA_Module
ENSG00000210082,black
ENSG00000125148,black
ENSG00000228253,black
ENSG00000108821,black
ENSG00000026025,black
ENSG00000198840,black
ENSG00000198938,black
ENSG00000197756,black
ENSG00000211459,black
ENSG00000198763,black
ENSG00000100097,black
ENSG00000198888,black
ENSG00000198886,black
ENSG00000164692,black
ENSG00000105372,black
ENSG00000080824,black
ENSG00000135404,black
ENSG00000198899,black
ENSG00000198727,black
ENSG00000213741,black
ENSG00000197956,black
ENSG00000087086,black
ENSG00000091986,black
ENSG00000205542,black
ENSG00000177469,dimgrey
ENSG00000196924,black
ENSG00000164032,black
ENSG00000115461,black
ENSG00000167658,black
ENSG00000122786,black
ENSG00000136026,black
ENSG00000198712,black
ENSG00000167460,black
ENSG00000142156,black
ENSG00000227615,black
ENSG00000137818,black
ENSG00000125534,black
ENSG00000172757,black
ENSG00000169715,black
ENSG00000137154,black
ENSG00000138326,black
ENSG00000034510,black
ENSG00000198786,black
ENSG00000106211,black
ENSG00000245532,black
ENSG00000149273,black
ENSG00000133112,black
ENSG00000159674,black
ENSG00000198034,black
ENSG00000164587,black
ENSG00000070756,black
ENSG00000177954,black
ENSG00000198695,black
ENSG00000198755,black
ENSG00000187514,black
ENSG00000137831,black
ENSG00000075624,black
ENSG00000108424,black
ENSG00000071082,black
ENSG00000110321,black
ENSG00000105438,black
ENSG00000131711,black
ENSG00000210196,black
ENSG00000108518,black
ENSG00000149806,black
ENSG00000035862,black
ENSG00000100106,black
ENSG00000156508,black
ENSG00000113739,black
ENSG00000072110,black
ENSG00000130508,black
ENSG00000085063,black
ENSG00000249992,black
ENSG00000132341,black
ENSG00000162576,black
ENSG00000112306,black
ENSG00000068697,black
ENSG00000167552,black
ENSG00000145592,black
ENSG00000126247,black
ENSG00000137309,black
ENSG00000034152,black
ENSG00000167283,black
ENSG00000077549,black
ENSG00000138758,black
ENSG00000236824,black
ENSG00000166598,black
ENSG00000142937,black
ENSG00000092841,black
ENSG00000143947,black
ENSG00000115414,black
ENSG00000131747,black
ENSG00000147065,black
ENSG00000128595,black
ENSG00000215030,black
ENSG00000102265,black
ENSG00000074800,black
ENSG00000141905,black
ENSG00000101335,black
ENSG00000166441,black
ENSG00000189343,black
ENSG00000197102,black
ENSG00000142676,black
ENSG00000212907,black
ENSG00000069275,black
ENSG00000142089,black
ENSG00000063177,black
ENSG00000288920,black
ENSG00000220842,black
ENSG00000163191,black
ENSG00000165119,black
ENSG00000132432,black
ENSG00000096384,black
ENSG00000164111,black
ENSG00000136830,black
ENSG00000231500,black
ENSG00000089157,black
ENSG00000169567,black
ENSG00000135046,black
ENSG00000293293,black
ENSG00000251562,black
ENSG00000087460,black
ENSG00000233927,black
ENSG00000167978,black
ENSG00000189403,black
ENSG00000198804,black
ENSG00000100345,black
ENSG00000120708,black
ENSG00000144674,black
ENSG00000134363,black
ENSG00000197746,black
ENSG00000124942,black
ENSG00000141753,black
ENSG00000116260,black
ENSG00000174444,black
ENSG00000173812,black
ENSG00000103187,black
ENSG00000167601,black
ENSG00000198258,black
ENSG00000227081,black
ENSG00000108298,black
ENSG00000182718,black
ENSG00000122641,black
ENSG00000065534,black
ENSG00000125868,black
ENSG00000122566,black
ENSG00000057019,black
ENSG00000140988,black
ENSG00000105401,black
ENSG00000185896,black
ENSG00000149257,black
ENSG00000198900,black
ENSG00000210049,black
ENSG00000158710,black
ENSG00000197043,black
ENSG00000151914,black
ENSG00000182899,black
ENSG00000167526,black
ENSG00000105221,black
ENSG00000228929,black
ENSG00000119335,black
ENSG00000105974,black
ENSG00000198467,black
ENSG00000124762,black
ENSG00000030582,black
ENSG00000140264,black
ENSG00000115310,black
ENSG00000136810,black
ENSG00000185201,black
ENSG00000185650,black
ENSG00000143933,black
ENSG00000009307,black
ENSG00000237973,black
ENSG00000106153,black
ENSG00000230629,black
ENSG00000197958,black
ENSG00000172809,black
ENSG00000126777,black
ENSG00000109475,black
ENSG00000106366,black
ENSG00000229117,black
ENSG00000117724,black
ENSG00000226532,black
ENSG00000109332,black
ENSG00000089220,black
ENSG00000164346,black
ENSG00000159140,black
ENSG00000185787,black
ENSG00000153187,black
ENSG00000104904,black
ENSG00000162614,black
ENSG00000130255,black
ENSG00000232573,black
ENSG00000163466,black
ENSG00000142864,black
ENSG00000044574,black
ENSG00000196262,black
ENSG00000212802,black
ENSG00000092199,black
ENSG00000099783,black
ENSG00000157613,black
ENSG00000139289,black
ENSG00000157227,black
ENSG00000134294,black
ENSG00000142534,black
ENSG00000234742,black
ENSG00000162909,black
ENSG00000214535,black
ENSG00000133226,black
ENSG00000131469,black
ENSG00000150093,black
ENSG00000148773,black
ENSG00000105640,black
ENSG00000177697,black
ENSG00000084234,black
ENSG00000132475,black
ENSG00000089597,black
ENSG00000083845,black
ENSG00000124795,black
ENSG00000177600,black
ENSG00000079819,black
ENSG00000122026,black
ENSG00000156467,black
ENSG00000154518,black
