gene_id,WGCNA_Module
ENSG00000198899,chocolate
ENSG00000210082,chocolate
ENSG00000198727,chocolate
ENSG00000198888,chocolate
ENSG00000177469,firebrick
ENSG00000198763,chocolate
ENSG00000135404,firebrick
ENSG00000198886,chocolate
ENSG00000149273,firebrick
ENSG00000196924,firebrick
ENSG00000213741,firebrick
ENSG00000198840,chocolate
ENSG00000125148,navajowhite
ENSG00000080824,chocolate
ENSG00000106211,firebrick
ENSG00000131747,firebrick
ENSG00000108821,firebrick
ENSG00000198938,darksalmon
ENSG00000026025,beige
ENSG00000166441,firebrick
ENSG00000198712,darkolivegreen
ENSG00000228253,firebrick
ENSG00000091986,firebrick
ENSG00000142156,firebrick
ENSG00000069275,firebrick
ENSG00000077549,firebrick
ENSG00000072110,firebrick
ENSG00000088247,firebrick
ENSG00000197956,firebrick
ENSG00000159674,firebrick
ENSG00000137309,firebrick
ENSG00000165119,firebrick
ENSG00000136026,firebrick
ENSG00000198786,firebrick
ENSG00000063177,firebrick
ENSG00000105438,firebrick
ENSG00000158710,firebrick
ENSG00000162576,firebrick
ENSG00000100097,firebrick
ENSG00000106153,firebrick
ENSG00000122565,firebrick
ENSG00000149806,firebrick
ENSG00000160789,firebrick
ENSG00000197061,firebrick
ENSG00000070756,firebrick
ENSG00000044574,firebrick
ENSG00000119335,firebrick
ENSG00000163359,firebrick
ENSG00000167460,navajowhite
ENSG00000138326,wheat
ENSG00000071082,chocolate
ENSG00000147649,firebrick
ENSG00000184840,firebrick
ENSG00000212907,firebrick
ENSG00000172757,firebrick
ENSG00000136830,firebrick
ENSG00000293293,firebrick
ENSG00000229119,firebrick
ENSG00000164587,firebrick
ENSG00000249992,firebrick
ENSG00000065978,firebrick
ENSG00000101335,firebrick
ENSG00000096384,firebrick
ENSG00000112306,navajowhite
ENSG00000009307,firebrick
ENSG00000233762,firebrick
ENSG00000105401,firebrick
ENSG00000109475,chocolate
ENSG00000211459,darksalmon
ENSG00000105221,firebrick
ENSG00000110092,firebrick
ENSG00000166598,firebrick
ENSG00000113739,firebrick
ENSG00000145592,chocolate
ENSG00000185896,firebrick
ENSG00000185088,firebrick
ENSG00000110321,firebrick
ENSG00000125844,firebrick
ENSG00000104904,firebrick
ENSG00000128595,firebrick
ENSG00000187514,navajowhite
ENSG00000142173,firebrick
ENSG00000157227,firebrick
ENSG00000143947,navajowhite
ENSG00000100345,firebrick
ENSG00000236824,firebrick
ENSG00000068697,firebrick
ENSG00000174444,chocolate
ENSG00000138758,firebrick
ENSG00000197043,firebrick
ENSG00000088832,firebrick
ENSG00000075624,darkolivegreen
ENSG00000197746,firebrick
ENSG00000182718,chocolate
ENSG00000140264,firebrick
ENSG00000210049,firebrick
ENSG00000111142,firebrick
ENSG00000067225,firebrick
ENSG00000117362,firebrick
ENSG00000115053,firebrick
ENSG00000084207,firebrick
ENSG00000149257,firebrick
ENSG00000108298,chocolate
ENSG00000125534,firebrick
ENSG00000108518,palegoldenrod
ENSG00000008441,firebrick
ENSG00000229117,firebrick
ENSG00000089597,firebrick
ENSG00000227615,wheat
ENSG00000140545,firebrick
ENSG00000115414,palegoldenrod
ENSG00000034152,firebrick
ENSG00000162734,firebrick
ENSG00000142864,firebrick
ENSG00000153140,firebrick
ENSG00000198242,firebrick
ENSG00000185650,firebrick
ENSG00000213442,firebrick
ENSG00000142541,chocolate
ENSG00000176014,firebrick
ENSG00000125868,firebrick
ENSG00000122406,chocolate
ENSG00000067560,firebrick
ENSG00000099817,firebrick
ENSG00000030582,firebrick
ENSG00000156508,darkolivegreen
ENSG00000197756,firebrick
ENSG00000070614,firebrick
ENSG00000102265,firebrick
ENSG00000100764,firebrick
ENSG00000142871,firebrick
ENSG00000205542,firebrick
ENSG00000108344,firebrick
ENSG00000090621,firebrick
ENSG00000142676,wheat
ENSG00000124145,firebrick
ENSG00000137818,firebrick
ENSG00000185787,firebrick
ENSG00000141753,firebrick
ENSG00000134871,firebrick
ENSG00000184900,firebrick
ENSG00000134294,firebrick
ENSG00000083312,firebrick
ENSG00000115310,firebrick
ENSG00000104332,firebrick
ENSG00000171863,chocolate
ENSG00000103187,firebrick
ENSG00000137154,honeydew
ENSG00000115677,firebrick
ENSG00000109971,chocolate
ENSG00000087086,firebrick
ENSG00000178988,firebrick
ENSG00000048828,firebrick
ENSG00000126457,firebrick
ENSG00000122026,chocolate
ENSG00000189343,wheat
ENSG00000245532,bisque
ENSG00000113719,firebrick
ENSG00000100316,chocolate
ENSG00000092199,firebrick
ENSG00000167601,firebrick
ENSG00000166913,firebrick
ENSG00000100234,firebrick
ENSG00000244398,firebrick
ENSG00000075618,firebrick
ENSG00000146677,firebrick
ENSG00000231500,darkgoldenrod
ENSG00000196531,chocolate
ENSG00000137076,firebrick
ENSG00000167110,firebrick
ENSG00000264229,firebrick
ENSG00000164032,firebrick
ENSG00000006125,firebrick
ENSG00000226396,firebrick
ENSG00000129250,firebrick
ENSG00000101150,firebrick
ENSG00000138674,firebrick
ENSG00000163466,firebrick
ENSG00000175166,firebrick
ENSG00000177954,wheat
ENSG00000130508,firebrick
ENSG00000222041,firebrick
ENSG00000159202,firebrick
ENSG00000251562,firebrick
ENSG00000119681,firebrick
ENSG00000105974,firebrick
ENSG00000116260,firebrick
ENSG00000100243,firebrick
ENSG00000149357,firebrick
ENSG00000008988,chocolate
ENSG00000115461,firebrick
ENSG00000177697,firebrick
ENSG00000179820,firebrick
ENSG00000074695,firebrick
ENSG00000115963,firebrick
ENSG00000160310,firebrick
ENSG00000197958,chocolate
ENSG00000105193,firebrick
ENSG00000157613,firebrick
ENSG00000164692,firebrick
ENSG00000105372,greenyellow
ENSG00000228929,firebrick
ENSG00000240463,firebrick
ENSG00000100401,firebrick
ENSG00000118523,palegoldenrod
ENSG00000114391,wheat
ENSG00000163682,navajowhite
ENSG00000185201,firebrick
ENSG00000071054,firebrick
ENSG00000188846,chocolate
ENSG00000132475,firebrick
ENSG00000107581,navajowhite
ENSG00000198804,firebrick
ENSG00000150991,firebrick
ENSG00000178980,firebrick
ENSG00000167283,navajowhite
ENSG00000117519,firebrick
ENSG00000169715,firebrick
ENSG00000117298,firebrick
ENSG00000175745,firebrick
ENSG00000135046,navajowhite
ENSG00000148303,navajowhite
ENSG00000034510,navajowhite
ENSG00000122641,gold
ENSG00000131116,firebrick
ENSG00000120913,firebrick
ENSG00000210196,antiquewhite
ENSG00000074842,firebrick
ENSG00000129116,firebrick
ENSG00000126247,firebrick
ENSG00000150938,firebrick
ENSG00000147065,firebrick
ENSG00000244245,firebrick
ENSG00000185551,firebrick
ENSG00000198034,firebrick
ENSG00000058668,firebrick
ENSG00000092841,linen
ENSG00000162889,firebrick
ENSG00000050405,firebrick
ENSG00000011465,firebrick
ENSG00000233927,firebrick
ENSG00000168710,firebrick
ENSG00000136942,chocolate
ENSG00000147274,firebrick
ENSG00000124191,firebrick
ENSG00000136238,firebrick
ENSG00000152795,firebrick
ENSG00000124942,chocolate
ENSG00000124762,firebrick
ENSG00000147526,firebrick
ENSG00000169213,firebrick
ENSG00000164111,chocolate
ENSG00000242299,firebrick
ENSG00000136810,chocolate
ENSG00000122786,firebrick
ENSG00000244313,firebrick
ENSG00000134419,navajowhite
ENSG00000115306,firebrick
ENSG00000198467,darkgoldenrod
ENSG00000109180,firebrick
ENSG00000165502,chocolate
ENSG00000013810,firebrick
ENSG00000171530,firebrick
ENSG00000074800,firebrick
ENSG00000141002,firebrick
ENSG00000137575,firebrick
ENSG00000145050,firebrick
ENSG00000125691,wheat
ENSG00000105968,firebrick
ENSG00000130255,wheat
ENSG00000266402,firebrick
ENSG00000140988,greenyellow
ENSG00000087460,wheat
ENSG00000154277,firebrick
ENSG00000140416,firebrick
ENSG00000089280,firebrick
ENSG00000143384,firebrick
ENSG00000142089,firebrick
ENSG00000071626,firebrick
ENSG00000150687,firebrick
ENSG00000127603,firebrick
ENSG00000114353,lawngreen
ENSG00000131469,chocolate
ENSG00000243829,firebrick
ENSG00000049656,firebrick
ENSG00000113140,darksalmon
ENSG00000169976,firebrick
ENSG00000196396,firebrick
ENSG00000288920,cornsilk
ENSG00000161970,chocolate
ENSG00000128656,firebrick
ENSG00000157654,navajowhite
ENSG00000167552,navajowhite
ENSG00000122861,firebrick
ENSG00000110651,firebrick
ENSG00000168028,chocolate
ENSG00000065308,firebrick
ENSG00000114867,firebrick
ENSG00000133112,darkolivegreen
ENSG00000153113,firebrick
ENSG00000212802,firebrick
ENSG00000176340,firebrick
ENSG00000237973,firebrick
ENSG00000143761,firebrick
ENSG00000175137,firebrick
ENSG00000172809,firebrick
ENSG00000039560,firebrick
ENSG00000133639,firebrick
ENSG00000108774,firebrick
ENSG00000011422,firebrick
ENSG00000040275,firebrick
ENSG00000170004,firebrick
ENSG00000175550,firebrick
ENSG00000113732,firebrick
ENSG00000179218,firebrick
ENSG00000108671,firebrick
ENSG00000168374,firebrick
ENSG00000113657,firebrick
ENSG00000101608,firebrick
ENSG00000135111,firebrick
ENSG00000153071,firebrick
ENSG00000229659,wheat
ENSG00000183741,firebrick
ENSG00000144810,firebrick
ENSG00000177606,firebrick
ENSG00000068489,firebrick
ENSG00000185222,firebrick
ENSG00000025800,firebrick
ENSG00000126698,firebrick
ENSG00000139289,firebrick
ENSG00000250321,firebrick
ENSG00000078808,firebrick
ENSG00000167004,firebrick
ENSG00000118680,firebrick
ENSG00000121067,firebrick
ENSG00000084234,firebrick
ENSG00000136149,chocolate
ENSG00000196576,firebrick
ENSG00000196154,firebrick
ENSG00000135862,firebrick
ENSG00000230629,chocolate
ENSG00000100632,firebrick
ENSG00000218426,firebrick
ENSG00000117632,firebrick
ENSG00000114302,firebrick
ENSG00000122359,firebrick
ENSG00000117411,firebrick
ENSG00000140319,firebrick
ENSG00000134590,navajowhite
ENSG00000138071,firebrick
ENSG00000116133,firebrick
ENSG00000198755,firebrick
ENSG00000057019,firebrick
ENSG00000149136,firebrick
ENSG00000063660,firebrick
ENSG00000118900,firebrick
ENSG00000170017,firebrick
ENSG00000130985,firebrick
ENSG00000005884,firebrick
ENSG00000099800,firebrick
ENSG00000197728,wheat
ENSG00000127837,tomato
ENSG00000136938,navajowhite
ENSG00000147604,gold
ENSG00000141756,firebrick
ENSG00000061273,darkgoldenrod
ENSG00000087365,firebrick
ENSG00000149187,bisque
ENSG00000077782,firebrick
ENSG00000118181,chocolate
ENSG00000163191,firebrick
ENSG00000138814,firebrick
ENSG00000140262,firebrick
ENSG00000223551,firebrick
ENSG00000116871,firebrick
ENSG00000100591,firebrick
ENSG00000226532,firebrick
ENSG00000136156,firebrick
ENSG00000165283,firebrick
ENSG00000107949,firebrick
ENSG00000138180,firebrick
ENSG00000141867,firebrick
ENSG00000089220,gold
ENSG00000169223,firebrick
ENSG00000104131,firebrick
ENSG00000114942,chocolate
ENSG00000172301,firebrick
ENSG00000051128,firebrick
ENSG00000093010,firebrick
ENSG00000100106,darkgoldenrod
ENSG00000134363,palegoldenrod
ENSG00000179222,firebrick
ENSG00000100353,firebrick
ENSG00000134825,firebrick
ENSG00000112655,firebrick
ENSG00000185627,firebrick
ENSG00000188612,firebrick
ENSG00000142507,firebrick
ENSG00000135926,firebrick
ENSG00000139644,firebrick
ENSG00000132432,palegoldenrod
ENSG00000179632,firebrick
ENSG00000144713,wheat
ENSG00000090615,firebrick
ENSG00000215030,firebrick
ENSG00000130826,firebrick
ENSG00000161544,firebrick
ENSG00000143933,palegoldenrod
ENSG00000197081,antiquewhite
ENSG00000173915,chocolate
ENSG00000162545,firebrick
ENSG00000117984,firebrick
ENSG00000065548,firebrick
ENSG00000134531,firebrick
ENSG00000147133,firebrick
ENSG00000166681,firebrick
ENSG00000167658,yellowgreen
ENSG00000121068,firebrick
ENSG00000163584,chocolate
ENSG00000106366,tomato
ENSG00000152601,firebrick
ENSG00000047849,firebrick
ENSG00000168214,firebrick
ENSG00000107341,firebrick
ENSG00000049323,firebrick
ENSG00000088325,firebrick
ENSG00000135919,firebrick
ENSG00000091640,firebrick
ENSG00000085063,navajowhite
ENSG00000204628,cornsilk
ENSG00000090863,firebrick
ENSG00000184640,firebrick
ENSG00000136295,firebrick
ENSG00000168137,darkgoldenrod
ENSG00000099901,firebrick
ENSG00000145741,navajowhite
ENSG00000054116,firebrick
ENSG00000147140,firebrick
ENSG00000197879,firebrick
ENSG00000168528,firebrick
ENSG00000164611,firebrick
ENSG00000225475,firebrick
ENSG00000180340,firebrick
ENSG00000103342,firebrick
ENSG00000158195,firebrick
ENSG00000130513,firebrick
ENSG00000143198,firebrick
ENSG00000134369,firebrick
ENSG00000160213,firebrick
ENSG00000164054,firebrick
ENSG00000146674,firebrick
ENSG00000198695,firebrick
ENSG00000105254,firebrick
ENSG00000125746,firebrick
ENSG00000198355,firebrick
ENSG00000136930,chocolate
ENSG00000154734,palegoldenrod
ENSG00000011304,firebrick
ENSG00000107438,firebrick
ENSG00000130635,firebrick
ENSG00000148450,firebrick
ENSG00000070961,firebrick
ENSG00000170955,firebrick
ENSG00000102882,firebrick
ENSG00000168172,firebrick
ENSG00000101849,firebrick
ENSG00000185112,firebrick
ENSG00000140497,firebrick
ENSG00000189159,firebrick
ENSG00000196683,navajowhite
ENSG00000178719,firebrick
ENSG00000221823,firebrick
ENSG00000177600,palegoldenrod
ENSG00000077147,firebrick
ENSG00000161016,firebrick
ENSG00000092201,firebrick
ENSG00000011028,firebrick
ENSG00000102119,firebrick
ENSG00000162614,bisque
ENSG00000174748,darkgoldenrod
ENSG00000265491,firebrick
ENSG00000038427,firebrick
ENSG00000103994,firebrick
ENSG00000135698,firebrick
ENSG00000102900,firebrick
ENSG00000162736,firebrick
ENSG00000143977,honeydew
ENSG00000239524,firebrick
ENSG00000106723,firebrick
ENSG00000124380,firebrick
ENSG00000129245,firebrick
ENSG00000141526,firebrick
ENSG00000172534,firebrick
ENSG00000079785,firebrick
ENSG00000131016,firebrick
ENSG00000169925,firebrick
ENSG00000101161,firebrick
ENSG00000142534,saddlebrown
ENSG00000088888,firebrick
ENSG00000140575,firebrick
ENSG00000104388,firebrick
ENSG00000169908,chocolate
ENSG00000131711,yellowgreen
ENSG00000026508,palegoldenrod
ENSG00000153187,firebrick
ENSG00000123374,firebrick
ENSG00000137801,firebrick
ENSG00000166147,firebrick
ENSG00000187498,firebrick
ENSG00000132688,firebrick
ENSG00000198791,firebrick
ENSG00000106636,firebrick
ENSG00000172216,navajowhite
ENSG00000064393,firebrick
ENSG00000130726,firebrick
ENSG00000131236,palegoldenrod
ENSG00000164292,firebrick
ENSG00000105323,firebrick
ENSG00000133216,firebrick
ENSG00000164919,wheat
ENSG00000100804,firebrick
ENSG00000133226,firebrick
ENSG00000182899,wheat
ENSG00000185641,wheat
ENSG00000266472,firebrick
ENSG00000137970,firebrick
ENSG00000115268,firebrick
ENSG00000165733,firebrick
ENSG00000196141,firebrick
ENSG00000265972,firebrick
ENSG00000146535,chocolate
ENSG00000130164,firebrick
ENSG00000144674,gold
ENSG00000138080,firebrick
ENSG00000180398,chocolate
ENSG00000101160,firebrick
ENSG00000123384,firebrick
ENSG00000125356,wheat
ENSG00000164548,firebrick
ENSG00000186577,firebrick
ENSG00000142937,greenyellow
ENSG00000162704,firebrick
ENSG00000169895,firebrick
ENSG00000117525,firebrick
ENSG00000140374,firebrick
ENSG00000110700,palegoldenrod
ENSG00000146007,firebrick
ENSG00000173457,palegoldenrod
ENSG00000110917,firebrick
ENSG00000159352,firebrick
ENSG00000167863,wheat
ENSG00000129038,firebrick
ENSG00000159167,khaki
ENSG00000205871,wheat
ENSG00000125520,firebrick
ENSG00000143321,firebrick
ENSG00000167088,firebrick
ENSG00000197157,firebrick
ENSG00000203950,firebrick
ENSG00000170855,firebrick
ENSG00000101294,firebrick
ENSG00000113712,firebrick
ENSG00000130309,firebrick
ENSG00000158290,firebrick
ENSG00000247596,firebrick
ENSG00000125755,firebrick
ENSG00000144136,tomato
ENSG00000221983,darkorange
ENSG00000225630,firebrick
ENSG00000154518,firebrick
ENSG00000116288,chocolate
ENSG00000082781,darkgoldenrod
ENSG00000100241,firebrick
ENSG00000163110,firebrick
ENSG00000167526,greenyellow
ENSG00000166949,firebrick
ENSG00000035862,firebrick
ENSG00000110047,firebrick
ENSG00000182004,chocolate
ENSG00000213626,navajowhite
ENSG00000075415,honeydew
ENSG00000159140,antiquewhite
ENSG00000067057,firebrick
ENSG00000099804,firebrick
ENSG00000116754,gold
ENSG00000148516,firebrick
ENSG00000238227,firebrick
ENSG00000127922,chocolate
ENSG00000188042,darkgoldenrod
ENSG00000134318,firebrick
ENSG00000169567,darkorange
ENSG00000084112,firebrick
ENSG00000163931,firebrick
ENSG00000108828,firebrick
ENSG00000169813,firebrick
ENSG00000181104,firebrick
ENSG00000113407,firebrick
ENSG00000120075,firebrick
ENSG00000125753,firebrick
ENSG00000141985,firebrick
ENSG00000125968,tomato
ENSG00000126214,firebrick
ENSG00000182492,firebrick
ENSG00000119383,firebrick
ENSG00000138061,firebrick
ENSG00000189403,firebrick
ENSG00000105176,firebrick
ENSG00000100280,firebrick
ENSG00000160087,firebrick
ENSG00000115241,firebrick
ENSG00000105755,firebrick
ENSG00000144746,firebrick
ENSG00000152104,firebrick
ENSG00000164104,firebrick
ENSG00000180964,firebrick
ENSG00000198258,darkorange
ENSG00000164754,firebrick
ENSG00000072501,firebrick
ENSG00000173473,firebrick
ENSG00000180304,firebrick
ENSG00000138107,firebrick
ENSG00000139112,firebrick
ENSG00000114416,firebrick
ENSG00000168077,firebrick
ENSG00000134352,navajowhite
ENSG00000143549,navajowhite
ENSG00000174099,firebrick
ENSG00000124831,firebrick
ENSG00000158417,greenyellow
ENSG00000165655,firebrick
ENSG00000109113,firebrick
ENSG00000214753,firebrick
ENSG00000105185,wheat
ENSG00000116539,navajowhite
ENSG00000175063,firebrick
ENSG00000177156,firebrick
ENSG00000101182,firebrick
ENSG00000116005,firebrick
ENSG00000011405,firebrick
ENSG00000123983,firebrick
ENSG00000204120,firebrick
ENSG00000164932,firebrick
ENSG00000173120,firebrick
ENSG00000170759,darkorange
ENSG00000197747,gold
ENSG00000088986,honeydew
ENSG00000135631,firebrick
ENSG00000145425,chocolate
ENSG00000164733,firebrick
ENSG00000111639,chocolate
ENSG00000115541,gold
ENSG00000128228,firebrick
ENSG00000168785,firebrick
ENSG00000105887,firebrick
ENSG00000186468,wheat
ENSG00000240682,firebrick
ENSG00000077380,chartreuse
ENSG00000129128,firebrick
ENSG00000167470,firebrick
ENSG00000164896,firebrick
ENSG00000184897,firebrick
ENSG00000176619,firebrick
ENSG00000135318,lawngreen
ENSG00000197301,darkgoldenrod
ENSG00000105640,firebrick
ENSG00000100300,firebrick
ENSG00000153904,firebrick
ENSG00000135390,navajowhite
ENSG00000169710,firebrick
ENSG00000164040,firebrick
ENSG00000008838,navajowhite
ENSG00000198682,firebrick
ENSG00000220842,firebrick
ENSG00000163565,firebrick
ENSG00000116649,firebrick
ENSG00000168439,firebrick
ENSG00000235776,firebrick
ENSG00000170515,firebrick
ENSG00000123933,firebrick
ENSG00000166963,yellowgreen
ENSG00000173210,firebrick
ENSG00000079819,navajowhite
ENSG00000100650,firebrick
ENSG00000157933,firebrick
ENSG00000134013,darksalmon
ENSG00000184007,firebrick
ENSG00000132535,firebrick
ENSG00000125952,firebrick
ENSG00000065427,firebrick
ENSG00000119396,firebrick
ENSG00000117523,yellowgreen
ENSG00000113368,firebrick
ENSG00000110880,palegoldenrod
ENSG00000163468,tomato
ENSG00000226360,firebrick
ENSG00000122566,bisque
ENSG00000136240,palegoldenrod
ENSG00000105220,firebrick
ENSG00000230734,firebrick
ENSG00000106244,firebrick
ENSG00000205531,firebrick
ENSG00000165915,firebrick
ENSG00000114850,wheat
ENSG00000175348,firebrick
ENSG00000105576,firebrick
ENSG00000113758,firebrick
ENSG00000160746,firebrick
ENSG00000120708,firebrick
ENSG00000162385,firebrick
ENSG00000005893,firebrick
ENSG00000024422,firebrick
ENSG00000090857,firebrick
ENSG00000162783,firebrick
ENSG00000087274,firebrick
ENSG00000144028,firebrick
ENSG00000260032,firebrick
ENSG00000116786,firebrick
ENSG00000110395,firebrick
ENSG00000162244,chocolate
ENSG00000123562,firebrick
ENSG00000147872,firebrick
ENSG00000106261,wheat
ENSG00000172667,firebrick
ENSG00000006327,firebrick
ENSG00000069849,wheat
ENSG00000152952,firebrick
ENSG00000197712,firebrick
ENSG00000135250,firebrick
ENSG00000111540,firebrick
ENSG00000049449,greenyellow
ENSG00000129351,firebrick
ENSG00000136485,firebrick
ENSG00000181163,goldenrod
ENSG00000110237,firebrick
ENSG00000154978,firebrick
ENSG00000234742,wheat
ENSG00000156467,firebrick
ENSG00000125817,firebrick
ENSG00000135723,firebrick
ENSG00000116489,firebrick
ENSG00000058262,firebrick
ENSG00000102181,firebrick
ENSG00000134308,chocolate
ENSG00000111186,firebrick
ENSG00000042753,firebrick
ENSG00000145907,firebrick
ENSG00000127022,firebrick
ENSG00000087074,firebrick
ENSG00000114861,firebrick
ENSG00000175573,firebrick
ENSG00000283041,yellowgreen
ENSG00000084623,wheat
ENSG00000177700,darksalmon
ENSG00000073712,firebrick
ENSG00000172717,firebrick
ENSG00000214357,firebrick
ENSG00000124155,firebrick
ENSG00000100664,firebrick
ENSG00000241685,chocolate
ENSG00000013364,firebrick
ENSG00000204574,darkgoldenrod
ENSG00000105698,firebrick
ENSG00000070087,palegoldenrod
ENSG00000126391,firebrick
ENSG00000135090,firebrick
ENSG00000160551,firebrick
ENSG00000182287,firebrick
ENSG00000151914,firebrick
ENSG00000183779,firebrick
ENSG00000065054,firebrick
ENSG00000150093,firebrick
ENSG00000085224,firebrick
ENSG00000134668,firebrick
ENSG00000079805,firebrick
ENSG00000162733,firebrick
ENSG00000111716,firebrick
ENSG00000168092,firebrick
ENSG00000142168,chocolate
ENSG00000105559,firebrick
ENSG00000072778,firebrick
ENSG00000151327,firebrick
ENSG00000293057,firebrick
ENSG00000005007,firebrick
ENSG00000013297,palegoldenrod
ENSG00000113643,firebrick
ENSG00000159199,firebrick
ENSG00000078269,darkgoldenrod
ENSG00000091409,lawngreen
ENSG00000103363,darksalmon
ENSG00000113721,firebrick
ENSG00000147403,darkolivegreen
ENSG00000122862,firebrick
ENSG00000108654,navajowhite
ENSG00000112695,darkolivegreen
ENSG00000109685,firebrick
ENSG00000144381,palegoldenrod
ENSG00000134853,firebrick
ENSG00000162613,firebrick
ENSG00000187555,firebrick
ENSG00000127445,firebrick
ENSG00000198900,yellowgreen
ENSG00000100216,firebrick
ENSG00000102225,firebrick
ENSG00000178209,firebrick
ENSG00000102898,firebrick
ENSG00000102316,firebrick
ENSG00000090054,navajowhite
ENSG00000172500,firebrick
ENSG00000253626,firebrick
ENSG00000107957,firebrick
ENSG00000164902,firebrick
ENSG00000079246,chocolate
ENSG00000157954,firebrick
ENSG00000103591,darkgoldenrod
ENSG00000159335,firebrick
ENSG00000074071,firebrick
ENSG00000133059,navajowhite
ENSG00000160209,firebrick
ENSG00000198168,firebrick
ENSG00000125977,firebrick
ENSG00000130816,lightyellow
ENSG00000177479,firebrick
ENSG00000131467,firebrick
ENSG00000145012,firebrick
ENSG00000188486,firebrick
ENSG00000214063,firebrick
ENSG00000179010,navajowhite
ENSG00000253729,firebrick
ENSG00000112081,firebrick
ENSG00000125304,firebrick
ENSG00000126453,firebrick
ENSG00000159377,palegoldenrod
ENSG00000106333,firebrick
ENSG00000174851,firebrick
ENSG00000185728,firebrick
ENSG00000126777,firebrick
ENSG00000196821,darkgoldenrod
ENSG00000143870,firebrick
ENSG00000104805,firebrick
ENSG00000117395,wheat
ENSG00000172336,firebrick
ENSG00000172354,firebrick
ENSG00000186432,firebrick
ENSG00000100258,firebrick
ENSG00000149480,firebrick
ENSG00000106829,firebrick
ENSG00000110090,firebrick
ENSG00000198176,firebrick
ENSG00000115993,firebrick
ENSG00000132780,firebrick
ENSG00000022277,firebrick
ENSG00000106803,honeydew
ENSG00000114439,firebrick
ENSG00000135931,firebrick
ENSG00000178951,firebrick
ENSG00000105894,firebrick
ENSG00000167522,firebrick
ENSG00000171223,firebrick
ENSG00000239559,wheat
ENSG00000087586,firebrick
ENSG00000178741,chocolate
ENSG00000107223,firebrick
ENSG00000154370,firebrick
ENSG00000173821,firebrick
ENSG00000213553,firebrick
ENSG00000183258,firebrick
ENSG00000131143,lightsalmon
ENSG00000099783,firebrick
ENSG00000137710,firebrick
ENSG00000167515,firebrick
ENSG00000157778,firebrick
ENSG00000047410,navajowhite
ENSG00000136450,firebrick
ENSG00000168385,firebrick
ENSG00000198700,firebrick
ENSG00000227081,wheat
ENSG00000122490,firebrick
ENSG00000182158,firebrick
ENSG00000142634,firebrick
ENSG00000139168,firebrick
ENSG00000166347,firebrick
ENSG00000134910,firebrick
ENSG00000186660,firebrick
ENSG00000153250,firebrick
ENSG00000196535,wheat
ENSG00000124172,darkgoldenrod
ENSG00000067182,firebrick
ENSG00000071127,lightsalmon
ENSG00000148926,greenyellow
ENSG00000209082,firebrick
ENSG00000126267,darksalmon
ENSG00000128591,firebrick
ENSG00000145555,chartreuse
ENSG00000166311,firebrick
ENSG00000126950,firebrick
ENSG00000130522,firebrick
ENSG00000146648,firebrick
ENSG00000163430,darksalmon
ENSG00000175416,firebrick
ENSG00000229994,firebrick
ENSG00000119655,firebrick
ENSG00000044115,darkolivegreen
ENSG00000097007,firebrick
ENSG00000105393,firebrick
ENSG00000111328,peachpuff
ENSG00000148634,firebrick
ENSG00000072958,firebrick
ENSG00000213593,firebrick
ENSG00000119318,firebrick
ENSG00000197632,chocolate
ENSG00000164346,antiquewhite
ENSG00000106144,firebrick
ENSG00000130176,firebrick
ENSG00000231007,firebrick
ENSG00000196923,firebrick
ENSG00000197858,firebrick
ENSG00000204842,firebrick
ENSG00000225921,chocolate
ENSG00000259956,firebrick
ENSG00000072952,firebrick
ENSG00000112378,navajowhite
ENSG00000211456,firebrick
ENSG00000170043,firebrick
ENSG00000184990,firebrick
ENSG00000125821,firebrick
ENSG00000154001,firebrick
ENSG00000214535,wheat
