gene_id,WGCNA_Module
ENSG00000210082,bisque
ENSG00000198899,bisque
ENSG00000198886,bisque
ENSG00000198727,bisque
ENSG00000198938,burlywood
ENSG00000198888,bisque
ENSG00000125148,burlywood
ENSG00000198763,bisque
ENSG00000228253,firebrick
ENSG00000198840,bisque
ENSG00000080824,bisque
ENSG00000198712,burlywood
ENSG00000177469,chocolate
ENSG00000108821,chocolate
ENSG00000135404,chocolate
ENSG00000138326,bisque
ENSG00000026025,navajowhite
ENSG00000213741,chocolate
ENSG00000137309,chocolate
ENSG00000197756,firebrick
ENSG00000072110,chocolate
ENSG00000142156,chocolate
ENSG00000165119,chocolate
ENSG00000159674,chocolate
ENSG00000196924,chocolate
ENSG00000106153,bisque
ENSG00000105438,chocolate
ENSG00000198786,chocolate
ENSG00000149273,chocolate
ENSG00000177954,bisque
ENSG00000110321,chocolate
ENSG00000131747,chocolate
ENSG00000071082,bisque
ENSG00000075624,bisque
ENSG00000145592,bisque
ENSG00000164587,chocolate
ENSG00000044574,bisque
ENSG00000293293,chocolate
ENSG00000101335,chocolate
ENSG00000136830,chocolate
ENSG00000063177,chocolate
ENSG00000143947,bisque
ENSG00000162576,chocolate
ENSG00000185896,chocolate
ENSG00000088247,chocolate
ENSG00000077549,chocolate
ENSG00000113739,chocolate
ENSG00000197956,chocolate
ENSG00000182718,tomato
ENSG00000109475,chocolate
ENSG00000167460,chocolate
ENSG00000149806,chocolate
ENSG00000104904,chocolate
ENSG00000106211,chocolate
ENSG00000034152,chocolate
ENSG00000205542,orange
ENSG00000108298,bisque
ENSG00000122406,bisque
ENSG00000100097,chocolate
ENSG00000166441,chocolate
ENSG00000105221,chocolate
ENSG00000108518,chocolate
ENSG00000105401,chocolate
ENSG00000227615,bisque
ENSG00000172809,chocolate
ENSG00000167658,firebrick
ENSG00000158710,chocolate
ENSG00000065978,chocolate
ENSG00000112306,bisque
ENSG00000157227,chocolate
ENSG00000245532,chocolate
ENSG00000211459,darkkhaki
ENSG00000074800,chocolate
ENSG00000166598,chocolate
ENSG00000088832,chocolate
ENSG00000136810,tomato
ENSG00000122565,bisque
ENSG00000198467,chocolate
ENSG00000102265,gold
ENSG00000172757,bisque
ENSG00000167526,bisque
ENSG00000140988,bisque
ENSG00000156508,bisque
ENSG00000174444,bisque
ENSG00000087086,gold
ENSG00000213442,chocolate
ENSG00000184840,chocolate
ENSG00000164032,chocolate
ENSG00000089157,burlywood
ENSG00000249992,chocolate
ENSG00000131469,bisque
ENSG00000125691,bisque
ENSG00000160789,chocolate
ENSG00000140264,chocolate
ENSG00000100345,chocolate
ENSG00000163359,chocolate
ENSG00000185787,chocolate
ENSG00000248527,bisque
ENSG00000142541,bisque
ENSG00000197746,chocolate
ENSG00000142676,bisque
ENSG00000117362,chocolate
ENSG00000229119,chocolate
ENSG00000198804,chocolate
ENSG00000171863,bisque
ENSG00000149257,chocolate
ENSG00000237973,bisque
ENSG00000067560,chocolate
ENSG00000133112,orange
ENSG00000034510,burlywood
ENSG00000197958,chocolate
ENSG00000129250,bisque
ENSG00000197061,chocolate
ENSG00000134294,chocolate
ENSG00000147649,chocolate
ENSG00000230629,bisque
ENSG00000136026,chocolate
ENSG00000176014,chocolate
ENSG00000113719,chocolate
ENSG00000070614,chocolate
ENSG00000137818,gold
ENSG00000140545,chocolate
ENSG00000089597,chocolate
ENSG00000119681,chocolate
ENSG00000169715,chocolate
ENSG00000122026,chocolate
ENSG00000009307,chocolate
ENSG00000125844,chocolate
ENSG00000142871,chocolate
ENSG00000103187,chocolate
ENSG00000198034,tomato
ENSG00000162889,chocolate
ENSG00000136942,bisque
