gene_id,MB1,MB100,MA1,MC1,MD1,MC100,CTR,MA100
ENSG00000000003,997,900,857,968,977,1066,1013,944
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,2059,2046,1950,2070,2420,2413,1956,2154
ENSG00000000457,92,106,94,76,127,176,173,68
ENSG00000000460,111,45,45,92,30,66,71,32
ENSG00000000938,0,0,0,0,0,0,0,0
ENSG00000000971,18,2,3,15,3,7,0,0
ENSG00000001036,2882,2945,3548,3439,3475,4020,2893,3048
ENSG00000001084,655,678,634,645,761,757,706,783
ENSG00000001167,885,711,762,910,881,998,719,1027
ENSG00000001460,436,396,348,431,377,538,454,386
ENSG00000001461,5421,5687,6279,6601,5994,6337,5223,5708
ENSG00000001497,1256,1353,1442,1928,1618,1531,1456,1530
ENSG00000001561,72,81,52,65,66,122,43,34
ENSG00000001617,256,270,227,366,444,188,234,273
ENSG00000001626,1,6,8,4,26,2,10,11
ENSG00000001629,1878,1592,1854,2511,2018,2187,1552,2300
ENSG00000001630,2,0,4,11,0,0,0,3
ENSG00000001631,670,774,587,654,921,615,577,629
ENSG00000002016,286,211,170,213,257,224,136,129
ENSG00000002079,0,0,0,0,0,0,0,0
ENSG00000002330,449,456,356,744,646,550,554,809
ENSG00000002549,964,966,784,1014,1006,1517,1060,955
ENSG00000002586,13,23,21,29,24,18,13,18
ENSG00000002587,0,0,0,0,0,0,0,0
ENSG00000002726,0,0,0,0,0,0,0,0
ENSG00000002745,334,326,369,403,475,506,357,357
ENSG00000002746,101,68,63,6,99,115,108,74
ENSG00000002822,0,0,1,0,7,0,0,0
ENSG00000002834,935,958,979,1298,1152,1355,991,881
ENSG00000002919,851,660,729,898,626,805,637,710
ENSG00000002933,0,0,0,7,18,0,8,12
ENSG00000003056,335,335,411,441,387,491,339,607
ENSG00000003096,113,203,144,141,216,255,151,143
ENSG00000003137,0,17,3,6,9,0,0,0
ENSG00000003147,16,0,1,2,1,1,0,0
ENSG00000003249,186,81,148,174,86,129,128,65
ENSG00000003393,1043,1100,992,1305,1302,1085,927,1083
ENSG00000003400,105,160,204,242,137,217,123,188
ENSG00000003402,4423,4408,4414,5237,5490,3757,3643,5108
ENSG00000003436,6342,6470,6538,8720,7619,7949,6554,7380
ENSG00000003509,322,306,320,392,360,417,389,359
ENSG00000003756,2250,2745,2577,2887,2556,2816,1726,2363
ENSG00000003987,42,57,38,60,60,69,34,62
ENSG00000003989,11,17,12,0,24,11,6,10
ENSG00000004059,42,26,23,9,18,25,27,11
ENSG00000004139,8,17,20,1,12,15,5,6
ENSG00000004142,3315,3321,3809,4046,3897,4690,3742,3340
ENSG00000004399,2450,2287,1598,3056,2764,2024,1652,2630
ENSG00000004455,5183,4558,4373,4705,4697,5279,5240,4473
ENSG00000004468,0,0,0,0,0,0,0,0
ENSG00000004478,680,831,815,792,610,1323,1250,779
ENSG00000004487,925,995,1076,1073,1105,1387,881,1085
ENSG00000004534,1878,1599,1785,2112,2189,1807,1414,2200
ENSG00000004660,114,82,73,134,114,133,125,69
ENSG00000004700,141,176,425,309,489,323,208,454
ENSG00000004766,514,580,572,468,530,641,542,379
ENSG00000004776,24,22,15,18,24,31,28,42
