gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000117984,3034.2008674790836,-0.8249524056229223,0.1306266304591019,-6.315346286768133,2.6955719721282504e-10,2.2003954008482908e-06,MB100_vs_MB1,True,up_in_MB1
ENSG00000242259,322.2898557878064,-0.8952683869994532,0.16479770745985514,-5.432529376766611,5.556080311955952e-08,0.00022677141793248217,MB100_vs_MB1,True,up_in_MB1
ENSG00000114315,507.36616844999145,1.272949739627743,0.2409952261612643,5.282053756433898,1.2774370089699794e-07,0.0003475906101407314,MB100_vs_MB1,True,up_in_MB100
ENSG00000120738,1693.2720787748374,0.5966168129975788,0.12022935922061469,4.962322155463024,6.965533648587337e-07,0.0014214912793354608,MB100_vs_MB1,True,up_in_MB100
ENSG00000182944,2193.8751662953405,0.47266820642735285,0.10235534307560086,4.617914338660705,3.8761618908320564e-06,0.006328221902972415,MB100_vs_MB1,True,up_in_MB100
ENSG00000174307,1240.8314558154423,-0.5970406786841185,0.13417295892826883,-4.449783946430716,8.595671692017395e-06,0.011694411336989667,MB100_vs_MB1,True,up_in_MB1
ENSG00000126950,1030.5756282938896,-0.6724217108051819,0.15933872492764223,-4.220077141388807,2.4421873667014634e-05,0.026696129397132073,MB100_vs_MB1,True,up_in_MB1
ENSG00000133302,286.0586793352364,0.9006124962469454,0.21420075109272457,4.204525388695218,2.616305710854546e-05,0.026696129397132073,MB100_vs_MB1,True,up_in_MB100
ENSG00000198964,244.0751089840331,0.960588537650332,0.23446690927567534,4.09690450826439,4.187115203753983e-05,0.037977134898048624,MB100_vs_MB1,True,up_in_MB100
ENSG00000092470,451.83744844490315,0.8136935591978579,0.2003096779583087,4.0621779611028845,4.8616990923158344e-05,0.039686049690574154,MB100_vs_MB1,True,up_in_MB100
ENSG00000163482,668.734784938879,-0.7259248356087368,0.18111446809074924,-4.008099646931601,6.12092947694378e-05,0.04255606194510849,MB100_vs_MB1,True,up_in_MB1
ENSG00000164134,1104.7728514404432,0.5653428723542601,0.14176920649632377,3.987769180106965,6.66975080637563e-05,0.04255606194510849,MB100_vs_MB1,True,up_in_MB100
ENSG00000177051,242.85675424750227,-0.8838990635665455,0.22217665095385586,-3.9783616314845056,6.939177494793514e-05,0.04255606194510849,MB100_vs_MB1,True,up_in_MB1
ENSG00000178999,1937.6173736329947,-0.4775831675375047,0.1211335828786091,-3.9426157155452284,8.059774156369492e-05,0.04255606194510849,MB100_vs_MB1,True,up_in_MB1
ENSG00000159674,16014.627214830864,-0.5783404217015214,0.1467531827244095,-3.940905477924779,8.117461044364034e-05,0.04255606194510849,MB100_vs_MB1,True,up_in_MB1
ENSG00000198355,2235.15804112669,-0.5760983523821733,0.14642681093680915,-3.9343775139020813,8.341259232166309e-05,0.04255606194510849,MB100_vs_MB1,True,up_in_MB1
ENSG00000136560,357.1223818651156,0.8262130353307112,0.2128076067379009,3.882441271698975,0.00010341299688995708,0.049656487859571746,MB100_vs_MB1,True,up_in_MB100
ENSG00000104976,1309.5229280546337,-0.583232825016885,0.1530249993229251,-3.8113564946738037,0.00013820628133729942,0.06267654858646529,MB100_vs_MB1,False,up_in_MB1
ENSG00000167515,1866.122642962191,-0.49635611252104045,0.1307429463834021,-3.796427465122916,0.0001467962880653373,0.0630683210251236,MB100_vs_MB1,False,up_in_MB1
ENSG00000129810,216.92424307021,0.9425052868121063,0.25093553068107327,3.7559658620444,0.00017267423185334107,0.07047698773094116,MB100_vs_MB1,False,up_in_MB100
ENSG00000071575,400.33360258857914,-0.7403714056638795,0.19823430169842257,-3.7348299427523894,0.00018784207513100552,0.07301689806163801,MB100_vs_MB1,False,up_in_MB1
