gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000185112,1161.6775496484256,1.476934069948578,0.1884630184407262,7.836731482750239,4.624254590396899e-15,4.102176247141089e-11,MA100_vs_CTR,True,up_in_MA100
ENSG00000135046,4815.356288677479,-0.9701545331743894,0.1366943221375026,-7.097255526081751,1.272586418446744e-12,5.1420061278951815e-09,MA100_vs_CTR,True,up_in_CTR
ENSG00000040275,2053.584630920412,1.2147089803914008,0.17220234703482462,7.053962976159374,1.7389266580639774e-12,5.1420061278951815e-09,MA100_vs_CTR,True,up_in_MA100
ENSG00000214357,1332.745787913101,1.3135363499823478,0.19671853853299429,6.677237233348178,2.4348863619966206e-11,5.3999692293180055e-08,MA100_vs_CTR,True,up_in_MA100
ENSG00000147133,1810.4761484837784,1.2812419446841476,0.1929406086670317,6.640602792412964,3.124028754607286e-11,5.542651816424248e-08,MA100_vs_CTR,True,up_in_MA100
ENSG00000131747,19915.80713610476,1.038222664566741,0.1572110056741007,6.604007525522624,4.001891976517753e-11,5.916797287281498e-08,MA100_vs_CTR,True,up_in_MA100
ENSG00000159202,2393.4921894892345,1.2680027019769624,0.19434742374421377,6.524412197229932,6.826872728731522e-11,8.65159828236819e-08,MA100_vs_CTR,True,up_in_MA100
ENSG00000084623,2680.196103420813,-0.8190878251508023,0.12875028019639875,-6.361833340489404,1.9935969266699874e-10,1.973660648278389e-07,MA100_vs_CTR,True,up_in_CTR
ENSG00000178741,2251.551244499593,-0.8764463046880435,0.13808063607566215,-6.34735129846729,2.190535390935372e-10,1.973660648278389e-07,MA100_vs_CTR,True,up_in_CTR
ENSG00000180035,124.08641272993388,-1.7591975957088908,0.27725909232966717,-6.344959081151308,2.2248457313475244e-10,1.973660648278389e-07,MA100_vs_CTR,True,up_in_CTR
ENSG00000124145,4596.413424286838,0.7370685386250809,0.11825119404333913,6.2330748081490395,4.5736761950672846e-10,3.688461956949262e-07,MA100_vs_CTR,True,up_in_MA100
ENSG00000105849,728.2840025240362,-0.9412456632649335,0.15216791187965328,-6.185572579909928,6.187745671832514e-10,4.574290987902186e-07,MA100_vs_CTR,True,up_in_CTR
ENSG00000089597,4782.589328160444,1.133050217646513,0.18375663275124016,6.166037114863632,7.00226557343153e-10,4.778238300147007e-07,MA100_vs_CTR,True,up_in_MA100
ENSG00000196396,3192.7096209888164,0.9550660174269292,0.1575979700167528,6.060141620640195,1.3600174996092774e-09,8.61765374216707e-07,MA100_vs_CTR,True,up_in_MA100
ENSG00000197958,5865.852436328154,-1.0370119893385996,0.17396712175171067,-5.960965376082061,2.507520993714225e-09,1.4829479156825926e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000072110,21271.977211499157,0.6104410582876615,0.10267551480610908,5.945342075376096,2.7588011595611445e-09,1.529582817904182e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000177469,37010.12370449971,0.8319212401742514,0.14076466565306855,5.910014678148146,3.420772485177947e-09,1.78503957153021e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000129084,1772.361118555287,-0.7594436268725372,0.12995577130764313,-5.84386225583405,5.100420732948141e-09,2.5136573512212752e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000107949,1416.0376483098114,1.2678844549149524,0.21869587337588986,5.797477727143664,6.7319718208050834e-09,3.143122211703258e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000119681,5298.756043026825,0.5348607479526981,0.09283288159239357,5.761544172474798,8.334784321311174e-09,3.696893585717571e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000162604,1167.8365327586332,0.6727246768154951,0.11726152990418036,5.736959746007138,9.639115487318482e-09,3.889106207335711e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000122565,10607.247831257295,0.9214035638062349,0.16061120644544977,5.736857247997709,9.644948321653213e-09,3.889106207335711e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000136104,280.2221014742261,-1.3178441776138086,0.23178604598295502,-5.6856061892126135,1.3034945864652666e-08,5.0154224048266625e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000183023,519.3693217867298,0.929319608454168,0.16364887074856024,5.678741345438487,1.3568948000883767e-08,5.0154224048266625e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000123136,1051.1636992078504,-0.8620555385013646,0.15264708064658947,-5.647376516143188,1.6291477276545802e-08,5.682657412085068e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000100234,5268.974729121822,0.5433721220310473,0.09628150996699625,5.643577071208237,1.6655291704904947e-08,5.682657412085068e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000134419,4715.482206051732,-0.9415059060916665,0.16702669519677693,-5.636858856498733,1.7317993786246598e-08,5.68992306954791e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000205730,886.8197443853627,1.197466939989946,0.2130928801331689,5.619460111673411,1.9155509624622175e-08,6.068875924286546e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000148296,125.32604362624113,2.348818060819621,0.4202637168733591,5.588914689790854,2.2849316405861938e-08,6.989527097806939e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000108298,12971.711607578027,-0.8384659301227946,0.15023590337399445,-5.580995696052316,2.3914556254648018e-08,7.03948580636583e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000167863,2715.4211783640603,-1.0759135707090044,0.19295156084031617,-5.5760811989461665,2.4599713673468686e-08,7.03948580636583e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000070614,4072.7930544885858,0.9132202555317018,0.1642703020330506,5.559253524401296,2.709309069716802e-08,7.510712736705547e-06,MA100_vs_CTR,True,up_in_MA100
