sample_id,library_size,detected_genes_gt0,p1,p50,p75,p83,p90,p95,p99,particle_type,particle_size_um,particle_size_nm,concentration_gL,is_control,treatment_status,group,replicate
CTR_1,12296095,12932,0.0,40.0,393.25,676.0,1196.5,2221.25,9002.59999999986,control,,,0.0,True,control,CTR,1
CTR_2,11754798,12497,0.0,39.0,373.25,646.0,1149.0,2138.25,8808.199999999924,control,,,0.0,True,control,CTR,2
CTR_3,11121292,12619,0.0,34.0,364.25,617.4499999999989,1115.5,2021.0,8076.699999999997,control,,,0.0,True,control,CTR,3
MA1_1,10498190,12762,0.0,33.0,339.0,574.4499999999989,1032.0,1916.75,7647.799999999901,polystyrene,1.0,1000.0,0.1,False,treated,MA1,1
MA1_2,11004638,12486,0.0,36.0,356.0,603.4499999999989,1097.0,2022.5,8021.099999999991,polystyrene,1.0,1000.0,0.1,False,treated,MA1,2
MA1_3,13628716,13762,0.0,51.0,477.25,807.4499999999989,1422.0,2604.5,9615.099999999962,polystyrene,1.0,1000.0,0.1,False,treated,MA1,3
MB1_1,8691940,12452,0.0,29.0,287.0,486.0,883.5,1644.0,6603.449999999975,polystyrene,1.0,1000.0,0.01,False,treated,MB1,1
MB1_2,12385615,12560,0.0,40.0,384.25,659.0,1195.5,2226.0,8883.249999999993,polystyrene,1.0,1000.0,0.01,False,treated,MB1,2
MB1_3,14661097,12032,0.0,49.0,483.0,822.0,1477.5,2712.25,10828.199999999866,polystyrene,1.0,1000.0,0.01,False,treated,MB1,3
MC1_1,13128449,12430,0.0,43.0,435.25,748.0,1335.0,2485.5,9691.749999999978,polystyrene,1.0,1000.0,0.001,False,treated,MC1,1
MC1_2,14328714,12243,0.0,46.0,477.0,832.0,1471.5,2722.25,10930.299999999828,polystyrene,1.0,1000.0,0.001,False,treated,MC1,2
MC1_3,14309099,12133,0.0,45.0,477.0,824.4499999999989,1486.5,2717.5,10430.299999999945,polystyrene,1.0,1000.0,0.001,False,treated,MC1,3
MD1_1,11866381,12682,0.0,42.0,410.0,707.0,1254.0,2288.5,8813.84999999994,polystyrene,1.0,1000.0,0.05,False,treated,MD1,1
MD1_2,12459419,12591,0.0,43.0,422.0,714.4499999999989,1283.0,2390.25,9051.699999999968,polystyrene,1.0,1000.0,0.05,False,treated,MD1,2
MD1_3,13040275,12696,0.0,46.0,442.0,748.0,1344.5,2454.0,9510.249999999993,polystyrene,1.0,1000.0,0.05,False,treated,MD1,3
MA100_1,12452825,12168,0.0,43.0,421.0,734.0,1317.5,2412.0,9214.699999999997,polystyrene,0.1,100.0,0.1,False,treated,MA100,1
MA100_2,10570922,12349,0.0,34.0,348.0,601.0,1083.0,2001.25,7817.549999999937,polystyrene,0.1,100.0,0.1,False,treated,MA100,2
MA100_3,13912137,12341,0.0,48.5,481.0,803.0,1466.5,2681.0,10167.349999999926,polystyrene,0.1,100.0,0.1,False,treated,MA100,3
MB100_1,12860790,12611,0.0,45.0,433.0,742.0,1330.0,2456.75,9284.549999999996,polystyrene,0.1,100.0,0.01,False,treated,MB100,1
MB100_2,11324057,12630,0.0,37.0,365.0,623.4499999999989,1122.5,2064.25,8158.449999999975,polystyrene,0.1,100.0,0.01,False,treated,MB100,2
MB100_3,10473680,12691,0.0,36.0,341.0,573.0,1035.5,1876.0,7580.349999999955,polystyrene,0.1,100.0,0.01,False,treated,MB100,3
MC100_1,12295588,13060,0.0,44.0,411.0,689.4499999999989,1223.5,2247.25,8823.599999999977,polystyrene,0.1,100.0,0.001,False,treated,MC100,1
MC100_2,13609722,12894,0.0,48.0,450.0,751.0,1344.0,2461.25,9915.149999999885,polystyrene,0.1,100.0,0.001,False,treated,MC100,2
MC100_3,13958927,13135,0.0,45.0,455.0,763.4499999999989,1373.5,2542.25,10205.049999999981,polystyrene,0.1,100.0,0.001,False,treated,MC100,3
