query,_id,_score,type_of_gene,notfound
ENSG00000000003,7105,32.70537,protein-coding,
ENSG00000000005,64102,32.70537,protein-coding,
ENSG00000000419,8813,32.70537,protein-coding,
ENSG00000000457,57147,32.70537,protein-coding,
ENSG00000000460,55732,32.70537,protein-coding,
ENSG00000000938,2268,32.70537,protein-coding,
ENSG00000000971,3075,32.70537,protein-coding,
ENSG00000001036,2519,32.70537,protein-coding,
ENSG00000001084,2729,32.70537,protein-coding,
ENSG00000001167,4800,32.70537,protein-coding,
ENSG00000001460,90529,32.70537,protein-coding,
ENSG00000001461,57185,32.70537,protein-coding,
ENSG00000001497,81887,32.70537,protein-coding,
ENSG00000001561,22875,32.70537,protein-coding,
ENSG00000001617,6405,32.70537,protein-coding,
ENSG00000001626,1080,32.70537,protein-coding,
ENSG00000001629,54467,32.70537,protein-coding,
ENSG00000001630,1595,32.70537,protein-coding,
ENSG00000001631,889,32.70537,protein-coding,
ENSG00000002016,5893,32.70537,protein-coding,
ENSG00000002079,,,,True
ENSG00000002330,572,32.70537,protein-coding,
ENSG00000002549,51056,32.70537,protein-coding,
ENSG00000002586,4267,32.70537,protein-coding,
ENSG00000002587,9957,32.70537,protein-coding,
ENSG00000002726,26,32.70537,protein-coding,
ENSG00000002745,51384,32.70537,protein-coding,
ENSG00000002746,23072,32.70537,protein-coding,
ENSG00000002822,8379,32.70537,protein-coding,
ENSG00000002834,3927,32.70537,protein-coding,
ENSG00000002919,29916,32.70537,protein-coding,
ENSG00000002933,55365,32.70537,protein-coding,
ENSG00000003056,4074,32.70537,protein-coding,
ENSG00000003096,90293,32.70537,protein-coding,
ENSG00000003137,56603,32.70537,protein-coding,
ENSG00000003147,3382,32.70537,protein-coding,
ENSG00000003249,79007,32.70537,protein-coding,
ENSG00000003393,57679,32.70537,protein-coding,
ENSG00000003400,843,32.70537,protein-coding,
ENSG00000003402,8837,32.70537,protein-coding,
ENSG00000003436,7035,32.70537,protein-coding,
ENSG00000003509,55471,32.70537,protein-coding,
ENSG00000003756,10181,32.70537,protein-coding,
ENSG00000003987,9108,32.70537,protein-coding,
ENSG00000003989,6542,32.70537,protein-coding,
ENSG00000004059,381,32.70537,protein-coding,
ENSG00000004139,23098,32.70537,protein-coding,
ENSG00000004142,26073,32.70537,protein-coding,
ENSG00000004399,23129,32.70537,protein-coding,
ENSG00000004455,204,32.70537,protein-coding,
ENSG00000004468,952,32.70537,protein-coding,
ENSG00000004478,2288,32.70537,protein-coding,
ENSG00000004487,23028,32.70537,protein-coding,
ENSG00000004534,10180,32.70537,protein-coding,
ENSG00000004660,84254,32.70537,protein-coding,
ENSG00000004700,5965,32.70537,protein-coding,
ENSG00000004766,55610,32.70537,protein-coding,
ENSG00000004776,126393,32.70537,protein-coding,
ENSG00000004777,115703,32.70537,protein-coding,
ENSG00000004779,4706,32.70537,protein-coding,
ENSG00000004799,5166,32.70537,protein-coding,
ENSG00000004809,85413,32.70537,protein-coding,
ENSG00000004838,51364,32.70537,protein-coding,
ENSG00000004846,340273,32.70537,protein-coding,
ENSG00000004848,170302,32.70537,protein-coding,
ENSG00000004864,10165,32.70537,protein-coding,
ENSG00000004866,7982,32.70537,protein-coding,
ENSG00000004897,996,32.70537,protein-coding,
ENSG00000004939,6521,32.70537,protein-coding,
ENSG00000004948,799,32.70537,protein-coding,
ENSG00000004961,3052,32.70537,protein-coding,
ENSG00000004975,1856,32.70537,protein-coding,
ENSG00000005001,64063,32.70537,protein-coding,
ENSG00000005007,5976,32.70537,protein-coding,
ENSG00000005020,8935,32.70537,protein-coding,
ENSG00000005022,292,32.70537,protein-coding,
ENSG00000005059,55013,32.70537,protein-coding,
ENSG00000005073,3207,32.70537,protein-coding,
ENSG00000005075,5439,32.70537,protein-coding,
ENSG00000005100,56919,32.70537,protein-coding,
ENSG00000005102,4222,32.70537,protein-coding,
ENSG00000005108,221981,32.70537,protein-coding,
ENSG00000005156,3980,32.70537,protein-coding,
ENSG00000005175,79657,32.70537,protein-coding,
ENSG00000005187,6296,32.70537,protein-coding,
ENSG00000005189,81691,32.70537,protein-coding,
ENSG00000005194,57019,32.70537,protein-coding,
ENSG00000005206,56928,32.70537,protein-coding,
ENSG00000005238,80256,32.70537,protein-coding,
ENSG00000005243,51226,32.70537,protein-coding,
ENSG00000005249,5577,32.70537,protein-coding,
ENSG00000005302,10943,32.70537,protein-coding,
ENSG00000005339,1387,32.70537,protein-coding,
ENSG00000005379,9256,32.70537,protein-coding,
ENSG00000005381,4353,32.70537,protein-coding,
ENSG00000005421,5444,32.70537,protein-coding,
ENSG00000005436,6936,32.70537,protein-coding,
ENSG00000005448,84058,32.70537,protein-coding,
ENSG00000005469,54677,32.70537,protein-coding,
ENSG00000005471,5244,32.70537,protein-coding,
ENSG00000005483,55904,32.70537,protein-coding,
ENSG00000005486,57414,32.70537,protein-coding,
ENSG00000005513,30812,32.70537,protein-coding,
ENSG00000005700,25998,32.70537,protein-coding,
ENSG00000005801,7748,32.70537,protein-coding,
ENSG00000005810,23077,32.70537,protein-coding,
ENSG00000005812,26224,32.70537,protein-coding,
ENSG00000005844,3683,32.70537,protein-coding,
ENSG00000005882,5164,32.70537,protein-coding,
ENSG00000005884,3675,32.70537,protein-coding,
ENSG00000005889,7543,32.70537,protein-coding,
ENSG00000005893,3920,32.70537,protein-coding,
ENSG00000005961,3674,32.70537,protein-coding,
ENSG00000005981,51666,32.70537,protein-coding,
ENSG00000006007,51573,32.70537,protein-coding,
ENSG00000006015,55049,32.70537,protein-coding,
ENSG00000006016,9244,32.70537,protein-coding,
ENSG00000006025,114881,32.70537,protein-coding,
ENSG00000006042,26022,32.70537,protein-coding,
ENSG00000006047,51087,32.70537,protein-coding,
ENSG00000006059,3883,32.70537,protein-coding,
ENSG00000006062,9020,32.70537,protein-coding,
ENSG00000006071,6833,32.70537,protein-coding,
ENSG00000006116,10368,32.70537,protein-coding,
ENSG00000006118,54972,32.70537,protein-coding,
ENSG00000006125,163,32.70537,protein-coding,
ENSG00000006128,6863,32.70537,protein-coding,
ENSG00000006194,10127,32.70537,protein-coding,
ENSG00000006210,6376,32.70537,protein-coding,
ENSG00000006282,64847,32.70537,protein-coding,
ENSG00000006283,8913,32.70537,protein-coding,
ENSG00000006327,51330,32.70537,protein-coding,
ENSG00000006377,1750,32.70537,protein-coding,
ENSG00000006432,4293,32.70537,protein-coding,
ENSG00000006451,5898,32.70537,protein-coding,
ENSG00000006453,55971,32.70537,protein-coding,
ENSG00000006459,80853,32.70537,protein-coding,
ENSG00000006468,2115,32.70537,protein-coding,
ENSG00000006530,55750,32.70537,protein-coding,
ENSG00000006534,221,32.70537,protein-coding,
ENSG00000006555,55001,32.70537,protein-coding,
ENSG00000006576,57157,32.70537,protein-coding,
ENSG00000006606,10344,32.70537,protein-coding,
ENSG00000006607,9855,32.70537,protein-coding,
ENSG00000006611,10083,32.70537,protein-coding,
ENSG00000006625,79017,32.70537,protein-coding,
ENSG00000006634,10926,32.70537,protein-coding,
ENSG00000006638,6915,32.70537,protein-coding,
ENSG00000006652,3475,32.70537,protein-coding,
ENSG00000006659,56891,32.70537,protein-coding,
ENSG00000006695,1352,32.70537,protein-coding,
ENSG00000006704,9569,32.70537,protein-coding,
ENSG00000006712,54623,32.70537,protein-coding,
ENSG00000006715,27072,32.70537,protein-coding,
ENSG00000006740,9912,32.70537,protein-coding,
ENSG00000006744,60528,32.70537,protein-coding,
ENSG00000006747,85477,32.70537,protein-coding,
ENSG00000006756,414,32.70537,protein-coding,
ENSG00000006757,8228,32.70537,protein-coding,
ENSG00000006788,8735,32.70537,protein-coding,
ENSG00000006831,79602,32.70537,protein-coding,
ENSG00000006837,51265,32.70537,protein-coding,
ENSG00000007001,151531,32.70537,protein-coding,
ENSG00000007038,10942,32.70537,protein-coding,
ENSG00000007047,57787,32.70537,protein-coding,
ENSG00000007062,8842,32.70537,protein-coding,
ENSG00000007080,115098,32.70537,protein-coding,
ENSG00000007129,90273,32.70537,protein-coding,
ENSG00000007168,5048,32.70537,protein-coding,
ENSG00000007171,4843,32.70537,protein-coding,
ENSG00000007174,1770,32.70537,protein-coding,
ENSG00000007202,9703,32.70537,protein-coding,
ENSG00000007216,9058,32.70537,protein-coding,
ENSG00000007237,8522,32.70537,protein-coding,
ENSG00000007255,79090,32.70537,protein-coding,
ENSG00000007264,4145,32.70537,protein-coding,
ENSG00000007306,1087,32.70537,protein-coding,
ENSG00000007312,974,32.70537,protein-coding,
ENSG00000007314,6329,32.70537,protein-coding,
ENSG00000007341,54879,32.70537,protein-coding,
ENSG00000007350,8277,32.70537,protein-coding,
ENSG00000007372,5080,32.70537,protein-coding,
ENSG00000007376,113000,32.70537,protein-coding,
ENSG00000007384,64285,32.70537,protein-coding,
ENSG00000007392,55692,32.70537,protein-coding,
ENSG00000007402,9254,32.70537,protein-coding,
ENSG00000007516,8938,32.70537,protein-coding,
ENSG00000007520,115939,32.70537,protein-coding,
ENSG00000007541,9091,32.70537,protein-coding,
ENSG00000007545,57585,32.70537,protein-coding,
ENSG00000007866,7005,32.70537,protein-coding,
ENSG00000007908,6401,32.70537,protein-coding,
ENSG00000007923,55735,32.70537,protein-coding,
ENSG00000007933,2328,32.70537,protein-coding,
ENSG00000007944,29116,32.70537,protein-coding,
ENSG00000007952,27035,32.70537,protein-coding,
ENSG00000007968,1870,32.70537,protein-coding,
ENSG00000008018,5689,32.70537,protein-coding,
ENSG00000008056,6853,32.70537,protein-coding,
ENSG00000008083,3720,32.70537,protein-coding,
ENSG00000008086,6792,32.70537,protein-coding,
ENSG00000008118,57172,32.70537,protein-coding,
ENSG00000008128,728642,32.70537,protein-coding,
ENSG00000008130,65220,32.70537,protein-coding,
ENSG00000008196,7021,32.70537,protein-coding,
ENSG00000008197,83741,32.70537,protein-coding,
ENSG00000008226,9940,32.70537,protein-coding,
ENSG00000008256,9265,32.70537,protein-coding,
ENSG00000008277,53616,32.70537,protein-coding,
ENSG00000008282,6856,32.70537,protein-coding,
ENSG00000008283,1534,32.70537,protein-coding,
ENSG00000008294,9043,32.70537,protein-coding,
ENSG00000008300,1951,32.70537,protein-coding,
ENSG00000008311,10157,32.70537,protein-coding,
ENSG00000008323,55200,32.70537,protein-coding,
ENSG00000008324,51188,32.70537,protein-coding,
ENSG00000008382,84954,32.70537,protein-coding,
ENSG00000008394,4257,32.70537,protein-coding,
ENSG00000008405,1407,32.70537,protein-coding,
ENSG00000008438,8993,32.70537,protein-coding,
ENSG00000008441,4784,32.70537,protein-coding,
ENSG00000008513,6482,32.70537,protein-coding,
ENSG00000008516,64386,32.70537,protein-coding,
ENSG00000008517,9235,32.70537,protein-coding,
ENSG00000008710,5310,32.70537,protein-coding,
ENSG00000008735,23542,32.70537,protein-coding,
ENSG00000008838,9862,32.70537,protein-coding,
ENSG00000008853,23221,32.70537,protein-coding,
ENSG00000008869,54497,32.70537,protein-coding,
ENSG00000008952,7095,32.70537,protein-coding,
ENSG00000008988,6224,32.70537,protein-coding,
ENSG00000009307,7812,32.70537,protein-coding,
ENSG00000009335,9690,32.70537,protein-coding,
ENSG00000009413,5980,32.70537,protein-coding,
ENSG00000009694,10178,32.70537,protein-coding,
ENSG00000009709,5081,32.70537,protein-coding,
ENSG00000009724,10747,32.70537,protein-coding,
ENSG00000009765,389434,32.70537,protein-coding,
ENSG00000009780,199870,32.70537,protein-coding,
ENSG00000009790,80342,32.70537,protein-coding,
ENSG00000009830,29954,32.70537,protein-coding,
ENSG00000009844,51534,32.70537,protein-coding,
ENSG00000009950,51085,32.70537,protein-coding,
ENSG00000009954,9031,32.70537,protein-coding,
ENSG00000010017,10048,32.70537,protein-coding,
ENSG00000010030,51513,32.70537,protein-coding,
ENSG00000010072,83932,32.70537,protein-coding,
ENSG00000010165,51603,32.70537,protein-coding,
ENSG00000010219,8798,32.70537,protein-coding,
ENSG00000010244,7756,32.70537,protein-coding,
ENSG00000010256,7384,32.70537,protein-coding,
ENSG00000010270,83930,32.70537,protein-coding,
ENSG00000010278,928,32.70537,protein-coding,
ENSG00000010282,57467,32.70537,protein-coding,
ENSG00000010292,9918,32.70537,protein-coding,
ENSG00000010295,25900,32.70537,protein-coding,
ENSG00000010310,2696,32.70537,protein-coding,
ENSG00000010318,51533,32.70537,protein-coding,
ENSG00000010319,56920,32.70537,protein-coding,
ENSG00000010322,11188,32.70537,protein-coding,
ENSG00000010327,23166,32.70537,protein-coding,
ENSG00000010361,80199,32.70537,protein-coding,
ENSG00000010379,6540,32.70537,protein-coding,
ENSG00000010404,3423,32.70537,protein-coding,
ENSG00000010438,5646,32.70537,protein-coding,
ENSG00000010539,7752,32.70537,protein-coding,
ENSG00000010610,920,32.70537,protein-coding,
ENSG00000010626,10233,32.70537,protein-coding,
ENSG00000010671,695,32.70537,protein-coding,
ENSG00000010704,3077,32.70537,protein-coding,
ENSG00000010803,22955,32.70537,protein-coding,
ENSG00000010810,2534,32.70537,protein-coding,
ENSG00000010818,3097,32.70537,protein-coding,
ENSG00000010932,2326,32.70537,protein-coding,
ENSG00000011007,6924,32.70537,protein-coding,
ENSG00000011009,11313,32.70537,protein-coding,
ENSG00000011021,1185,32.70537,protein-coding,
ENSG00000011028,9902,32.70537,protein-coding,
ENSG00000011052,654364,32.70537,protein-coding,
ENSG00000011083,6534,32.70537,protein-coding,
ENSG00000011105,10867,32.70537,protein-coding,
ENSG00000011114,55727,32.70537,protein-coding,
ENSG00000011132,9546,32.70537,protein-coding,
ENSG00000011143,54903,32.70537,protein-coding,
ENSG00000011198,51099,32.70537,protein-coding,
ENSG00000011201,3730,32.70537,protein-coding,
ENSG00000011243,26993,32.70537,protein-coding,
ENSG00000011258,54799,32.70537,protein-coding,
ENSG00000011260,51096,32.70537,protein-coding,
ENSG00000011275,54476,32.70537,protein-coding,
ENSG00000011295,54902,32.70537,protein-coding,
ENSG00000011304,5725,32.70537,protein-coding,
ENSG00000011332,8193,32.70537,protein-coding,
ENSG00000011347,9066,32.70537,protein-coding,
ENSG00000011376,23395,32.70537,protein-coding,
ENSG00000011405,5286,32.70537,protein-coding,
ENSG00000011422,5329,32.70537,protein-coding,
ENSG00000011426,54443,32.70537,protein-coding,
ENSG00000011451,58525,32.70537,protein-coding,
ENSG00000011454,23637,32.70537,protein-coding,
ENSG00000011465,1634,32.70537,protein-coding,
ENSG00000011478,54814,32.70537,protein-coding,
ENSG00000011485,5536,32.70537,protein-coding,
ENSG00000011523,23177,32.70537,protein-coding,
ENSG00000011566,8491,32.70537,protein-coding,
ENSG00000011590,27033,32.70537,protein-coding,
ENSG00000011600,7305,32.70537,protein-coding,
ENSG00000011638,57146,32.70537,protein-coding,
ENSG00000011677,2556,32.70537,protein-coding,
ENSG00000012048,672,32.70537,protein-coding,
ENSG00000012061,2067,32.70537,protein-coding,
ENSG00000012124,933,32.70537,protein-coding,
ENSG00000012171,7869,32.70537,protein-coding,
ENSG00000012174,51360,32.70537,protein-coding,
ENSG00000012211,4007,32.70537,protein-coding,
ENSG00000012223,4057,32.70537,protein-coding,
ENSG00000012232,2137,32.70537,protein-coding,
ENSG00000012504,9971,32.70537,protein-coding,
ENSG00000012660,60481,32.70537,protein-coding,
ENSG00000012779,240,32.70537,protein-coding,
ENSG00000012817,8284,32.70537,protein-coding,
ENSG00000012822,57658,32.70537,protein-coding,
ENSG00000012963,55148,32.70537,protein-coding,
ENSG00000012983,11183,32.70537,protein-coding,
ENSG00000013016,30845,32.70537,protein-coding,
ENSG00000013275,5704,32.70537,protein-coding,
ENSG00000013288,23324,32.70537,protein-coding,
ENSG00000013293,57709,32.70537,protein-coding,
ENSG00000013297,5010,32.70537,protein-coding,
ENSG00000013306,51629,32.70537,protein-coding,
ENSG00000013364,9961,32.70537,protein-coding,
ENSG00000013374,51667,32.70537,protein-coding,
ENSG00000013375,5238,32.70537,protein-coding,
ENSG00000013392,112611,32.70537,protein-coding,
ENSG00000013441,1195,32.70537,protein-coding,
ENSG00000013503,55703,32.70537,protein-coding,
ENSG00000013523,23357,32.70537,protein-coding,
ENSG00000013561,9604,32.70537,protein-coding,
ENSG00000013563,1774,32.70537,protein-coding,
ENSG00000013573,1663,32.70537,protein-coding,
ENSG00000013583,50865,32.70537,protein-coding,
ENSG00000013588,9052,32.70537,protein-coding,
ENSG00000013619,10046,32.70537,protein-coding,
ENSG00000013725,923,32.70537,protein-coding,
ENSG00000013810,10460,32.70537,protein-coding,
ENSG00000014123,23376,32.70537,protein-coding,
ENSG00000014138,23649,32.70537,protein-coding,
ENSG00000014164,23144,32.70537,protein-coding,
ENSG00000014216,823,32.70537,protein-coding,
ENSG00000014257,55,32.70537,protein-coding,
ENSG00000014641,4190,32.70537,protein-coding,
ENSG00000014824,10463,32.70537,protein-coding,
ENSG00000014914,10903,32.70537,protein-coding,
ENSG00000014919,1355,32.70537,protein-coding,
ENSG00000015133,440193,32.70537,protein-coding,
ENSG00000015153,10138,32.70537,protein-coding,
ENSG00000015171,10771,32.70537,protein-coding,
ENSG00000015285,7454,32.70537,protein-coding,
ENSG00000015413,1800,32.70537,protein-coding,
ENSG00000015475,637,32.70537,protein-coding,
ENSG00000015479,9782,32.70537,protein-coding,
ENSG00000015520,29881,32.70537,protein-coding,
ENSG00000015532,64132,32.70537,protein-coding,
