,particle_size_um,concentration_gL,is_100nm,group_MA1,group_MA100,group_MB1,group_MB100,group_MC1,group_MC100,group_MD1
ME_antiquewhite,0.006791406435041667,0.3629765735725221,0.006791406435041667,0.30528549539991506,0.017772766028681754,0.3256399169382642,0.42951786659437935,0.17922096903869797,0.6205605524251211,0.8526957072643317
ME_bisque,0.05886585391941815,0.7668939323017907,0.05886585391941815,0.8736138385479015,0.5052187450983475,0.06344238639034816,0.362289974354633,0.6315985997928686,0.3184698609621231,0.8903569212988545
ME_blanchedalmond,0.5719374015841745,0.9076370955520302,0.5719374015841745,0.42404854124209584,0.4976043746083742,0.42209432474563363,0.19146640567960557,0.029338382551350788,0.8466275092505439,0.7346786857116621
ME_brown,0.5338743024784758,0.27394509065974953,0.5338743024784758,0.5884853940674833,0.6900638944064554,0.864181447504551,0.7745072546604318,0.016508281657960772,0.8483641164832465,0.5217458841073194
ME_burlywood,0.22053963120574757,0.4194335658720606,0.2205396312057479,0.3707943129413751,0.7555857035404966,0.1987436122963031,0.41136458748177973,0.35923143334881985,0.5649326833837564,0.23596210690313627
ME_chocolate,0.7467016496823874,0.07171192000619624,0.7467016496823883,0.36235926663376095,0.1452610449650241,0.6567192811477814,0.3552572597830961,0.8086679099799439,0.33198995566828765,0.8076365345024275
ME_coral,0.6633603152749097,0.614245593082726,0.6633603152749085,0.7238531482243279,0.5125596042461495,0.5907892205414913,0.7667978165397024,0.5133384174107015,0.7953410084780976,0.3892294192734585
ME_darkgrey,0.0025949251469398827,0.3464230845333298,0.0025949251469398827,0.8056535246858255,0.5079869179225607,0.20927370568443793,0.16321837581244905,0.16513788260106113,0.0002530969968436927,0.1352056166951807
ME_darkorange,0.004082499566156687,0.15612220985743822,0.004082499566156705,0.8763107671367651,0.0026195806236084707,0.009529528193768231,0.2568947431966899,0.6965995293531116,0.886686235161648,0.11950648468213669
ME_darksalmon,0.04420431671733422,0.07010201652741999,0.04420431671733422,0.9096293336515274,0.0014644403698499714,0.6400079626602514,0.957677282858466,0.4435215655869664,0.8824290155375374,0.10070503373635115
ME_dimgrey,0.41769323927213553,0.2578060662601495,0.4176932392721344,0.30502402623815683,0.022183698804996602,0.5334393727684134,0.2428953618013145,0.03266773631712498,0.0229547897895638,0.44593864158692226
ME_firebrick,0.13950628612072022,0.21293545843810405,0.13950628612072022,0.6446388172509191,0.014723571590594479,0.9772351521161793,0.8795428174647123,0.38874751089473547,0.7055355019648868,0.4889026478211069
ME_gainsboro,0.22508553599640774,0.05340060237441618,0.22508553599640774,0.9294768151574732,0.015327924881421583,0.002155352610758761,0.650261210878143,0.5385060811673853,0.9128452203636054,0.7389881463503791
ME_indianred,0.4298044988398762,0.5174987248897,0.4298044988398762,0.8760879405140182,0.7380378116196377,0.6634011928696462,0.7465268285972527,0.022405199091276806,0.6514719816851158,0.6635517537082511
ME_lightsalmon,0.3214767025369395,0.2736015913877299,0.3214767025369395,0.7765412978650204,0.4559274447218659,0.048561477989076625,0.6451923768668506,0.5453784565384284,0.8535647965681815,0.4152779308264605
ME_linen,0.9488644975212241,0.9398660646360696,0.9488644975212246,0.8232179313188651,0.6485601128764962,0.7297493326084288,0.7497580275279856,0.5931943824986883,0.9638904620410037,0.22439277839303576
ME_maroon,0.48156152118581563,0.5815960989058054,0.481561521185815,0.6728770489496324,0.8648094363478376,0.006284208084445029,0.7379066018424413,0.5900977377912157,0.6270330215611387,0.593696012600074
