Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_input
GO_Biological_Process_2023,Stress-Activated Protein Kinase Signaling Cascade (GO:0031098),0.0003060413247655319,0.34925955684912025,0,0,14.868159203980099,120.3100281633635,MAP2K3;MAPK11;CCM2;MAP2K7,darkgrey,205
GO_Biological_Process_2023,MAPK Cascade (GO:0000165),0.0016243677837991099,0.34925955684912025,0,0,5.20034957395674,33.39995548062258,MAP2K3;MAP3K3;MAPK11;CCM2;MAP2K7;MEN1,darkgrey,205
GO_Biological_Process_2023,Regulation Of Glial Cell Differentiation (GO:0045685),0.0016554659491021181,0.34925955684912025,0,0,58.95566502463054,377.5327867280628,SLC45A3;TNFRSF21,darkgrey,205
GO_Biological_Process_2023,Lymphocyte Apoptotic Process (GO:0070227),0.0016554659491021181,0.34925955684912025,0,0,58.95566502463054,377.5327867280628,LMBR1L;TNFRSF21,darkgrey,205
GO_Biological_Process_2023,Mammary Gland Epithelial Cell Differentiation (GO:0060644),0.0016554659491021181,0.34925955684912025,0,0,58.95566502463054,377.5327867280628,AKT2;ZNF703,darkgrey,205
GO_Biological_Process_2023,Positive Regulation Of Hemoglobin Biosynthetic Process (GO:0046985),0.002728525702197802,0.34925955684912025,0,0,39.30049261083744,232.02986673460256,LDB1;PRMT1,darkgrey,205
GO_Biological_Process_2023,Stress-Activated MAPK Cascade (GO:0051403),0.00301540109781671,0.34925955684912025,0,0,7.424129353233831,43.08981324150129,MAP2K3;MAPK11;CCM2;MAP2K7,darkgrey,205
GO_Biological_Process_2023,Response To Light Stimulus (GO:0009416),0.0033369785449119727,0.34925955684912025,0,0,7.198552691090004,41.0511109092137,TP53I13;REV1;MAP2K7;MEN1,darkgrey,205
GO_Biological_Process_2023,Positive Regulation Of Vacuole Organization (GO:0044090),0.003735795208645479,0.34925955684912025,0,0,11.095915841584159,62.023890184720855,GRN;LRSAM1;PIP4K2C,darkgrey,205
GO_Biological_Process_2023,Regulation Of Hemoglobin Biosynthetic Process (GO:0046984),0.00404747916519048,0.34925955684912025,0,0,29.472906403940886,162.38572355992093,LDB1;PRMT1,darkgrey,205
