module,Term,Adjusted P-value,Genes
dimgrey,Cytoplasmic Translation (GO:0002181),8.452319725806445e-06,RPL3;RPL31;RPL12;RPS3A;RPSA;RPL7;RPS26;RPS25;RPS15A;RPS27;RPS3;RPL35;RPL26;RPS2;RPS23
dimgrey,Peptide Biosynthetic Process (GO:0043043),0.00022005366359456117,RPL3;RPL31;RPL12;RPSA;RPS3A;RRBP1;RPL7;RPS26;RPS25;RPS27;RPS15A;RPS3;RPL35;RPL26;RPS2;RPS23
dimgrey,Translation (GO:0006412),0.0010158089591128846,RPL3;RPL31;RPL12;MARS1;MRPL49;RPSA;RPS3A;RRBP1;RPL7;RPS26;MRPL20;RPS25;RPS27;RPS15A;RPS3;RPL35;RPL26;RPS2;RPS23
dimgrey,Macromolecule Biosynthetic Process (GO:0009059),0.0010158089591128846,RPL3;RPL31;RPL12;RPSA;RPS3A;RRBP1;RPL7;RPS26;RPS25;RPS27;RPS15A;RPS3;RPL35;RPL26;RPS2;RPS23
dimgrey,Gene Expression (GO:0010467),0.0029697657044469427,RPL3;RPL31;RPL12;RPSA;RPS3A;RRBP1;RPL7;RPS26;RPS25;DDX19B;MCM3AP;RPS27;RPS15A;RPS3;RPL35;RPL26;RPS2;EXOSC3;ZNG1E;RPS23
indianred,Spontaneous Synaptic Transmission (GO:0098814),0.023341149071851527,RIMS2
indianred,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),0.023341149071851527,RIMS2
indianred,Positive Regulation Of Dendrite Extension (GO:1903861),0.023341149071851527,RIMS2
indianred,Regulation Of Dendrite Extension (GO:1903859),0.023341149071851527,RIMS2
indianred,Positive Regulation Of Nervous System Process (GO:0031646),0.023341149071851527,RIMS2
white,Negative Regulation Of Response To Stimulus (GO:0048585),0.029351497268265463,GGT7;WFS1
white,Leukotriene D4 Biosynthetic Process (GO:1901750),0.03677117774347019,GGT7
white,Leukotriene D4 Metabolic Process (GO:1901748),0.03677117774347019,GGT7
white,Glutathione Catabolic Process (GO:0006751),0.03677117774347019,GGT7
white,Lipid Oxidation (GO:0034440),0.03677117774347019,SAMD1
