Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_input
GO_Biological_Process_2023,Liver Development (GO:0001889),0.002055971621013948,0.23770404720752147,0,0,34.41193181818182,212.90685390601385,CCDC39;NF1,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168),0.006444974407642842,0.23770404720752147,0,0,18.331818181818182,92.47402480082971,ING3;HDGFL2,gainsboro,46
GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),0.007254753195931304,0.23770404720752147,0,0,17.183238636363637,84.64632455452372,COL11A1;NF1,gainsboro,46
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),0.007456792834782483,0.23770404720752147,0,0,5.623290900518623,27.546420784872375,CNN2;COL11A1;NF1;TUBGCP5,gainsboro,46
GO_Biological_Process_2023,Adrenal Gland Development (GO:0030325),0.011292745063776451,0.23770404720752147,0,0,134.74444444444444,604.1394889857705,NF1,gainsboro,46
GO_Biological_Process_2023,Determination Of Digestive Tract Left/Right Asymmetry (GO:0071907),0.011292745063776451,0.23770404720752147,0,0,134.74444444444444,604.1394889857705,CCDC39,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of DNA Recombination (GO:0045911),0.011944489224847395,0.23770404720752147,0,0,13.081168831168831,57.91668217965591,ING3;HDGFL2,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Protein Polymerization (GO:0032273),0.014672421576797365,0.23770404720752147,0,0,11.684719535783366,49.330381032088006,HSP90AA1;CTTN,gainsboro,46
GO_Biological_Process_2023,Regulation Of Dendritic Cell Chemotaxis (GO:2000508),0.015029213413706626,0.23770404720752147,0,0,89.82222222222222,377.05207865063835,CALR,gainsboro,46
GO_Biological_Process_2023,Regulation Of Glial Cell Differentiation (GO:0045685),0.015029213413706626,0.23770404720752147,0,0,89.82222222222222,377.05207865063835,NF1,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Oligodendrocyte Differentiation (GO:0048715),0.015029213413706626,0.23770404720752147,0,0,89.82222222222222,377.05207865063835,NF1,gainsboro,46
GO_Biological_Process_2023,Regulation Of Interleukin-1-Mediated Signaling Pathway (GO:2000659),0.015029213413706626,0.23770404720752147,0,0,89.82222222222222,377.05207865063835,VRK2,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Trophoblast Cell Migration (GO:1901164),0.015029213413706626,0.23770404720752147,0,0,89.82222222222222,377.05207865063835,CALR,gainsboro,46
GO_Biological_Process_2023,Intermediate Filament Bundle Assembly (GO:0045110),0.015029213413706626,0.23770404720752147,0,0,89.82222222222222,377.05207865063835,NEFM,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510),0.015029213413706626,0.23770404720752147,0,0,89.82222222222222,377.05207865063835,CALR,gainsboro,46
GO_Biological_Process_2023,Regulation Of Programmed Cell Death (GO:0043067),0.015754735669427557,0.23770404720752147,0,0,6.106942794092684,25.34756397734809,HSP90AA1;ING3;CALR,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Glial Cell Differentiation (GO:0045686),0.01875186949797044,0.23770404720752147,0,0,67.36111111111111,267.858886821412,NF1,gainsboro,46
GO_Biological_Process_2023,Regulation Of Extent Of Cell Growth (GO:0061387),0.01875186949797044,0.23770404720752147,0,0,67.36111111111111,267.858886821412,CTTN,gainsboro,46
GO_Biological_Process_2023,Visual Learning (GO:0008542),0.01875186949797044,0.23770404720752147,0,0,67.36111111111111,267.858886821412,NF1,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949),0.01875186949797044,0.23770404720752147,0,0,67.36111111111111,267.858886821412,HSP90AA1,gainsboro,46
GO_Biological_Process_2023,Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound (GO:0050910),0.01875186949797044,0.23770404720752147,0,0,67.36111111111111,267.858886821412,COL11A1,gainsboro,46
GO_Biological_Process_2023,Spindle Assembly (GO:0051225),0.022188887769683804,0.23770404720752147,0,0,9.298921417565486,35.41181467849097,BCCIP;TUBGCP5,gainsboro,46
GO_Biological_Process_2023,Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry (GO:0060287),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,CCDC39,gainsboro,46
GO_Biological_Process_2023,Synaptic Membrane Adhesion (GO:0099560),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,LRRC4,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Lyase Activity (GO:0051349),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,NF1,gainsboro,46
GO_Biological_Process_2023,Schwann Cell Development (GO:0014044),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,NF1,gainsboro,46
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,CALR,gainsboro,46
GO_Biological_Process_2023,Peripheral Nervous System Axon Ensheathment (GO:0032292),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,NF1,gainsboro,46
GO_Biological_Process_2023,Mitochondrial tRNA Processing (GO:0090646),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,PRORP,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Cyclase Activity (GO:0031281),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,NF1,gainsboro,46
GO_Biological_Process_2023,Skeletal Muscle Tissue Regeneration (GO:0043403),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,HDGFL2,gainsboro,46
GO_Biological_Process_2023,Smooth Muscle Tissue Development (GO:0048745),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,NF1,gainsboro,46
GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),0.024981559511380577,0.23770404720752147,0,0,8.705627705627705,32.1204349890558,ING3;HDGFL2,gainsboro,46
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),0.025701123799877663,0.23770404720752147,0,0,8.568892045454545,31.372603736797195,COL11A1;NF1,gainsboro,46
GO_Biological_Process_2023,Excitatory Synapse Assembly (GO:1904861),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,LRRC4,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,NF1,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Muscle Contraction (GO:0045933),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,CTTN,gainsboro,46
GO_Biological_Process_2023,Inner Dynein Arm Assembly (GO:0036159),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,CCDC39,gainsboro,46
