module,Gene_set,Term,Adjusted P-value,n_term_genes,n_hub_overlap,hub_genes
dimgrey,GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),8.452319725806445e-06,15,10,RPL26;RPL3;RPL7;RPS15A;RPS2;RPS23;RPS27;RPS3;RPS3A;RPSA
dimgrey,GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),0.0002200536635945,16,10,RPL26;RPL3;RPL7;RPS15A;RPS2;RPS23;RPS27;RPS3;RPS3A;RPSA
dimgrey,GO_Biological_Process_2023,Translation (GO:0006412),0.0010158089591128,19,10,RPL26;RPL3;RPL7;RPS15A;RPS2;RPS23;RPS27;RPS3;RPS3A;RPSA
dimgrey,GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),0.0010158089591128,16,10,RPL26;RPL3;RPL7;RPS15A;RPS2;RPS23;RPS27;RPS3;RPS3A;RPSA
dimgrey,GO_Biological_Process_2023,Gene Expression (GO:0010467),0.0029697657044469,20,10,RPL26;RPL3;RPL7;RPS15A;RPS2;RPS23;RPS27;RPS3;RPS3A;RPSA
dimgrey,GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),0.0206188395758404,13,6,RPL26;RPL7;RPS15A;RPS23;RPS27;RPS3A
dimgrey,GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),0.0260517580518058,8,0,
dimgrey,KEGG_2021_Human,Ribosome,1.4804577726858638e-05,16,10,RPL26;RPL3;RPL7;RPS15A;RPS2;RPS23;RPS27;RPS3;RPS3A;RPSA
dimgrey,KEGG_2021_Human,Coronavirus disease,0.0012598333940779,15,10,RPL26;RPL3;RPL7;RPS15A;RPS2;RPS23;RPS27;RPS3;RPS3A;RPSA
dimgrey,KEGG_2021_Human,Antigen processing and presentation,0.0179938288616736,6,0,
