Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_input
GO_Biological_Process_2023,Spontaneous Synaptic Transmission (GO:0098814),0.0009854013428994544,0.023341149071851527,0,0,2433.6,16846.50241605573,RIMS2,indianred,6
GO_Biological_Process_2023,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),0.004427974873752932,0.023341149071851527,0,0,304.025,1647.7586286434903,RIMS2,indianred,6
GO_Biological_Process_2023,Positive Regulation Of Dendrite Extension (GO:1903861),0.004918964456409001,0.023341149071851527,0,0,270.22222222222223,1436.1384916258894,RIMS2,indianred,6
GO_Biological_Process_2023,Regulation Of Dendrite Extension (GO:1903859),0.004918964456409001,0.023341149071851527,0,0,270.22222222222223,1436.1384916258894,RIMS2,indianred,6
GO_Biological_Process_2023,Positive Regulation Of Nervous System Process (GO:0031646),0.004918964456409001,0.023341149071851527,0,0,270.22222222222223,1436.1384916258894,RIMS2,indianred,6
GO_Biological_Process_2023,Calcium-Ion Regulated Exocytosis (GO:0017156),0.005409752430709876,0.023341149071851527,0,0,243.18,1269.2906428586748,RIMS2,indianred,6
GO_Biological_Process_2023,Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463),0.005900338840734014,0.023341149071851527,0,0,221.05454545454546,1134.6167232344646,RIMS2,indianred,6
GO_Biological_Process_2023,Peptide Hormone Secretion (GO:0030072),0.00639072373498143,0.023341149071851527,0,0,202.61666666666667,1023.8033265851755,RIMS2,indianred,6
GO_Biological_Process_2023,Insulin Secretion (GO:0030073),0.006880907163110303,0.023341149071851527,0,0,187.01538461538462,931.1504940505657,RIMS2,indianred,6
GO_Biological_Process_2023,Regulation Of Nucleocytoplasmic Transport (GO:0046822),0.007370889180584693,0.023341149071851527,0,0,173.64285714285714,852.6240971601738,FRAT2,indianred,6
GO_Biological_Process_2023,Regulation Of Synaptic Vesicle Exocytosis (GO:2000300),0.007370889180584693,0.023341149071851527,0,0,173.64285714285714,852.6240971601738,RIMS2,indianred,6
GO_Biological_Process_2023,Modulation Of Excitatory Postsynaptic Potential (GO:0098815),0.007370889180584693,0.023341149071851527,0,0,173.64285714285714,852.6240971601738,RIMS2,indianred,6
