Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_input
GO_Biological_Process_2023,Negative Regulation Of Response To Stimulus (GO:0048585),0.00024874150227343614,0.029351497268265463,0,0,115.54285714285714,958.9013033154731,GGT7;WFS1,white,8
GO_Biological_Process_2023,Leukotriene D4 Biosynthetic Process (GO:1901750),0.0013137629457640326,0.03677117774347019,0,0,1738.0,11531.38630071142,GGT7,white,8
GO_Biological_Process_2023,Leukotriene D4 Metabolic Process (GO:1901748),0.0013137629457640326,0.03677117774347019,0,0,1738.0,11531.38630071142,GGT7,white,8
GO_Biological_Process_2023,Glutathione Catabolic Process (GO:0006751),0.0019700827461279096,0.03677117774347019,0,0,868.9285714285714,5413.146711725385,GGT7,white,8
GO_Biological_Process_2023,Lipid Oxidation (GO:0034440),0.0019700827461279096,0.03677117774347019,0,0,868.9285714285714,5413.146711725385,SAMD1,white,8
GO_Biological_Process_2023,Renal Water Homeostasis (GO:0003091),0.0032815931694294056,0.03677117774347019,0,0,434.39285714285717,2484.47791087801,WFS1,white,8
GO_Biological_Process_2023,Galactose Metabolic Process (GO:0006012),0.0032815931694294056,0.03677117774347019,0,0,434.39285714285717,2484.47791087801,GALK2,white,8
GO_Biological_Process_2023,Multicellular Organismal-Level Water Homeostasis (GO:0050891),0.003936783644285814,0.03677117774347019,0,0,347.48571428571427,1924.1643444007855,WFS1,white,8
GO_Biological_Process_2023,Alditol Metabolic Process (GO:0019400),0.003936783644285814,0.03677117774347019,0,0,347.48571428571427,1924.1643444007855,GALK2,white,8
GO_Biological_Process_2023,Foam Cell Differentiation (GO:0090077),0.003936783644285814,0.03677117774347019,0,0,347.48571428571427,1924.1643444007855,SAMD1,white,8
GO_Biological_Process_2023,ER Overload Response (GO:0006983),0.0045915976944460755,0.03677117774347019,0,0,289.54761904761904,1558.7874926529937,WFS1,white,8
GO_Biological_Process_2023,Regulation Of Response To Oxidative Stress (GO:1902882),0.0045915976944460755,0.03677117774347019,0,0,289.54761904761904,1558.7874926529937,GGT7,white,8
GO_Biological_Process_2023,Regulation Of Heterochromatin Formation (GO:0031445),0.0045915976944460755,0.03677117774347019,0,0,289.54761904761904,1558.7874926529937,SAMD1,white,8
GO_Biological_Process_2023,Leukotriene Biosynthetic Process (GO:0019370),0.0045915976944460755,0.03677117774347019,0,0,289.54761904761904,1558.7874926529937,GGT7,white,8
GO_Biological_Process_2023,Positive Regulation Of Protein Metabolic Process (GO:0051247),0.004674302255525872,0.03677117774347019,0,0,25.014583333333334,134.22013387097138,NDUFA13;WFS1,white,8
GO_Biological_Process_2023,Glycerol Metabolic Process (GO:0006071),0.006553782437669267,0.04637415248082346,0,0,192.984126984127,970.268789482197,GALK2,white,8
GO_Biological_Process_2023,Regulation Of Response To Endoplasmic Reticulum Stress (GO:1905897),0.007207092013932524,0.04637415248082346,0,0,173.67142857142858,856.6672731196794,WFS1,white,8
GO_Biological_Process_2023,Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900102),0.007860025844207365,0.04637415248082346,0,0,157.87012987012986,765.033184593906,WFS1,white,8
GO_Biological_Process_2023,Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039),0.007860025844207365,0.04637415248082346,0,0,157.87012987012986,765.033184593906,NDUFA13,white,8
GO_Biological_Process_2023,Fatty Acid Derivative Biosynthetic Process (GO:1901570),0.007860025844207365,0.04637415248082346,0,0,157.87012987012986,765.033184593906,GGT7,white,8
GO_Biological_Process_2023,Regulation Of DNA Methylation-Dependent Heterochromatin Formation (GO:0090308),0.010468007006847899,0.05347383085607703,0,0,115.73333333333333,527.6782200615354,SAMD1,white,8
GO_Biological_Process_2023,Cellular Response To Interferon-Beta (GO:0035458),0.010468007006847899,0.05347383085607703,0,0,115.73333333333333,527.6782200615354,NDUFA13,white,8
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),0.011499735476509197,0.05347383085607703,0,0,8.795366795366796,39.27510570735958,NDUFA13;WFS1;SAMD1,white,8
GO_Biological_Process_2023,Positive Regulation Of Calcium Ion Transport (GO:0051928),0.0117697474811129,0.05347383085607703,0,0,102.10084033613445,453.5546821054679,WFS1,white,8
GO_Biological_Process_2023,Axoneme Assembly (GO:0035082),0.012420055801551972,0.05347383085607703,0,0,96.42063492063492,423.1364323732654,JHY,white,8
GO_Biological_Process_2023,Endoplasmic Reticulum Calcium Ion Homeostasis (GO:0032469),0.012420055801551972,0.05347383085607703,0,0,96.42063492063492,423.1364323732654,WFS1,white,8
GO_Biological_Process_2023,Negative Regulation Of Response To Endoplasmic Reticulum Stress (GO:1903573),0.013069989747505615,0.05347383085607703,0,0,91.33834586466165,396.17427847071696,WFS1,white,8
GO_Biological_Process_2023,Regulation Of Peptidase Activity (GO:0052547),0.013069989747505615,0.05347383085607703,0,0,91.33834586466165,396.17427847071696,NDUFA13,white,8
GO_Biological_Process_2023,Positive Regulation Of Peptidase Activity (GO:0010952),0.013719549495138024,0.05347383085607703,0,0,86.76428571428572,372.1262509836266,NDUFA13,white,8
GO_Biological_Process_2023,Response To Interferon-Beta (GO:0035456),0.01436873522543649,0.05347383085607703,0,0,82.62585034013605,350.5567446232434,NDUFA13,white,8
GO_Biological_Process_2023,Triglyceride Metabolic Process (GO:0006641),0.015665985343650383,0.05347383085607703,0,0,75.42857142857143,313.50101493585726,GALK2,white,8
GO_Biological_Process_2023,Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173),0.015665985343650383,0.05347383085607703,0,0,75.42857142857143,313.50101493585726,WFS1,white,8
GO_Biological_Process_2023,Cellular Response To Retinoic Acid (GO:0071300),0.015665985343650383,0.05347383085607703,0,0,75.42857142857143,313.50101493585726,NDUFA13,white,8
GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036),0.016314050091684518,0.05347383085607703,0,0,72.2797619047619,297.48388136704966,WFS1,white,8
GO_Biological_Process_2023,Carbohydrate Derivative Biosynthetic Process (GO:1901137),0.016314050091684518,0.05347383085607703,0,0,72.2797619047619,297.48388136704966,GALK2,white,8
GO_Biological_Process_2023,Acylglycerol Metabolic Process (GO:0006639),0.016314050091684518,0.05347383085607703,0,0,72.2797619047619,297.48388136704966,GALK2,white,8
GO_Biological_Process_2023,Protein Insertion Into Mitochondrial Membrane (GO:0051204),0.016961741539368348,0.054094202747174726,0,0,69.38285714285715,282.8596829199887,NDUFA13,white,8
GO_Biological_Process_2023,Positive Regulation Of Monoatomic Ion Transport (GO:0043270),0.017609059869725063,0.05468076485861993,0,0,66.70879120879121,269.45960502538395,WFS1,white,8
GO_Biological_Process_2023,Hexose Metabolic Process (GO:0019318),0.0195487779496258,0.05766889495139612,0,0,59.793103448275865,235.27644486295804,GALK2,white,8
GO_Biological_Process_2023,Organophosphate Biosynthetic Process (GO:0090407),0.0195487779496258,0.05766889495139612,0,0,59.793103448275865,235.27644486295804,GALK2,white,8
GO_Biological_Process_2023,Microtubule Bundle Formation (GO:0001578),0.02148514447517237,0.061076252742145724,0,0,54.174107142857146,208.0498909610136,JHY,white,8
GO_Biological_Process_2023,Inner Mitochondrial Membrane Organization (GO:0007007),0.022129856041216076,0.061076252742145724,0,0,52.52813852813853,200.1756816598026,NDUFA13,white,8
GO_Biological_Process_2023,Response To Retinoic Acid (GO:0032526),0.022774195937749254,0.061076252742145724,0,0,50.97899159663866,192.80902774145105,NDUFA13,white,8
GO_Biological_Process_2023,Regulation Of Calcium Ion Transport (GO:0051924),0.022774195937749254,0.061076252742145724,0,0,50.97899159663866,192.80902774145105,WFS1,white,8
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),0.02425499455171864,0.06325715625570116,0,0,10.339473684210526,38.453874906275374,NDUFA13;WFS1,white,8
GO_Biological_Process_2023,Sensory Perception Of Light Stimulus (GO:0050953),0.025347842476073495,0.06325715625570116,0,0,45.597744360902254,167.5745221740668,WFS1,white,8
GO_Biological_Process_2023,Visual Perception (GO:0007601),0.025990326756674793,0.06325715625570116,0,0,44.42490842490842,162.15228661508718,WFS1,white,8
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),0.026632440461919923,0.06325715625570116,0,0,43.31071428571428,157.02841887774125,NDUFA13,white,8
GO_Biological_Process_2023,Sensory Perception Of Mechanical Stimulus (GO:0050954),0.02727418377244974,0.06325715625570116,0,0,42.250871080139376,152.17980742715807,WFS1,white,8
GO_Biological_Process_2023,Sensory Perception Of Sound (GO:0007605),0.02727418377244974,0.06325715625570116,0,0,42.250871080139376,152.17980742715807,WFS1,white,8
GO_Biological_Process_2023,Renal System Development (GO:0072001),0.02791555686563292,0.06325715625570116,0,0,41.24149659863946,147.58562998503828,WFS1,white,8
