node_name,gene_id,gene_symbol,string_gene_label,gene_name,primary_module,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,module_selection_evidence,module_selected,best_module_trait,best_module_trait_corr,best_module_trait_pval,best_module_trait_padj,fraction_deg_priority,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MA1_vs_CTR,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MA1_vs_CTR,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MA1_vs_CTR,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR,n_unique_genes_in_module,n_deg_priority,n_priority_contrasts_present,priority_contrasts_present,fraction_support,trait_support
FAM43A,ENSG00000185112,FAM43A,FAM43A,family with sequence similarity 43 member A,darkgrey,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,1.1558529213196465e-12,1.5570335094872687,1.326333347425915,MC1_vs_CTR,1.5570335094872687,1.1558529213196465e-12,up_in_tested,3,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.4769340700865805,,,-1.1085285208524485,1.5570335094872687,1.1628372892773622,4.102258031085522e-11,,,4.887151580918993e-07,1.1558529213196465e-12,4.624193631789457e-07,up_in_tested,,,down_in_tested,up_in_tested,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
KHSRP,ENSG00000088247,KHSRP,KHSRP,KH-type splicing regulatory protein,dimgrey,dimgrey,MC100_vs_MC1,1,1,2.8892027536928115e-11,1.2854897610269318,1.2854897610269318,MC100_vs_MC1,-1.2854897610269318,2.8892027536928115e-11,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.2854897610269318,,,,,,2.8892027536928115e-11,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
SPDL1,ENSG00000040275,SPDL1,SPDL1,spindle apparatus coiled-coil protein 1,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,3.282504325242893e-11,1.3335132406044268,1.2326177424271039,MC100_vs_MC1,-1.3335132406044268,3.282504325242893e-11,down_in_tested,2,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.2147089801740043,,,-1.3335132406044268,1.14963100650288,,5.142115801155093e-09,,,3.282504325242893e-11,2.989517567035246e-08,,up_in_tested,,,down_in_tested,up_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
TOP2A,ENSG00000131747,TOP2A,TOP2A,DNA topoisomerase II alpha,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1,2,2,8.642102235146583e-11,1.1861397805459029,1.1121812225672458,MC100_vs_MC1,-1.1861397805459029,8.642102235146583e-11,down_in_tested,1,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.0382226645885888,,,-1.1861397805459029,,,5.9169565164657603e-08,,,8.642102235146583e-11,,,up_in_tested,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
CAVIN1,ENSG00000177469,CAVIN1,CAVIN1,caveolae associated protein 1,darkgrey,darkgrey,MC100_vs_MC1,1,1,8.642102235146583e-11,1.0604084794958475,1.0604084794958475,MC100_vs_MC1,-1.0604084794958475,8.642102235146583e-11,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.0604084794958475,,,,,,8.642102235146583e-11,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
TAF1,ENSG00000147133,TAF1,TAF1,TATA-box binding protein associated factor 1,darkgrey,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,1.3402090357982539e-10,1.4348529650545234,1.3290256319748783,MC100_vs_MC1,-1.4348529650545234,1.3402090357982539e-10,down_in_tested,3,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.281241944512294,,,-1.4348529650545234,1.225511764405642,1.3744958539270538,5.542745802605956e-08,,,1.3402090357982539e-10,1.813938519139144e-07,2.594879714909407e-09,up_in_tested,,,down_in_tested,up_in_tested,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
GANAB,ENSG00000089597,GANAB,GANAB,glucosidase II alpha subunit,darkgrey,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,1.3402090357982539e-10,1.3667804896600984,1.2030936676715227,MC100_vs_MC1,-1.3667804896600984,1.3402090357982539e-10,down_in_tested,2,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.1330502177304471,,,-1.3667804896600984,1.1094502956240229,,4.778329206121721e-07,,,1.3402090357982539e-10,7.89830175007651e-07,,up_in_tested,,,down_in_tested,up_in_tested,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PTPN1,ENSG00000196396,PTPN1,PTPN1,protein tyrosine phosphatase non-receptor type 1,darkgrey,darkgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,1.5482381054015902e-10,1.1658290819383714,1.0890233850532072,MC100_vs_MC1,-1.1658290819383714,1.5482381054015902e-10,down_in_tested,1,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.1658290819383714,1.0122176881680427,,,,,1.5482381054015902e-10,1.4124389110047006e-07,,,,,down_in_tested,up_in_tested,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
NFIX,ENSG00000008441,NFIX,NFIX,nuclear factor I X,darkgrey,darkgrey,MC100_vs_MC1,1,1,8.81841057250555e-10,1.2470783785994406,1.2470783785994406,MC100_vs_MC1,-1.2470783785994406,8.81841057250555e-10,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.2470783785994406,,,,,,8.81841057250555e-10,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
UBE2Z,ENSG00000159202,UBE2Z,UBE2Z,ubiquitin conjugating enzyme E2 Z,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,1.3631867643428367e-09,1.4049081733449362,1.3158386085613942,MC1_vs_CTR,1.4049081733449362,1.3631867643428367e-09,up_in_tested,2,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.2680027019714106,,,-1.2746049503678356,1.4049081733449362,,8.651590643693049e-08,,,1.689754525377383e-08,1.3631867643428367e-09,,up_in_tested,,,down_in_tested,up_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
