gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,is_priority_contrast,is_deg_priority,regulation,string_gene_label
ENSG00000185112,FAM43A,family with sequence similarity 43 member A,MA100_vs_CTR,1161.6775496484256,1.476934069948578,0.1884630184407262,7.836731482750239,4.624254590396899e-15,4.102176247141089e-11,True,up_in_MA100,darkgrey,darkgrey,7,1.476934069948578,True,True,up_in_tested,FAM43A
ENSG00000040275,SPDL1,spindle apparatus coiled-coil protein 1,MA100_vs_CTR,2053.584630920412,1.2147089803914008,0.1722023470348246,7.053962976159374,1.7389266580639774e-12,5.1420061278951815e-09,True,up_in_MA100,dimgrey,dimgrey,10,1.2147089803914008,True,True,up_in_tested,SPDL1
ENSG00000214357,NEURL1B,neuralized E3 ubiquitin protein ligase 1B,MA100_vs_CTR,1332.745787913101,1.3135363499823478,0.1967185385329942,6.677237233348178,2.4348863619966206e-11,5.3999692293180055e-08,True,up_in_MA100,dimgrey,dimgrey,10,1.3135363499823478,True,True,up_in_tested,NEURL1B
ENSG00000147133,TAF1,TATA-box binding protein associated factor 1,MA100_vs_CTR,1810.4761484837784,1.2812419446841476,0.1929406086670317,6.640602792412964,3.1240287546072856e-11,5.5426518164242484e-08,True,up_in_MA100,darkgrey,darkgrey,7,1.2812419446841476,True,True,up_in_tested,TAF1
ENSG00000131747,TOP2A,DNA topoisomerase II alpha,MA100_vs_CTR,19915.80713610476,1.038222664566741,0.1572110056741007,6.604007525522624,4.001891976517753e-11,5.916797287281498e-08,True,up_in_MA100,dimgrey,dimgrey,10,1.038222664566741,True,True,up_in_tested,TOP2A
ENSG00000159202,UBE2Z,ubiquitin conjugating enzyme E2 Z,MA100_vs_CTR,2393.4921894892345,1.2680027019769624,0.1943474237442137,6.524412197229932,6.826872728731521e-11,8.65159828236819e-08,True,up_in_MA100,dimgrey,dimgrey,10,1.2680027019769624,True,True,up_in_tested,UBE2Z
ENSG00000180035,ZNF48,zinc finger protein 48,MA100_vs_CTR,124.08641272993388,-1.7591975957088908,0.2772590923296671,-6.344959081151308,2.2248457313475244e-10,1.973660648278389e-07,True,up_in_CTR,dimgrey,dimgrey,10,1.7591975957088908,True,True,down_in_tested,ZNF48
ENSG00000089597,GANAB,glucosidase II alpha subunit,MA100_vs_CTR,4782.589328160444,1.133050217646513,0.1837566327512401,6.166037114863632,7.00226557343153e-10,4.778238300147007e-07,True,up_in_MA100,darkgrey,darkgrey,7,1.133050217646513,True,True,up_in_tested,GANAB
ENSG00000197958,RPL12,ribosomal protein L12,MA100_vs_CTR,5865.852436328154,-1.0370119893385996,0.1739671217517106,-5.960965376082061,2.507520993714225e-09,1.4829479156825926e-06,True,up_in_CTR,dimgrey,dimgrey,10,1.0370119893385996,True,True,down_in_tested,RPL12
ENSG00000107949,BCCIP,BRCA2 and CDKN1A interacting protein,MA100_vs_CTR,1416.0376483098114,1.2678844549149524,0.2186958733758898,5.797477727143664,6.7319718208050834e-09,3.143122211703258e-06,True,up_in_MA100,gainsboro,gainsboro,12,1.2678844549149524,True,True,up_in_tested,BCCIP
ENSG00000136104,RNASEH2B,ribonuclease H2 subunit B,MA100_vs_CTR,280.2221014742261,-1.3178441776138086,0.231786045982955,-5.6856061892126135,1.3034945864652666e-08,5.015422404826663e-06,True,up_in_CTR,dimgrey,dimgrey,10,1.3178441776138086,True,True,down_in_tested,RNASEH2B
ENSG00000205730,ITPRIPL2,ITPRIP like 2,MA100_vs_CTR,886.8197443853627,1.197466939989946,0.2130928801331689,5.619460111673411,1.915550962462217e-08,6.068875924286546e-06,True,up_in_MA100,gainsboro,gainsboro,12,1.197466939989946,True,True,up_in_tested,ITPRIPL2
ENSG00000148296,SURF6,surfeit 6,MA100_vs_CTR,125.32604362624112,2.348818060819621,0.4202637168733591,5.588914689790854,2.2849316405861938e-08,6.989527097806939e-06,True,up_in_MA100,dimgrey,dimgrey,10,2.348818060819621,True,True,up_in_tested,SURF6
ENSG00000167863,ATP5PD,ATP synthase peripheral stalk subunit d,MA100_vs_CTR,2715.4211783640603,-1.0759135707090044,0.1929515608403161,-5.576081198946167,2.4599713673468693e-08,7.03948580636583e-06,True,up_in_CTR,dimgrey,dimgrey,10,1.0759135707090044,True,True,down_in_tested,ATP5PD
ENSG00000182742,HOXB4,homeobox B4,MA100_vs_CTR,470.7170575356244,1.346088057019148,0.2473364327730117,5.442336342962036,5.258626553939946e-08,1.2607912475676017e-05,True,up_in_MA100,dimgrey,dimgrey,10,1.346088057019148,True,True,up_in_tested,HOXB4
ENSG00000102699,PARP4,poly(ADP-ribose) polymerase family member 4,MA100_vs_CTR,284.0890568299524,-1.2036306069256746,0.2286233668603121,-5.2646876102611495,1.4042793176465225e-07,2.708122136270065e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.2036306069256746,True,True,down_in_tested,PARP4
ENSG00000153140,CETN3,centrin 3,MA100_vs_CTR,3844.045427066833,1.219038370012235,0.2356000236904355,5.174186109649883,2.2890657434387877e-07,4.009290433527571e-05,True,up_in_MA100,dimgrey,dimgrey,10,1.219038370012235,True,True,up_in_tested,CETN3
ENSG00000143742,SRP9,signal recognition particle 9,MA100_vs_CTR,780.4455517808592,-1.0706036102556822,0.2069641866145223,-5.172893087293971,2.3049691366239e-07,4.009290433527571e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.0706036102556822,True,True,down_in_tested,SRP9
ENSG00000196700,ZNF512B,zinc finger protein 512B,MA100_vs_CTR,211.4289050453906,1.679405411022919,0.3284475933729294,5.113160957511023,3.168121249981997e-07,4.8654123666810826e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.679405411022919,True,True,up_in_tested,ZNF512B
ENSG00000137193,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",MA100_vs_CTR,321.1353262732337,1.4287224177953493,0.2797004597037665,5.108044582080855,3.255098589930882e-07,4.8654123666810826e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.4287224177953493,True,True,up_in_tested,PIM1
ENSG00000176261,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand,MA100_vs_CTR,579.1207263435269,-1.02810218559336,0.2040400131020148,-5.038728286492193,4.686352221708775e-07,6.495723524809147e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.02810218559336,True,True,down_in_tested,ZBTB8OS
ENSG00000150779,TIMM8B,translocase of inner mitochondrial membrane 8 homolog B,MA100_vs_CTR,573.3588111418472,-1.370739444373766,0.2723861309424909,-5.032339347201091,4.845306018234248e-07,6.512531770872123e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.370739444373766,True,True,down_in_tested,TIMM8B
ENSG00000143398,PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,MA100_vs_CTR,866.6648518673825,1.026054703062125,0.2044922884561308,5.0175716199794085,5.232869649841726e-07,6.826586274080288e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.026054703062125,True,True,up_in_tested,PIP5K1A
ENSG00000188010,MORN2,MORN repeat containing 2,MA100_vs_CTR,275.59787704007414,-1.1869393148719274,0.2389924828308079,-4.96642949105729,6.81968319503422e-07,8.066321283086476e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.1869393148719274,True,True,down_in_tested,MORN2
ENSG00000179218,CALR,calreticulin,MA100_vs_CTR,1752.475953544391,1.2448686469254175,0.251824686563632,4.943394009192419,7.677409820771571e-07,8.844974353255144e-05,True,up_in_MA100,gainsboro,gainsboro,12,1.2448686469254175,True,True,up_in_tested,CALR
ENSG00000111875,ASF1A,anti-silencing function 1A histone chaperone,MA100_vs_CTR,194.0957574042168,-1.2471141529965977,0.2525232696691058,-4.938610824383651,7.868105866955487e-07,8.94845732637976e-05,True,up_in_CTR,dimgrey,dimgrey,10,1.2471141529965977,True,True,down_in_tested,ASF1A
ENSG00000147684,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,MA100_vs_CTR,299.42705462999464,-1.2558023595670622,0.259318376987775,-4.842704840876991,1.2808348164566236e-06,0.0001291168824634,True,up_in_CTR,dimgrey,dimgrey,10,1.2558023595670622,True,True,down_in_tested,NDUFB9
ENSG00000197728,RPS26,ribosomal protein S26,MA100_vs_CTR,3114.912091489919,-1.212046309703462,0.2520461693846876,-4.808826544209707,1.5181886785819696e-06,0.0001496427974188,True,up_in_CTR,dimgrey,dimgrey,10,1.212046309703462,True,True,down_in_tested,RPS26
ENSG00000071082,RPL31,ribosomal protein L31,MA100_vs_CTR,14905.507900754295,-1.0136327432918335,0.2110923364882988,-4.801845297439402,1.5721013171207454e-06,0.0001515881606975,True,up_in_CTR,dimgrey,dimgrey,10,1.0136327432918335,True,True,down_in_tested,RPL31
ENSG00000157193,LRP8,LDL receptor related protein 8,MA100_vs_CTR,314.2485993822479,1.195982154407784,0.2528501672276927,4.730003414752723,2.2451606064968587e-06,0.0001949106148745,True,up_in_MA100,dimgrey,dimgrey,10,1.195982154407784,True,True,up_in_tested,LRP8
ENSG00000168916,ZNF608,zinc finger protein 608,MA100_vs_CTR,255.87996825046503,1.1862861745569595,0.2516354105639428,4.714305398824279,2.425366688188073e-06,0.0002038136136498,True,up_in_MA100,darkgrey,darkgrey,7,1.1862861745569595,True,True,up_in_tested,ZNF608
ENSG00000030582,GRN,granulin precursor,MA100_vs_CTR,3583.315617995248,1.0371320370140915,0.2263976084776173,4.581020285453356,4.627129538095784e-06,0.0003086260611462,True,up_in_MA100,darkgrey,darkgrey,7,1.0371320370140915,True,True,up_in_tested,GRN
ENSG00000125746,EML2,EMAP like 2,MA100_vs_CTR,1368.2437222800636,1.4348834785541138,0.3150360169498744,4.554664867993234,5.246916001092823e-06,0.0003372854481572,True,up_in_MA100,dimgrey,dimgrey,10,1.4348834785541138,True,True,up_in_tested,EML2
