"best_module_trait","best_module_trait_corr","best_module_trait_padj","best_module_trait_pval","contrasts","fraction_deg_priority","fraction_support","gene_id","gene_name","gene_symbol","log2FC__MA100_vs_CTR","log2FC__MA100_vs_MA1","log2FC__MA1_vs_CTR","log2FC__MC100_vs_MC1","log2FC__MC1_vs_CTR","log2FC__MD1_vs_CTR","max_abs_log2FoldChange","mean_abs_log2FoldChange","min_padj","module_selected","module_selection_evidence","modules","n_contrasts","n_deg_priority","n_down_rows","n_priority_contrasts_present","n_selected_rows","n_unique_genes_in_module","n_up_rows","name","padj__MA100_vs_CTR","padj__MA100_vs_MA1","padj__MA1_vs_CTR","padj__MC100_vs_MC1","padj__MC1_vs_CTR","padj__MD1_vs_CTR","primary_module","priority_contrasts_present","regulation__MA100_vs_CTR","regulation__MA100_vs_MA1","regulation__MA1_vs_CTR","regulation__MC100_vs_MC1","regulation__MC1_vs_CTR","regulation__MD1_vs_CTR","selected","shared name","string_gene_label","strongest_contrast","strongest_log2FoldChange","strongest_padj","strongest_regulation","trait_support"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000140988","ribosomal protein S2","RPS2",,,,"1.014028019697547",,,"1.014028019697547","1.014028019697547","0.0011765334281989","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPS2",,,,"0.0011765334281989",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPS2","RPS2","MC100_vs_MC1","1.014028019697547","0.0011765334281989","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000145425","ribosomal protein S3A","RPS3A",,,,"1.072278644345266",,,"1.072278644345266","1.072278644345266","3.924398423134712E-7","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPS3A",,,,"3.924398423134712E-7",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPS3A","RPS3A","MC100_vs_MC1","1.072278644345266","3.924398423134712E-7","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000149273","ribosomal protein S3","RPS3",,,,"-1.0406444437707607",,,"1.0406444437707607","1.0406444437707607","2.318087853179E-4","true","deg_fraction","dimgrey","1","302","1","6","1","3883","0","RPS3",,,,"2.318087853179E-4",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","down_in_tested","","","false","RPS3","RPS3","MC100_vs_MC1","-1.0406444437707607","2.318087853179E-4","down_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000168028","ribosomal protein SA","RPSA",,,,"1.1562419520715033",,,"1.1562419520715033","1.1562419520715033","1.4608262260693895E-9","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPSA",,,,"1.4608262260693895E-9",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPSA","RPSA","MC100_vs_MC1","1.1562419520715033","1.4608262260693895E-9","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000100316","ribosomal protein L3","RPL3",,,,"1.1753651131380665",,,"1.1753651131380665","1.1753651131380665","5.6804621938293536E-5","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPL3",,,,"5.6804621938293536E-5",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPL3","RPL3","MC100_vs_MC1","1.1753651131380665","5.6804621938293536E-5","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MC1_vs_CTR;MD1_vs_CTR","0.07777491630182848","true","ENSG00000161970","ribosomal protein L26","RPL26","-1.2528550360177826",,,,"-1.1420405243719616","-1.3342681981798536","1.3342681981798536","1.243054586189866","0.0026811067042501","true","deg_fraction","dimgrey","3","302","3","6","3","3883","0","RPL26","0.0053202923199226",,,,"0.0108537557989392","0.0026811067042501","dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","","down_in_tested","down_in_tested","false","RPL26","RPL26","MD1_vs_CTR","-1.3342681981798536","0.0026811067042501","down_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000177954","ribosomal protein S27","RPS27",,,,"1.177902369901619",,,"1.177902369901619","1.177902369901619","1.0362428048793224E-5","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPS27",,,,"1.0362428048793224E-5",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPS27","RPS27","MC100_vs_MC1","1.177902369901619","1.0362428048793224E-5","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MD1_vs_CTR","0.07777491630182848","true","ENSG00000186468","ribosomal protein S23","RPS23","-1.0517125363878792",,,,,"-1.009410538142741","1.0517125363878792","1.03056153726531","0.0048339499198606","true","deg_fraction","dimgrey","2","302","2","6","2","3883","0","RPS23","0.0048339499198606",,,,,"0.0070197018758402","dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","","","down_in_tested","false","RPS23","RPS23","MA100_vs_CTR","-1.0517125363878792","0.0048339499198606","down_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000147604","ribosomal protein L7","RPL7",,,,"1.1111802731455074",,,"1.1111802731455074","1.1111802731455074","2.005975603521357E-7","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPL7",,,,"2.005975603521357E-7",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPL7","RPL7","MC100_vs_MC1","1.1111802731455074","2.005975603521357E-7","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000134419","ribosomal protein S15a","RPS15A",,,,"1.1005439542290745",,,"1.1005439542290745","1.1005439542290745","1.5992769405270956E-8","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPS15A",,,,"1.5992769405270956E-8",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPS15A","RPS15A","MC100_vs_MC1","1.1005439542290745","1.5992769405270956E-8","up_in_tested","false"
