"best_module_trait","best_module_trait_corr","best_module_trait_padj","best_module_trait_pval","contrasts","fraction_deg_priority","fraction_support","gene_id","gene_name","gene_symbol","log2FC__MA100_vs_CTR","log2FC__MA100_vs_MA1","log2FC__MA1_vs_CTR","log2FC__MC100_vs_MC1","log2FC__MC1_vs_CTR","log2FC__MD1_vs_CTR","max_abs_log2FoldChange","mean_abs_log2FoldChange","min_padj","module_selected","module_selection_evidence","modules","n_contrasts","n_deg_priority","n_down_rows","n_priority_contrasts_present","n_selected_rows","n_unique_genes_in_module","n_up_rows","name","padj__MA100_vs_CTR","padj__MA100_vs_MA1","padj__MA1_vs_CTR","padj__MC100_vs_MC1","padj__MC1_vs_CTR","padj__MD1_vs_CTR","primary_module","priority_contrasts_present","regulation__MA100_vs_CTR","regulation__MA100_vs_MA1","regulation__MA1_vs_CTR","regulation__MC100_vs_MC1","regulation__MC1_vs_CTR","regulation__MD1_vs_CTR","selected","shared name","string_gene_label","strongest_contrast","strongest_log2FoldChange","strongest_padj","strongest_regulation","trait_support"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR","0.07777491630182848","true","ENSG00000177971","IMP U3 small nucleolar ribonucleoprotein 3","IMP3","-1.4143809139233112",,,,,,"1.4143809139233112","1.4143809139233112","5.872791175295E-4","true","deg_fraction","dimgrey","1","302","1","6","1","3883","0","IMP3","5.872791175295E-4",,,,,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","","","","false","IMP3","IMP3","MA100_vs_CTR","-1.4143809139233112","5.872791175295E-4","down_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000140988","ribosomal protein S2","RPS2",,,,"1.014028019697547",,,"1.014028019697547","1.014028019697547","0.0011765334281989","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPS2",,,,"0.0011765334281989",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPS2","RPS2","MC100_vs_MC1","1.014028019697547","0.0011765334281989","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000149273","ribosomal protein S3","RPS3",,,,"-1.0406444437707607",,,"1.0406444437707607","1.0406444437707607","2.318087853179E-4","true","deg_fraction","dimgrey","1","302","1","6","1","3883","0","RPS3",,,,"2.318087853179E-4",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","down_in_tested","","","false","RPS3","RPS3","MC100_vs_MC1","-1.0406444437707607","2.318087853179E-4","down_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000145425","ribosomal protein S3A","RPS3A",,,,"1.072278644345266",,,"1.072278644345266","1.072278644345266","3.924398423134712E-7","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPS3A",,,,"3.924398423134712E-7",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPS3A","RPS3A","MC100_vs_MC1","1.072278644345266","3.924398423134712E-7","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000168028","ribosomal protein SA","RPSA",,,,"1.1562419520715033",,,"1.1562419520715033","1.1562419520715033","1.4608262260693895E-9","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPSA",,,,"1.4608262260693895E-9",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPSA","RPSA","MC100_vs_MC1","1.1562419520715033","1.4608262260693895E-9","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000177954","ribosomal protein S27","RPS27",,,,"1.177902369901619",,,"1.177902369901619","1.177902369901619","1.0362428048793224E-5","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPS27",,,,"1.0362428048793224E-5",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPS27","RPS27","MC100_vs_MC1","1.177902369901619","1.0362428048793224E-5","up_in_tested","false"
"particle_size_um","0.6222385633532055","0.0591962437092721","0.0025949251469398","MC100_vs_MC1","0.06215554194733619","true","ENSG00000039068","cadherin 1","CDH1",,,,"-1.0969107839759558",,,"1.0969107839759558","1.0969107839759558","0.0374412110365527","true","module_trait;deg_fraction","darkgrey","1","203","1","5","1","3266","0","CDH1",,,,"0.0374412110365527",,,"darkgrey","MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","down_in_tested","","","false","CDH1","CDH1","MC100_vs_MC1","-1.0969107839759558","0.0374412110365527","down_in_tested","true"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR","0.07777491630182848","true","ENSG00000143742","signal recognition particle 9","SRP9","-1.070603609680347",,,"1.240733046514638","-1.1372405721589016",,"1.240733046514638","1.1495257427846288","3.182249044804133E-7","true","deg_fraction","dimgrey","3","302","2","6","3","3883","1","SRP9","4.009317995162229E-5",,,"3.182249044804133E-7","7.875174630516877E-6",,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","up_in_tested","down_in_tested","","false","SRP9","SRP9","MC100_vs_MC1","1.240733046514638","3.182249044804133E-7","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MC100_vs_MC1","0.07777491630182848","true","ENSG00000136942","ribosomal protein L35","RPL35","-1.0217862951347936",,,"1.2373144687855295",,,"1.2373144687855295","1.1295503819601616","4.149165622150297E-5","true","deg_fraction","dimgrey","2","302","1","6","2","3883","1","RPL35","0.0015964885925702",,,"4.149165622150297E-5",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","up_in_tested","","","false","RPL35","RPL35","MC100_vs_MC1","1.2373144687855295","4.149165622150297E-5","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000153037","signal recognition particle 19","SRP19",,,,"1.0369095394481458",,,"1.0369095394481458","1.0369095394481458","5.4945883978741616E-5","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","SRP19",,,,"5.4945883978741616E-5",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","SRP19","SRP19","MC100_vs_MC1","1.0369095394481458","5.4945883978741616E-5","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR","0.07777491630182848","true","ENSG00000197958","ribosomal protein L12","RPL12","-1.0370119893873282",,,"1.1977741878982109","-1.0618032318895751",,"1.1977741878982109","1.0988631363917047","3.933273147923957E-9","true","deg_fraction","dimgrey","3","302","2","6","3","3883","1","RPL12","1.4829364865659682E-6",,,"3.933273147923957E-9","5.539042100145227E-7",,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","up_in_tested","down_in_tested","","false","RPL12","RPL12","MC100_vs_MC1","1.1977741878982109","3.933273147923957E-9","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","0.07777491630182848","true","ENSG00000118181","ribosomal protein S25","RPS25","-1.231038888404417",,,"1.537731130320805","-1.4388104614003872","-1.2464864390937946","1.537731130320805","1.363516729804851","0.0017386547510469","true","deg_fraction","dimgrey","4","302","3","6","4","3883","1","RPS25","0.0197617445974132",,,"0.0017386547510469","0.0045518036509024","0.017517536799881","dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","up_in_tested","down_in_tested","down_in_tested","false","RPS25","RPS25","MC100_vs_MC1","1.537731130320805","0.0017386547510469","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000100316","ribosomal protein L3","RPL3",,,,"1.1753651131380665",,,"1.1753651131380665","1.1753651131380665","5.6804621938293536E-5","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPL3",,,,"5.6804621938293536E-5",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPL3","RPL3","MC100_vs_MC1","1.1753651131380665","5.6804621938293536E-5","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MC1_vs_CTR;MD1_vs_CTR","0.07777491630182848","true","ENSG00000161970","ribosomal protein L26","RPL26","-1.2528550360177826",,,,"-1.1420405243719616","-1.3342681981798536","1.3342681981798536","1.243054586189866","0.0026811067042501","true","deg_fraction","dimgrey","3","302","3","6","3","3883","0","RPL26","0.0053202923199226",,,,"0.0108537557989392","0.0026811067042501","dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","","down_in_tested","down_in_tested","false","RPL26","RPL26","MD1_vs_CTR","-1.3342681981798536","0.0026811067042501","down_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MC1_vs_CTR","0.07777491630182848","true","ENSG00000071082","ribosomal protein L31","RPL31","-1.0136327432918228",,,,"-1.0079830890530452",,"1.0136327432918228","1.0108079161724342","1.289889673908E-4","true","deg_fraction","dimgrey","2","302","2","6","2","3883","0","RPL31","1.515881606975E-4",,,,"1.289889673908E-4",,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","","down_in_tested","","false","RPL31","RPL31","MA100_vs_CTR","-1.0136327432918228","1.515881606975E-4","down_in_tested","false"
"particle_size_um","-0.3310821963795144","0.5170760835223672","0.1426416782130668","MC100_vs_MC1","0.01784037558685446","true","ENSG00000156508","eukaryotic translation elongation factor 1 alpha 1","EEF1A1",,,,"1.1586635177047184",,,"1.1586635177047184","1.1586635177047184","2.0946718507209747E-9","true","deg_fraction","mistyrose","1","38","0","3","1","2130","1","EEF1A1",,,,"2.0946718507209747E-9",,,"mistyrose","MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR","","","","up_in_tested","","","false","EEF1A1","EEF1A1","MC100_vs_MC1","1.1586635177047184","2.0946718507209747E-9","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","0.07777491630182848","true","ENSG00000197728","ribosomal protein S26","RPS26","-1.2120463097034768",,"-1.0363090622064377","1.1341345409604802","-1.0331687918339856","-1.4522312690202943","1.4522312690202943","1.1735779947449347","2.362103200651514E-6","true","deg_fraction","dimgrey","5","302","4","6","5","3883","1","RPS26","1.496427974188E-4",,"0.0039744360164184","2.08942331062E-4","0.0011740958433747","2.362103200651514E-6","dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","down_in_tested","up_in_tested","down_in_tested","down_in_tested","false","RPS26","RPS26","MD1_vs_CTR","-1.4522312690202943","2.362103200651514E-6","down_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MA100_vs_CTR;MD1_vs_CTR","0.07777491630182848","true","ENSG00000186468","ribosomal protein S23","RPS23","-1.0517125363878792",,,,,"-1.009410538142741","1.0517125363878792","1.03056153726531","0.0048339499198606","true","deg_fraction","dimgrey","2","302","2","6","2","3883","0","RPS23","0.0048339499198606",,,,,"0.0070197018758402","dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","down_in_tested","","","","","down_in_tested","false","RPS23","RPS23","MA100_vs_CTR","-1.0517125363878792","0.0048339499198606","down_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000147604","ribosomal protein L7","RPL7",,,,"1.1111802731455074",,,"1.1111802731455074","1.1111802731455074","2.005975603521357E-7","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPL7",,,,"2.005975603521357E-7",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPL7","RPL7","MC100_vs_MC1","1.1111802731455074","2.005975603521357E-7","up_in_tested","false"
"particle_size_um","-0.1867202754883606","0.7331959097856707","0.4176932392721358","MC100_vs_MC1","0.07777491630182848","true","ENSG00000134419","ribosomal protein S15a","RPS15A",,,,"1.1005439542290745",,,"1.1005439542290745","1.1005439542290745","1.5992769405270956E-8","true","deg_fraction","dimgrey","1","302","0","6","1","3883","1","RPS15A",,,,"1.5992769405270956E-8",,,"dimgrey","MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR","","","","up_in_tested","","","false","RPS15A","RPS15A","MC100_vs_MC1","1.1005439542290745","1.5992769405270956E-8","up_in_tested","false"
