#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AATF	DDX55	9606.ENSP00000477848	9606.ENSP00000238146	0	0	0	0	0.706	0.098	0	0.064	0.730
AATF	NOP53	9606.ENSP00000477848	9606.ENSP00000246802	0	0	0	0	0.689	0	0	0.076	0.700
AATF	RPS23	9606.ENSP00000477848	9606.ENSP00000296674	0	0	0	0	0.104	0.987	0	0	0.988
AATF	RPS15A	9606.ENSP00000477848	9606.ENSP00000318646	0	0	0	0	0.055	0.951	0	0	0.952
AATF	EXOSC3	9606.ENSP00000477848	9606.ENSP00000323046	0	0	0	0	0.165	0.507	0	0	0.571
AATF	IMP3	9606.ENSP00000477848	9606.ENSP00000326981	0	0	0	0	0.373	0.991	0	0	0.994
AATF	RPL7	9606.ENSP00000477848	9606.ENSP00000339795	0	0	0	0	0.536	0	0	0	0.536
AATF	RPS2	9606.ENSP00000477848	9606.ENSP00000341885	0	0	0	0	0.153	0.454	0	0	0.518
AATF	RPS3A	9606.ENSP00000477848	9606.ENSP00000346050	0	0	0	0	0.054	0.990	0	0	0.990
AATF	REXO4	9606.ENSP00000477848	9606.ENSP00000361010	0	0	0	0	0.591	0.098	0	0	0.615
AATF	SURF6	9606.ENSP00000477848	9606.ENSP00000361092	0	0	0	0	0.627	0.226	0	0	0.699
AATF	GNL2	9606.ENSP00000477848	9606.ENSP00000362153	0	0	0	0	0.835	0.092	0	0.180	0.866
AATF	WDR46	9606.ENSP00000477848	9606.ENSP00000363746	0	0	0	0	0.839	0.991	0	0.330	0.998
AATF	DDX19B	9606.ENSP00000477848	9606.ENSP00000455813	0	0	0	0	0.348	0.098	0	0.064	0.401
AATF	RPS27	9606.ENSP00000477848	9606.ENSP00000499044	0	0	0	0	0.056	0.964	0	0.077	0.966
ACAA2	PPP3R1	9606.ENSP00000285093	9606.ENSP00000234310	0	0	0	0	0.064	0.046	0	0.431	0.449
ACAA2	ACADS	9606.ENSP00000285093	9606.ENSP00000242592	0.054	0	0	0	0.343	0.098	0.918	0.672	0.982
ACAA2	UQCRC2	9606.ENSP00000285093	9606.ENSP00000268379	0.043	0	0	0	0.161	0	0	0.339	0.423
ACAA2	GSTZ1	9606.ENSP00000285093	9606.ENSP00000451976	0	0	0	0	0.117	0	0	0.375	0.425
ACAA2	GAPDH	9606.ENSP00000285093	9606.ENSP00000380070	0	0	0	0	0.088	0	0	0.408	0.438
ACAA2	BCKDHB	9606.ENSP00000285093	9606.ENSP00000318351	0.072	0	0	0	0.156	0	0	0.355	0.451
ACAA2	SDHB	9606.ENSP00000285093	9606.ENSP00000364649	0	0	0	0	0.248	0.045	0	0.355	0.497
ACAA2	ACBD4	9606.ENSP00000285093	9606.ENSP00000405969	0	0	0	0	0.343	0	0.185	0.152	0.506
ACAA2	MCCC2	9606.ENSP00000285093	9606.ENSP00000343657	0.079	0	0	0	0.262	0	0.177	0.338	0.580
ACAA2	SUCLA2	9606.ENSP00000285093	9606.ENSP00000494360	0.057	0	0	0	0.124	0	0.819	0.396	0.898
ACADS	SUCLA2	9606.ENSP00000242592	9606.ENSP00000494360	0.042	0	0	0	0.110	0.069	0	0.361	0.425
ACADS	ACBD4	9606.ENSP00000242592	9606.ENSP00000405969	0	0	0	0	0.331	0	0.165	0.163	0.492
ACADS	BCKDHB	9606.ENSP00000242592	9606.ENSP00000318351	0.049	0	0	0	0.069	0.053	0.393	0.408	0.644
ACADS	MCCC2	9606.ENSP00000242592	9606.ENSP00000343657	0.057	0.190	0	0	0.243	0	0.265	0.405	0.701
ACAN	ADAMTS8	9606.ENSP00000387356	9606.ENSP00000257359	0	0	0	0	0	0	0.400	0.476	0.672
