#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AATF	DDX55	9606.ENSP00000477848	9606.ENSP00000238146	0	0	0	0	0.706	0.098	0	0.064	0.730
AATF	NOP53	9606.ENSP00000477848	9606.ENSP00000246802	0	0	0	0	0.689	0	0	0.076	0.700
AATF	RPS23	9606.ENSP00000477848	9606.ENSP00000296674	0	0	0	0	0.104	0.987	0	0	0.988
AATF	RPS15A	9606.ENSP00000477848	9606.ENSP00000318646	0	0	0	0	0.055	0.951	0	0	0.952
AATF	IMP3	9606.ENSP00000477848	9606.ENSP00000326981	0	0	0	0	0.373	0.991	0	0	0.994
AATF	RPS3A	9606.ENSP00000477848	9606.ENSP00000346050	0	0	0	0	0.054	0.990	0	0	0.990
AATF	GNL2	9606.ENSP00000477848	9606.ENSP00000362153	0	0	0	0	0.835	0.092	0	0.180	0.866
AATF	WDR46	9606.ENSP00000477848	9606.ENSP00000363746	0	0	0	0	0.839	0.991	0	0.330	0.998
AATF	RPS27	9606.ENSP00000477848	9606.ENSP00000499044	0	0	0	0	0.056	0.964	0	0.077	0.966
ACAA2	ACADS	9606.ENSP00000285093	9606.ENSP00000242592	0.054	0	0	0	0.343	0.098	0.918	0.672	0.982
ACAA2	SUCLA2	9606.ENSP00000285093	9606.ENSP00000494360	0.057	0	0	0	0.124	0	0.819	0.396	0.898
ACADS	MCCC2	9606.ENSP00000242592	9606.ENSP00000343657	0.057	0.190	0	0	0.243	0	0.265	0.405	0.701
ACAN	GAPDH	9606.ENSP00000387356	9606.ENSP00000380070	0	0	0	0	0.055	0	0	0.711	0.715
ACTG1	TUBGCP3	9606.ENSP00000458162	9606.ENSP00000261965	0	0	0	0	0.044	0.824	0	0.101	0.836
ACTG1	ARPC1A	9606.ENSP00000458162	9606.ENSP00000262942	0	0	0	0	0.107	0.250	0.900	0.215	0.940
ACTG1	EEF1A1	9606.ENSP00000458162	9606.ENSP00000339063	0	0	0	0	0.481	0.257	0	0.658	0.856
ACTG1	PIP5K1A	9606.ENSP00000458162	9606.ENSP00000357883	0	0	0	0	0.048	0.058	0.900	0.076	0.906
ACTG1	FLNA	9606.ENSP00000458162	9606.ENSP00000358866	0	0	0	0	0.110	0.194	0	0.652	0.729
ACTG1	CTTN	9606.ENSP00000458162	9606.ENSP00000365745	0	0	0	0	0.045	0.329	0	0.589	0.714
ACTG1	GAPDH	9606.ENSP00000458162	9606.ENSP00000380070	0	0	0	0	0.404	0.045	0	0.692	0.809
ACTG1	SMARCD2	9606.ENSP00000458162	9606.ENSP00000392617	0	0	0	0	0.095	0.315	0.800	0.090	0.872
ACTG1	TUBGCP5	9606.ENSP00000458162	9606.ENSP00000480316	0	0	0	0	0	0.826	0	0	0.826
ADAM15	CDH1	9606.ENSP00000349436	9606.ENSP00000261769	0	0	0	0	0.044	0	0.750	0.308	0.820
ADAM15	SH3PXD2B	9606.ENSP00000349436	9606.ENSP00000309714	0	0	0	0	0.056	0	0	0.889	0.890
AHSA1	FKBP4	9606.ENSP00000216479	9606.ENSP00000001008	0	0	0	0	0.392	0.613	0	0.894	0.973
AHSA1	HSPA8	9606.ENSP00000216479	9606.ENSP00000437125	0	0	0	0	0.511	0.533	0	0.717	0.930
AHSA1	HSP90AA1	9606.ENSP00000216479	9606.ENSP00000335153	0	0	0	0	0.477	0.968	0	0.997	0.999
AKT1S1	SLC38A9	9606.ENSP00000375711	9606.ENSP00000380074	0	0	0	0	0.057	0	0.500	0.419	0.702
AKT1S1	AKT2	9606.ENSP00000375711	9606.ENSP00000375892	0	0	0	0	0.076	0.096	0.900	0.654	0.967
AKT2	MAPK11	9606.ENSP00000375892	9606.ENSP00000333685	0	0	0.125	0.607	0.053	0.110	0.900	0.167	0.927
